Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;19;16;18;22;8;21;10;17;10;20;16;23;200
1387E;18;14;14;21;8;;5;14;;18;17;21;
1428;17;16;14;25;12;14;6;13;13;22;15;26;193
8175;4;0;10;14;11;3;4;3;4;5;8;6;72
8178D;4;1;13;13;12;2;6;4;5;5;9;7;81
8025;7;3;14;12;7;5;4;5;4;5;8;4;78
8019;5;5;14;12;8;8;1;3;5;2;6;5;74
6325O;5;1;;;;3;2;1;2;2;6;0;
9091O;12;9;12;17;10;13;5;13;13;20;9;23;156
1212E;21;13;17;22;15;15;13;16;14;21;12;21;200
1208H;19;11;12;18;10;15;9;14;13;20;11;23;175
1249I;19;11;19;22;15;22;17;18;17;22;12;25;219
2444;9;3;11;19;9;4;6;4;9;10;11;11;106
4452;10;1;7;;7;0;1;0;3;7;12;17;
B954;11;1;11;12;5;4;4;4;6;9;9;8;84
B893;8;3;15;10;7;6;1;4;8;11;7;16;96
B278;6;0;13;10;4;4;2;2;9;9;5;15;79
B228;6;;;;;4;2;2;6;8;7;12;
0200E;11;9;13;10;8;13;14;7;12;8;9;10;124
0076;7;1;9;8;7;11;6;7;9;8;7;6;86
1082;17;16;18;17;13;17;13;14;13;24;12;27;201
2331;15;8;8;25;5;10;6;6;9;19;10;17;138
3469A;14;7;11;19;9;3;1;1;6;11;15;20;117
5973;8;3;;11;8;2;0;2;3;5;11;13;
5960;9;4;11;;12;3;2;1;4;6;17;15;
5910;8;2;9;14;7;3;2;2;4;5;13;11;80
1111;18;14;14;18;13;19;10;17;15;22;11;22;193
1109;19;10;14;15;13;20;11;13;12;19;10;26;182
8500A;7;3;12;17;7;4;6;5;8;6;10;6;91
5000C;;1;;;7;;;1;2;;13;;
4121;9;5;11;21;9;2;3;1;2;7;13;17;100
5402;7;2;12;18;;0;1;4;3;6;12;13;
8096;8;3;12;17;11;4;4;1;6;7;10;11;94
1014;13;14;13;18;11;18;14;16;10;22;10;20;179
1024E;15;13;15;20;11;20;14;18;14;22;10;23;195
0367;7;5;14;15;7;17;8;9;10;9;9;7;117
5530E;7;1;11;15;8;2;0;2;5;5;8;14;78
5514;9;1;11;14;10;2;2;1;7;5;10;15;87
3013;8;7;9;;;;;;;;12;12;
4642E;10;3;13;18;9;3;0;0;3;;;;
9898;10;0;;;;;;3;4;9;9;15;
5270B;7;1;;;;;1;1;2;4;9;13;
9170;;;;;;;5;10;9;14;12;24;
C249I;4;0;7;3;0;1;1;1;2;5;6;6;36
C649I;7;3;11;4;3;3;0;2;4;8;5;15;65
C029O;5;0;8;3;0;2;2;0;1;4;9;9;43
2661;14;11;8;18;11;7;4;8;9;10;13;16;129
1549;14;13;12;22;11;12;7;9;12;17;12;22;163
9771C;11;2;11;16;11;11;6;5;7;8;10;11;109
1505;18;17;17;23;11;16;10;15;12;22;15;27;203
3191E;14;4;9;18;11;6;4;3;8;9;13;16;115
3129;9;1;10;16;11;5;2;3;8;7;12;14;98
3196;12;1;10;18;10;5;6;3;6;7;12;12;102
3200;12;2;12;16;9;6;5;3;7;7;10;12;101
3195;12;1;10;16;8;4;2;3;7;7;11;17;98
3175;11;0;9;16;10;6;7;2;8;7;9;11;96
2462;5;7;5;19;11;7;7;4;9;13;11;9;107
6155A;7;1;14;9;7;1;1;1;3;6;7;7;64
6000A;6;0;9;14;4;1;3;1;2;2;5;12;59
7178I;9;3;11;12;5;5;3;3;3;4;6;5;69
7228;5;2;10;12;6;4;3;2;3;4;7;5;63
7031;6;4;9;13;4;7;3;2;4;4;7;2;65
9262;9;6;;;;;;7;6;14;6;21;
9263D;15;7;12;;;;5;12;11;18;11;20;
1484C;17;16;14;23;8;13;0;12;12;20;15;26;176
1495;21;16;11;23;10;16;3;10;14;23;15;24;186
2867;9;2;12;20;7;6;4;3;8;9;11;18;109
C929I;5;1;7;5;3;5;0;0;5;9;9;16;65
C430E;0;1;4;6;1;3;0;0;4;3;4;8;34
C139E;7;1;11;4;2;9;0;2;5;18;10;22;91
C449C;5;0;13;6;6;4;0;2;5;11;10;16;78
C447A;12;5;16;14;9;12;2;6;8;14;12;22;132
C429I;2;0;4;4;0;4;0;0;2;4;4;9;33
2465;13;8;10;20;12;10;6;5;10;14;11;17;136
5796;7;3;12;12;10;1;1;3;4;4;14;13;84
5783;8;2;10;12;8;1;1;2;6;4;13;9;76
2030;11;6;5;26;9;9;8;5;12;13;11;13;128
0016A;8;1;11;11;9;7;2;4;4;4;6;3;70
9981A;4;1;12;14;9;5;2;5;4;2;7;8;73
9381I;4;2;9;17;11;9;7;7;8;8;10;11;103
8368U;5;0;11;15;9;8;6;4;5;4;7;7;81
8416;6;4;14;14;8;5;5;2;7;5;8;7;85
8414A;8;4;15;14;10;3;4;3;6;4;9;7;87
2422;15;5;10;25;11;6;5;5;7;12;11;15;127
2539;12;3;7;21;8;6;4;6;7;8;10;14;106
2614;13;3;9;21;9;2;3;3;6;14;14;15;112
9390;5;2;7;19;11;10;5;6;7;5;10;15;102
9434;9;2;13;18;12;11;5;5;10;11;;10;
