Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;606;673;754;571;998;729;956;795;;745;615;673;
8175;;772;1009;1016;1741;3043;3417;3490;2014;1448;609;564;
8025;550;695;917;788;1220;1146;1333;1476;1245;1060;517;901;11848
6325O;694;754;;;;;1903;1623;1409;1321;895;1176;
9091O;394;591;814;999;1146;998;1450;1495;1275;703;564;437;10866
1212E;642;825;;;;;1049;689;765;830;548;625;
1208H;837;830;862;;752;871;;;841;;790;832;
1249I;586;787;822;737;964;740;737;856;671;754;494;617;8765
2444;379;650;916;529;1312;;;;;598;447;350;
4452;465;538;;;;;3189;2792;1941;1240;376;441;
B954;647;;1075;784;;;1781;;1383;1314;796;1135;
B893;604;714;;;1376;1453;1996;1739;1709;;847;1102;
B278;611;719;;;1801;1641;2366;1612;;;755;809;
B228;;;;;;1508;1956;1547;;1202;809;1038;
0200E;1038;1039;1108;1111;1577;1233;1944;1889;1741;;845;1156;
2331;;652;;;;;2096;2027;1477;837;512;431;
3469A;477;637;1118;851;1590;2867;;;2153;1446;406;569;
5973;;;;;;1347;1546;;;;;;
5960;582;;;;;1752;;;1848;1550;1170;422;
5910;890;1135;1560;1233;2274;2103;2426;2495;2576;1859;848;1042;20441
1111;1161;990;;;;883;1041;;1094;1352;1139;;
1109;1400;1278;;;;1245;1552;1474;1445;;1420;1465;
4121;177;336;724;;1195;1613;1897;1757;1136;693;293;265;
5402;433;840;1312;;;3732;;;2271;;;;
8096;;639;827;558;1148;;;;;929;632;412;
1014;588;619;504;809;774;621;817;792;817;710;691;570;8312
1024E;959;875;765;1050;;668;691;872;1040;;1349;1001;
5530E;511;812;;;;;3595;3073;2035;1389;706;364;
5514;;894;1350;990;2324;3066;4456;3978;2469;1813;1012;488;
4642E;;750;1042;912;;;;;;;;530;
5270B;;796;;;;2439;;;2024;;;;
9170;717;1148;1483;;;;;2536;2378;1560;;988;
C249I;1767;1596;1867;1629;1809;1907;2106;2548;2004;1667;1564;1741;22205
C029O;2584;2756;2691;2585;2773;;;3453;2821;2676;2020;1883;
2661;;;;;;;;1979;1466;922;371;;
1549;;;886;;;;;;;743;470;;
9771C;;512;969;774;1149;1236;1715;1669;1092;1360;529;588;
1505;549;776;725;725;1119;846;843;765;642;425;388;280;8083
3191E;647;547;1002;663;1451;2450;3801;3198;2037;1095;681;643;18215
3196;834;1027;1491;1305;2436;4240;5666;4645;2923;1883;654;886;27990
3200;557;732;1175;1066;2134;3364;4257;3536;2288;1404;494;711;21718
3195;358;528;;;;;;;;;;;
3175;805;955;1375;1153;2378;3655;5117;4629;2884;1937;718;1036;26642
2462;;;;;1053;1211;2500;;;515;801;;
6000A;614;519;783;;;1559;1196;1684;1280;1021;715;781;
7178I;571;986;1137;866;1785;2070;2364;2241;1697;1431;711;1049;16908
7228;634;808;;1113;2004;2374;2591;2707;1965;1615;720;1329;
7031;786;1004;1499;1043;1565;;1472;1848;1736;1707;776;1394;
1690A;378;;;;;;;;;;;;
1484C;374;393;;;;;1084;685;724;371;447;224;
2867;;713;;;;;3013;2845;1771;1151;473;510;
C929I;588;636;537;689;805;661;738;856;643;831;;952;
C447A;1073;1536;1076;;;;1360;1813;1585;;1243;462;
2465;;;1050;610;1170;;;;;;;;
5796;724;1040;1275;;;2666;3502;3422;2796;2027;1008;607;
2030;426;667;961;511;;;;;;;;306;
0016A;512;850;1113;;;1185;1754;1363;;1593;544;1111;
9981A;474;886;1027;716;1241;1287;2069;2051;1707;1444;512;942;14356
8368U;;;;;;;;;;1176;;;
8414A;535;722;889;788;1319;1340;1433;1582;1367;1249;487;930;12641
2422;;487;785;568;1166;1602;2461;2019;1409;753;329;314;
2539;;677;;;;;;2859;2034;1086;487;;
2614;;;678;;;;;;;;;;
9390;198;849;820;784;1320;1473;2347;;1595;1126;;443;
9434;680;1251;;;;3056;;;;1982;825;1137;
