Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;1;0;1;0;0;0;0;1;0;0;0;1;4
1387E;1;0;1;0;0;;0;1;;0;0;1;
1428;2;0;2;0;0;0;0;0;0;1;1;1;7
8175;0;0;1;0;0;0;0;0;0;0;0;0;1
8178D;0;0;2;0;0;0;0;0;0;0;0;0;2
8025;1;0;0;0;0;0;0;0;0;0;0;0;1
8019;1;0;0;0;0;0;0;0;0;0;0;0;1
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;0;0;0;0;1;0;0;0;0;0;0;0;1
1212E;0;0;1;0;0;0;0;0;0;2;0;5;8
1208H;0;0;1;0;0;0;0;1;0;1;0;5;8
1249I;0;0;1;0;1;0;0;1;0;0;0;0;3
2444;0;0;0;0;0;0;0;0;0;1;0;0;1
4452;0;0;1;0;0;0;0;0;0;0;0;0;1
B954;1;0;0;0;0;0;0;0;1;0;0;0;2
B893;2;0;0;0;0;0;0;0;0;0;0;0;2
B278;1;0;0;1;0;0;0;0;0;0;0;0;2
B228;1;0;0;0;0;0;0;0;1;0;0;0;2
0200E;1;0;0;3;0;0;0;0;0;0;0;0;4
0076;2;0;0;3;0;0;2;0;2;1;1;0;11
1082;0;0;0;0;0;0;0;0;1;1;0;1;3
2331;0;0;0;0;0;0;0;0;0;1;0;0;1
3469A;0;0;1;0;0;0;0;0;0;1;0;0;2
5973;1;0;2;0;1;0;0;0;0;1;2;0;7
5960;1;0;0;0;0;0;0;0;0;0;0;0;1
5910;1;0;2;1;1;0;0;0;0;0;1;0;6
6001;0;0;;;;0;0;0;0;;0;0;
1111;0;0;0;0;0;0;0;0;1;2;0;6;9
1109;0;0;0;0;0;0;0;0;1;2;0;6;9
8500A;1;0;1;0;0;1;0;0;0;0;1;0;4
5000C;0;0;1;0;0;1;0;0;0;0;0;0;2
4121;0;0;0;0;0;0;0;0;0;0;0;0;0
5402;0;0;0;0;0;0;0;1;0;0;1;0;2
8096;0;0;1;1;0;0;0;1;0;0;0;0;3
1014;0;0;1;1;1;1;0;2;1;5;0;7;19
1024E;0;0;1;1;1;0;0;2;2;1;0;6;14
0367;3;0;1;2;0;0;0;0;1;0;1;0;8
5530E;0;0;0;0;0;0;0;0;0;0;1;0;1
5514;0;0;0;0;0;0;0;0;0;0;1;0;1
3013;1;0;1;0;1;0;0;0;0;0;0;0;3
4642E;0;0;0;0;0;0;0;0;0;0;2;0;2
9898;1;0;0;0;0;0;0;0;0;0;0;0;1
5270B;0;0;0;0;0;0;0;0;0;0;0;0;0
9170;0;0;2;0;;0;0;0;0;0;0;0;
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;0;0;0;0;0;0;0;0;0;1;0;0;1
1549;0;0;0;0;0;0;0;0;0;0;0;0;0
9771C;1;0;0;0;0;0;0;0;0;0;0;0;1
1505;0;0;1;0;0;0;0;0;0;0;0;1;2
3191E;0;0;0;0;0;0;0;0;1;1;0;0;2
3129;0;0;0;0;0;0;0;0;0;0;0;0;0
3196;0;0;0;0;0;0;0;0;0;0;0;0;0
3200;0;0;0;0;0;0;0;0;0;0;0;0;0
3195;0;0;0;0;1;0;0;0;0;0;0;0;1
3175;0;0;0;1;0;0;0;0;0;0;0;0;1
2462;1;0;3;1;1;0;0;1;2;2;2;2;15
6155A;2;0;3;0;0;0;0;0;0;0;1;0;6
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;1;0;1;0;0;0;0;0;0;0;0;0;2
7228;1;0;2;0;0;0;0;0;0;0;0;0;3
7031;1;0;1;0;0;0;0;0;0;0;0;0;2
9262;0;0;;;;;;0;0;0;0;0;
9263D;0;0;1;0;1;1;0;1;0;0;0;0;4
1690A;0;0;0;0;0;0;0;0;0;1;0;0;1
1484C;2;0;0;2;0;0;0;0;0;1;0;5;10
1495;1;0;2;2;0;0;0;0;1;1;0;4;11
2867;0;0;0;0;0;0;0;0;0;0;0;0;0
2870;0;0;0;0;0;0;0;0;;0;0;0;
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;0;0;0;0;0;0;0;0;0;0;1;0;1
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;1;0;0;0;0;0;0;0;0;0;1
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;0;0;0;0;0;0;1;0;1;0;0;0;2
5796;0;0;0;0;0;0;0;0;0;0;0;0;0
5783;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;0;0;0;1;0;0;0;0;0;0;0;0;1
0016A;1;0;0;0;0;0;0;1;0;0;0;0;2
9981A;2;0;0;1;0;2;0;0;0;0;2;0;7
9381I;1;0;0;1;1;0;0;0;0;0;0;0;3
8368U;0;0;1;0;0;0;0;0;0;0;0;0;1
3260B;0;0;0;0;0;0;0;0;0;0;0;0;0
8416;3;0;0;0;0;0;0;0;0;0;3;0;6
8414A;2;0;0;0;1;0;0;0;0;0;3;0;6
2422;0;0;0;0;0;0;0;0;0;0;0;0;0
2539;0;0;0;0;0;0;0;0;0;1;0;0;1
2614;0;0;0;0;0;0;0;0;0;0;0;0;0
9390;1;0;1;0;0;0;0;0;0;0;0;0;2
9434;1;0;0;0;1;0;0;0;0;0;0;0;2
