Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17273;25565;39355;40907;68939;62581;;58168;50788;;20758;12514;
1387E;;;;35024;;;;;;;;;
1428;;24310;;35558;;60037;69595;52702;45384;;18125;9024;
8178D;26203;37735;42361;57554;75812;85348;87248;80579;58582;47662;29336;26008;654428
8019;;;;58118;78796;78440;85384;74676;58721;46240;29061;;
6325O;31524;41867;49332;59439;83532;88144;86952;77548;58614;49450;33631;31552;691585
B954;24879;37885;;59166;81622;76585;81964;71083;51572;45478;27689;23893;
B278;;;;;76734;;;;;;;;
B228;24495;35898;46111;58935;80613;83032;83106;73213;56003;43092;27674;23223;635395
0076;;;;56090;76159;77177;;;;;;;
1082;16919;24161;;44875;64034;58586;61459;52402;44232;24041;20769;11620;
3469A;24726;35553;48760;53227;77303;87809;90458;82452;58916;43720;23238;20406;646568
5973;31427;43118;52706;61166;80798;87386;;81001;60554;49911;31661;27156;
5960;;;;52562;;81750;82526;75208;;45284;;;
1111;19880;26673;;48640;69267;61516;71065;;;28067;23925;12322;
4121;22206;32574;45929;51082;75050;85735;;;;42426;23806;21152;
5402;25998;38520;47771;;76370;87471;;78532;55672;;27122;22731;
1024E;17285;23881;33761;41703;60848;55348;64225;51516;44533;22439;19277;;
0367;22296;30933;;;69203;66445;;64204;;;;;
5530E;;;;55642;79709;;;;;;;;
5514;31558;43969;48259;;78266;86751;86937;81329;58965;;32271;23864;
4642E;26197;40631;49275;53840;80075;86631;88001;82080;59842;48077;;;
9170;17510;29754;42936;44857;;;82581;66021;53170;32811;18813;15024;
C249I;44634;49941;;71732;87515;83875;87798;81792;63365;55806;38388;36459;
C649I;44300;50830;;71728;;75685;81444;79874;63296;;;37981;
C029O;42626;50250;;68822;84919;80906;79256;73372;63567;52511;;35604;
2661;17525;32575;;48485;72240;;;69968;54560;38086;19603;;
1549;;;;;;;;68162;;;;12583;
9771C;13736;34809;45324;53357;74301;78927;85109;72619;;41207;19853;18747;
3129;;;;;79913;;;79245;;;;;
2462;21605;34578;;;68205;72848;88943;77132;51314;33331;21988;13255;
7178I;28865;;44634;55291;80222;;87252;;;;31748;28389;
9263D;;26873;;;;61042;;65033;48193;26435;18642;12993;
1495;11077;20181;;35294;;;;57446;44236;22776;18514;;
2867;19342;32827;42503;;76005;80541;90630;75953;57479;40153;21608;17902;
C430E;52317;59523;;81844;100975;94818;96879;93280;71794;;;;
C449C;41023;49011;56971;70018;80829;76194;87457;81929;61394;;38895;37142;
C447A;41751;52688;;67775;81065;;81719;;59138;;;33782;
C429I;49245;54391;;66957;83600;84193;85825;84614;60326;54362;40907;38569;
5783;26406;39780;;51501;76887;60037;;78216;53395;45113;26513;22461;
2030;21584;33445;42967;42513;73881;;84809;74413;54807;37483;24117;16748;
0016A;23362;35005;;54046;;;;65780;;;24866;22376;
9981A;23559;35256;39355;47301;71581;71322;82025;71149;53722;41181;24708;22144;583303
8368U;23471;37761;;50997;71058;76743;;72996;55502;42637;24712;;
3260B;20936;30805;;50723;71968;;;74711;56660;43613;21361;;
8414A;24336;37536;39589;54000;75832;80562;79155;;54640;44137;24891;26562;
2422;15998;31713;47462;49154;76982;77980;87867;;57026;37912;21982;17016;
