Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;18.5(31);23.0(03);19.3(28);22.9(04);29.7(28);23.9(20);30.3(18);26.2(27);35.4(13);22.9(18);22.2(01);18.6(21);35.4(13/sep)
1387E;17.2(31);21.9(03);19.6(24);22.6(04);31.5(27);25.6(20);31.3(18);27.1(27);35.9(13);22.3(18);20.7(01);18.3(21);35.9(13/sep)
1428;14.1(31);21.6(23);22.2(18);22.1(14);32.3(28);32.5(23);34.9(18);35.7(06);34.4(13);21.9(07);21.1(21);17.4(01);35.7(06/ago)
8175;15.9(16);21.8(22);27.4(11);21.1(17);32.3(22);36.6(29);40.4(31);39.5(01);32.5(11);28.6(09);24.8(02);16.4(14);40.4(31/jul)
8178D;17.1(16);22.4(24);28.0(11);21.5(24);33.1(23);36.5(29);39.5(26);39.1(09);32.5(12);28.9(09);25.6(02);16.6(18);39.5(26/jul)
8025;23.3(30);28.6(04);26.4(05);27.8(30);31.8(02);32.5(05);34.2(29);34.7(17);32.4(19);31.8(01);27.9(16);25.0(11);34.7(17/ago)
8019;21.5(30);27.3(04);25.6(05);28.2(30);31.3(02);31.7(05);35.0(29);35.7(16);31.7(24);32.4(07);27.2(16);25.2(11);35.7(16/ago)
6325O;21.4(31);24.2(23);28.1(12);;36.3(04);36.3(22);40.2(30);37.7(07);34.7(12);31.6(08);28.6(06);25.7(12);
9091O;17.7(31);21.7(03);23.7(11);23.1(09);29.4(30);33.5(23);37.1(30);38.0(07);32.8(13);22.4(06);21.1(01);15.4(11);38.0(07/ago)
1212E;20.3(16);22.5(02);21.5(04);23.0(05);33.6(04);24.3(23);26.1(30);32.4(19);30.4(13);25.3(19);;;
1208H;21.5(16);23.4(03);22.8(04);23.8(05);35.0(04);23.6(24);26.2(30);27.6(25);26.2(14);26.2(19);23.8(06);19.7(22);35.0(04/may)
1249I;19.5(31);24.4(03);20.0(04);23.5(04);32.4(04);30.1(23);33.4(30);32.5(19);32.4(13);23.5(31);21.9(06);20.2(21);33.4(30/jul)
2444;17.7(01);20.8(03);23.9(11);19.0(24);29.1(30);33.7(30);35.6(07);34.8(07);30.7(05);23.9(09);22.1(17);15.7(13);35.6(07/jul)
4452;18.6(18);24.7(23);28.0(11);27.3(24);35.9(24);39.2(23);41.9(06);39.8(06);37.9(13);32.1(08);24.7(15);18.5(12);41.9(06/jul)
B954;18.7(31);22.0(04);21.4(04);23.5(30);;30.0(22);32.5(30);34.9(16);30.0(13);28.0(07);25.0(16);21.0(11);
B893;19.4(31);21.2(03);20.2(29);24.7(18);29.7(22);30.8(25);34.7(30);33.5(12);31.0(15);25.2(01);23.2(08);18.9(19);34.7(30/jul)
B278;19.6(31);22.5(04);21.2(12);26.9(18);29.7(04);35.3(30);40.6(28);36.8(20);32.8(13);28.5(07);24.5(06);20.1(01);40.6(28/jul)
B228;21.2(31);24.4(04);21.9(12);24.9(29);28.9(07);32.0(25);37.7(30);35.8(11);31.9(13);28.6(07);25.1(06);21.0(11);37.7(30/jul)
0200E;19.7(31);22.4(03);21.8(05);21.5(26);27.9(22);29.9(26);34.1(30);35.2(01);31.0(13);26.7(01);22.7(01);17.3(15);35.2(01/ago)
0076;19.2(31);21.6(10);21.1(09);25.3(30);27.5(19);28.9(26);31.6(30);32.1(01);30.4(13);25.9(01);21.6(14);17.8(12);32.1(01/ago)
1082;22.4(31);26.0(03);24.3(19);27.0(09);32.8(28);32.2(23);41.5(30);38.8(06);37.7(13);26.5(31);26.5(02);23.0(22);41.5(30/jul)
