Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;1;0;1;0;0;0;2
1387E;0;0;0;0;2;0;1;0;1;0;0;0;4
1428;0;0;0;0;3;1;8;3;5;0;0;0;20
8175;0;0;0;0;3;14;30;27;8;0;0;0;82
8178D;0;0;0;0;5;14;29;28;10;0;0;0;86
8025;0;0;0;0;2;7;24;29;9;4;0;0;75
8019;0;0;0;0;1;6;22;29;9;2;0;0;69
6325O;0;0;0;;11;3;23;23;12;1;0;0;
9091O;0;0;0;0;0;2;8;12;7;0;0;0;29
1212E;0;0;0;0;1;0;0;1;1;0;;;
1208H;0;0;0;0;1;0;0;0;0;0;0;0;1
1249I;0;0;0;0;2;1;1;2;1;0;0;0;7
2444;0;0;0;0;0;7;23;11;2;0;0;0;43
4452;0;0;0;0;14;12;31;28;17;3;0;0;105
B954;0;0;0;0;;1;15;26;2;0;0;0;
B893;0;0;0;0;0;3;19;19;3;0;0;0;44
B278;0;0;0;0;0;6;21;24;7;0;0;0;58
B228;0;0;0;0;0;3;17;17;7;0;0;0;44
0200E;0;0;0;0;0;0;14;16;3;0;0;0;33
0076;0;0;0;0;0;0;10;19;2;0;0;0;31
1082;0;0;0;0;3;1;1;8;8;0;0;0;21
2331;0;0;0;0;0;4;15;12;3;0;0;0;34
3469A;0;0;0;0;12;11;31;25;15;1;0;0;95
5973;0;0;0;0;2;2;14;8;5;0;0;0;31
5960;0;;1;0;13;9;;26;22;4;0;;
5910;0;0;0;0;8;4;24;16;13;2;0;0;67
6001;0;0;;;;;0;0;1;0;0;0;
1111;0;0;0;0;1;0;1;1;1;0;0;0;4
1109;0;0;;;1;0;1;1;1;0;0;0;
8500A;0;0;0;0;3;7;24;26;10;0;0;0;70
5000C;0;0;0;0;0;1;4;11;2;0;0;0;18
4121;0;0;0;0;14;14;31;25;11;0;0;0;95
5402;0;0;0;0;20;24;31;31;21;5;0;0;132
8096;0;0;0;0;2;11;28;23;8;0;0;0;72
1014;0;0;0;0;2;0;1;4;3;0;0;0;10
1024E;0;0;0;0;1;0;1;4;3;0;0;0;9
0367;0;0;0;0;4;;;24;;;0;0;
5530E;0;0;0;0;19;17;31;30;18;3;0;0;118
5514;0;0;0;0;13;16;31;28;16;0;0;0;104
3013;0;0;0;0;1;6;23;16;4;0;0;0;50
4642E;0;0;0;0;14;8;28;30;16;2;0;0;98
9898;0;0;0;0;2;10;28;25;9;0;0;0;74
5270B;0;0;0;0;12;13;31;;15;1;0;0;
9170;0;;0;0;;10;19;15;11;0;0;0;
C249I;0;0;0;0;0;1;6;4;5;;2;0;
C649I;0;0;0;0;;0;;;7;2;1;0;
C029O;0;0;0;;5;;9;12;16;5;;0;
2661;0;0;0;0;1;2;21;9;2;0;0;0;35
1549;0;0;0;0;9;6;27;12;11;0;0;0;65
9771C;0;0;0;0;6;12;30;27;11;0;0;0;86
1505;0;0;0;0;3;1;6;4;3;0;0;0;17
3191E;0;0;0;0;;7;29;15;3;0;0;0;
3129;0;0;0;0;11;14;31;24;12;0;0;0;92
3196;0;0;;0;10;12;31;23;12;0;0;0;
3200;0;0;0;0;10;13;31;23;11;0;0;0;88
3195;0;0;0;0;11;12;31;22;8;0;0;0;84
3175;0;0;0;0;10;12;31;24;11;0;0;0;88
2462;0;0;0;0;0;0;0;0;0;0;0;0;0
6155A;0;0;0;0;4;;21;28;8;1;0;0;
6000A;0;0;0;;1;1;6;14;4;0;1;0;
7178I;0;0;1;0;11;26;30;29;22;3;0;0;122
7228;0;0;1;0;11;27;30;29;22;3;0;0;123
7031;0;0;0;0;0;4;8;22;3;0;0;0;37
9262;0;0;;;;;;15;8;0;0;0;
9263D;0;0;;;3;;13;16;8;0;0;0;
1690A;0;0;0;0;11;7;26;16;13;0;0;0;73
1484C;0;0;0;0;3;1;16;1;6;0;0;0;27
1495;0;0;0;0;4;2;;;7;0;0;0;
2867;0;0;0;0;6;10;29;17;8;0;0;0;70
2870;0;0;0;0;6;9;28;18;10;0;0;0;71
C929I;0;0;0;0;1;0;0;0;1;3;0;0;5
C430E;0;0;0;0;0;0;0;0;0;0;0;0;0
C139E;0;1;0;0;0;0;0;0;1;1;;0;
C449C;0;0;0;0;0;1;21;14;6;0;2;0;44
C447A;0;0;0;;4;1;6;6;9;2;0;0;
C429I;0;3;0;0;2;0;3;12;4;3;;0;
2465;0;0;0;0;0;5;22;13;5;0;0;0;45
5796;0;0;1;0;15;12;31;30;23;5;0;0;117
5783;0;0;1;0;17;;;31;22;6;0;0;
2030;0;0;0;0;0;6;20;14;2;0;0;0;42
0016A;0;0;0;0;1;3;29;28;4;0;0;0;65
9981A;0;0;0;0;9;10;31;29;20;1;0;0;100
9381I;0;0;0;0;2;8;18;17;7;0;0;0;52
8368U;0;0;0;0;5;11;28;28;10;0;0;0;82
3260B;0;0;0;0;14;14;31;25;14;0;0;0;98
8416;0;0;0;0;2;4;11;25;4;2;0;0;48
8414A;0;0;0;0;4;14;24;27;13;3;0;0;85
2422;0;0;0;0;4;10;27;14;8;0;0;0;63
2539;0;0;0;0;1;7;24;13;5;0;0;;
2614;0;0;0;0;10;10;29;19;10;0;0;;
9390;0;0;0;0;2;11;18;21;6;0;0;0;58
9434;0;0;0;0;6;11;26;22;12;0;0;0;77
