Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;63;52;;;;;;;59;43;34;31;
1387E;;;;;;;;;;;33;27;
1428;58;48;37;51;;37;70;66;50;34;28;23;
8175;71;64;;53;78;79;84;78;67;52;54;37;
8178D;;;;;;;87;;;;;;
8025;73;69;35;62;;85;;86;71;72;;56;
8019;68;66;34;63;83;86;86;86;70;68;68;54;69
6325O;68;67;39;61;78;78;84;82;70;63;67;57;68
9091O;53;48;25;42;53;50;59;60;53;48;36;32;47
1212E;52;54;34;49;;36;49;37;52;41;41;31;
1249I;56;54;32;45;39;29;51;37;51;43;46;34;43
2444;61;64;29;58;72;70;89;83;68;49;42;30;60
4452;69;62;43;67;76;74;91;89;73;60;44;40;66
B954;62;66;22;54;73;75;81;;62;58;57;47;
B893;65;70;29;60;72;73;87;79;;;52;62;
B278;62;67;25;55;67;71;82;78;61;66;55;48;61
B228;62;64;24;54;70;72;81;77;61;62;56;50;61
0200E;83;66;22;56;71;73;74;73;57;57;60;58;63
0076;48;53;22;;;66;69;70;55;54;38;33;
1082;51;40;26;35;43;36;61;50;44;37;31;23;40
2331;68;55;22;52;63;59;85;77;64;55;38;23;55
3469A;82;73;39;72;79;76;92;91;75;58;49;36;69
5960;;68;43;;77;;86;81;75;61;59;;
5910;74;67;45;73;81;84;86;76;78;59;61;55;70
1111;52;49;36;44;49;44;64;49;50;38;39;29;45
1109;49;50;32;44;46;38;60;49;49;37;37;25;43
8500A;76;71;;57;77;78;77;81;67;61;64;53;
5000C;42;55;;66;74;79;67;65;69;43;56;43;
4121;80;71;34;63;81;82;90;85;79;64;51;40;68
5402;81;77;49;72;;88;93;92;89;75;65;62;
8096;74;65;24;;;61;66;67;64;55;49;31;
1014;42;40;28;37;43;38;59;50;46;37;28;26;40
1024E;51;44;28;37;44;41;58;49;51;37;36;32;42
0367;79;69;24;57;66;73;76;67;64;63;;58;
5530E;80;71;40;62;82;86;90;85;82;61;66;52;71
5514;71;65;;61;79;82;88;82;75;50;65;50;
3013;71;65;23;54;71;76;80;;63;54;33;27;
4642E;83;76;53;77;82;87;87;81;;65;64;57;
9898;73;;33;67;71;72;81;82;;53;54;38;
5270B;77;70;;64;80;84;90;87;79;61;56;46;
9170;63;64;25;55;66;63;83;72;63;54;41;29;57
C249I;57;;;;;63;;;65;;;62;
C649I;;70;;65;77;;;81;66;82;83;69;
C029O;66;70;;75;;70;;;70;;;65;
2661;76;72;35;65;70;66;89;81;70;;;18;
1549;66;62;34;59;62;55;78;73;62;47;35;16;54
9771C;76;72;34;64;;;;84;75;;62;;
1505;52;48;38;46;;33;;;49;44;35;20;
3191E;71;63;24;56;71;75;86;79;65;47;45;;
3129;73;68;22;54;73;;88;80;;49;47;26;
3196;75;70;26;62;75;78;86;82;70;52;55;28;63
3200;78;71;27;60;75;75;84;81;73;52;56;31;64
3175;82;68;24;61;78;81;90;84;70;50;50;18;63
2462;61;57;16;47;68;72;;81;56;42;28;;
6155A;52;55;34;63;78;80;79;79;75;53;63;48;63
6000A;76;56;40;61;;73;68;63;;56;69;59;
7178I;65;68;27;62;;86;87;84;74;66;;56;
7228;62;67;21;56;77;81;82;81;63;57;67;53;64
7031;67;63;27;57;;;82;82;;56;69;55;
9263D;66;57;26;44;56;55;79;69;57;51;33;36;52
1690A;53;50;33;;59;;;;;;;21;
1495;65;54;39;58;56;;74;78;60;41;32;27;
2867;78;63;40;65;69;72;;;;54;46;29;
C929I;57;60;64;64;65;53;57;60;61;66;61;56;60
C430E;70;69;86;88;97;97;93;90;76;;91;69;
C139E;57;60;58;52;50;52;64;58;47;;52;59;
C449C;65;68;62;69;77;71;85;83;68;78;71;61;72
C447A;43;52;43;55;63;45;66;71;;59;53;41;
C429I;71;;68;;77;;84;79;71;80;82;66;
2465;72;65;27;60;72;71;89;83;67;52;42;34;61
5796;77;74;;69;78;82;85;83;75;;61;55;
5783;80;73;42;66;78;83;86;84;82;61;58;47;70
2030;82;67;23;58;67;66;78;75;67;57;49;30;60
0016A;84;66;24;;;71;74;73;53;51;56;50;
9981A;81;65;27;59;74;69;75;75;61;49;55;50;62
9381I;79;69;23;56;74;74;;73;;59;43;37;
8368U;72;64;;53;72;74;;72;;55;47;41;
3260B;;;;66;80;79;;86;81;63;53;33;
8416;74;65;26;50;72;77;74;79;63;50;60;48;62
8414A;75;69;27;52;76;80;77;82;65;51;62;49;64
2422;73;63;31;61;62;64;77;78;70;52;42;25;58
2539;76;63;29;60;71;72;89;86;63;51;45;23;61
2614;60;60;38;63;66;70;85;;70;50;;;
9390;66;61;21;54;68;73;81;75;64;50;40;30;57
9434;79;74;32;64;74;76;85;;72;53;46;44;
