Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;11.0;11.3;12.6;14.5;18.6;21.1;24.1;24.2;21.3;18.5;15.1;12.8;17.1
1428;6.6;7.3;8.9;11.1;16.6;18.3;23.4;24.4;19.1;15.6;11.2;8.9;14.3
8178D;;;;;;;32.0;;;;;;
4452;8.2;10.8;13.2;16.2;24.8;27.8;31.8;31.4;26.3;21.6;14.9;12.9;20.0
0200E;6.1;8.0;9.4;12.3;20.6;26.1;28.2;27.3;22.4;;13.8;10.1;
2331;;5.2;7.9;11.1;19.0;25.3;29.2;28.1;22.8;17.4;10.1;7.8;
3469A;9.0;10.9;12.4;15.0;23.7;28.2;32.9;32.9;27.4;22.3;15.5;13.0;20.3
1024E;6.9;8.1;;11.8;17.9;21.1;23.1;;19.2;17.6;12.1;10.1;
4642E;13.2;15.2;16.4;18.4;25.0;29.7;;31.9;;24.6;;;
1549;;8.2;10.9;14.3;21.9;23.3;28.0;28.0;22.6;;12.2;9.8;
1505;6.8;7.6;9.5;12.0;17.1;19.3;21.7;;19.5;16.9;12.3;9.9;
2462;1.2;;1.6;3.4;;16.5;22.0;21.3;15.3;;;;
7178I;10.6;13.6;14.7;16.0;23.7;31.2;34.3;34.3;29.9;23.0;18.2;14.5;22.0
1690A;8.7;8.5;10.6;12.5;16.8;19.1;26.1;29.8;;;;12.2;
1484C;10.6;10.7;12.7;15.1;18.5;20.8;22.9;23.8;21.8;19.0;15.6;13.1;17.1
2867;5.9;7.6;10.8;14.3;21.0;26.4;30.7;30.8;24.4;18.3;12.5;9.8;17.7
2422;3.2;5.4;9.4;13.2;22.2;27.4;32.1;31.8;25.0;18.3;10.9;7.9;17.2
2539;3.3;5.2;8.3;;18.8;24.0;29.5;27.4;21.4;;9.8;7.8;
