Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;0;0;0;0;0
1387E;10;1;;1;0;0;0;0;0;0;0;1;
1428;5;1;2;2;0;0;0;0;0;0;0;1;11
8175;24;7;1;2;0;0;0;0;0;0;2;3;39
8178D;18;3;0;2;0;0;0;0;0;0;0;0;23
8025;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;21;16;3;5;0;0;0;0;0;0;1;3;49
1212E;0;0;0;;;0;0;0;;0;0;;
1208H;0;0;0;0;0;0;0;0;0;0;0;0;0
1249I;4;0;0;1;0;0;0;0;0;0;0;0;5
2444;20;13;5;6;0;0;0;0;0;0;5;4;53
4452;9;1;0;0;0;0;0;0;0;0;0;0;10
B954;0;0;0;0;0;0;0;0;;;0;0;
B893;0;0;0;0;0;0;0;0;0;0;0;0;0
B278;11;0;0;0;0;0;0;0;0;0;0;0;11
B228;0;0;0;0;0;0;0;0;;0;0;0;
0200E;0;0;0;0;0;0;0;0;0;0;0;0;0
0076;0;0;0;;;0;0;0;0;0;0;0;
1082;7;1;0;0;0;0;0;0;0;0;0;0;8
2331;24;21;6;6;0;0;0;0;0;0;7;6;70
3469A;4;0;0;0;0;0;0;0;0;0;0;0;4
5973;0;0;0;0;0;0;0;0;0;0;0;0;0
5960;2;0;;;0;;0;0;0;0;0;0;
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
6001;0;0;0;0;;0;0;0;;0;0;0;
1111;0;0;0;0;0;0;0;0;0;0;0;0;0
1109;2;0;0;0;0;0;0;0;0;0;0;0;2
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;0;0;;0;0;0;0;0;0;0;0;0;
4121;18;1;0;2;0;0;0;0;0;0;0;1;22
5402;6;1;0;0;0;0;0;0;0;0;0;0;7
8096;22;10;2;4;0;0;0;0;0;0;0;0;38
1014;8;0;0;0;0;0;0;0;0;0;0;0;8
1024E;0;0;0;0;0;0;0;0;0;0;0;0;0
0367;24;;1;3;0;0;0;0;0;0;;1;
5530E;22;12;1;1;0;0;0;0;0;0;3;4;43
5514;16;5;0;0;0;0;0;0;0;0;2;1;24
3013;30;23;7;8;0;0;0;0;0;0;9;14;91
4642E;0;0;0;0;0;0;0;0;0;0;0;0;0
9898;20;4;0;4;0;0;0;0;0;0;0;5;33
5270B;0;0;0;0;0;0;0;0;0;0;0;0;0
9170;16;8;0;2;0;0;0;0;0;0;1;1;28
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;;0;;0;0;0;0;0;0;0;0;;
C029O;0;0;0;0;;0;;0;;0;0;;
2661;23;16;5;7;0;0;0;0;0;;1;;
1549;20;9;2;6;0;0;0;0;0;0;0;4;41
9771C;24;4;0;3;0;0;0;0;0;0;1;1;33
1505;17;10;5;7;0;0;0;;0;0;1;5;
3191E;4;0;0;4;0;0;0;0;0;0;0;1;9
3129;24;12;1;2;0;0;0;0;0;0;1;1;41
3196;11;1;0;2;0;0;0;0;0;0;0;0;14
3200;13;1;0;1;0;0;0;0;0;0;0;0;15
3195;3;0;;0;0;0;;0;0;0;;0;
3175;27;13;0;3;;0;0;0;0;0;3;3;
2462;22;15;23;15;1;0;0;0;0;0;9;12;97
6155A;0;0;0;0;0;0;0;0;0;0;0;0;0
6000A;0;0;;;0;0;0;0;0;0;0;0;
7178I;1;0;0;0;0;0;0;0;0;0;0;0;1
7228;8;0;0;0;0;0;0;0;0;0;0;0;8
7031;1;0;0;0;0;0;0;0;0;0;0;0;1
9263D;19;10;3;7;0;0;0;0;0;0;0;7;46
9262;;2;0;5;0;;0;0;0;0;0;2;
1690A;17;5;1;4;0;0;0;0;;;;2;
1484C;0;0;0;0;0;0;0;0;0;0;0;0;0
1495;;0;0;;0;;0;;0;0;0;0;
2867;25;22;4;7;0;0;0;0;0;0;7;6;71
2870;19;8;1;4;0;0;0;0;0;0;1;3;36
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;12;10;11;6;0;0;0;0;0;0;0;4;43
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;0;;0;0;0;0;0;0;0;0;
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;18;7;2;5;0;0;0;0;0;0;0;4;36
5796;1;0;0;0;0;0;0;0;0;0;0;0;1
5783;0;0;0;0;0;0;0;0;0;0;0;;
2030;24;18;5;6;0;0;0;0;0;0;3;6;62
0016A;17;0;0;1;0;0;0;0;0;0;0;0;18
9981A;2;0;0;0;0;0;0;0;0;0;0;0;2
9381I;26;21;6;7;0;0;0;0;0;0;3;7;70
8368U;29;19;3;5;0;0;0;0;0;0;5;9;70
3260B;;2;0;2;0;0;0;0;0;0;0;1;
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;6;0;0;0;0;0;0;0;0;0;0;0;6
2422;21;13;2;5;0;0;0;0;0;0;0;3;44
2539;25;22;7;8;0;0;0;0;0;0;4;4;70
2614;20;15;2;5;0;0;0;0;0;0;0;3;45
9390;25;18;5;6;0;0;0;0;0;0;4;6;64
9434;16;0;0;0;0;0;0;0;0;0;0;0;16
