Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;1;3;;;;;;;4;12;10;9;
1387E;4;1;;;2;0;0;;3;13;;10;
1428;2;;2;3;;0;;0;;11;6;;
8175;;0;;;1;;1;6;;;;4;
8178D;1;0;0;;;0;1;1;;;;;
8025;3;0;;1;0;0;0;0;0;0;1;0;
8019;4;3;7;7;;;0;1;;0;9;2;
6325O;6;5;;8;;;;6;;2;;;
9091O;1;3;6;6;1;2;;2;;6;6;3;
1212E;2;2;3;;;3;;2;;3;12;;
1249I;2;2;2;;0;1;0;0;;1;6;0;
2444;0;0;5;2;0;2;0;0;2;4;1;3;19
4452;0;0;1;;0;0;0;0;1;2;1;0;
B954;4;0;6;;4;1;;;;;9;;
B893;4;9;9;;8;3;4;1;2;0;;3;
B278;0;1;4;6;4;;;1;;;;1;
B228;0;0;0;1;0;0;;;;0;3;1;
0200E;5;4;9;7;0;0;1;;4;0;2;5;
1082;4;4;8;;3;1;0;1;;6;12;8;
2331;2;1;5;;3;3;3;;2;8;6;4;
3469A;0;0;2;2;1;1;1;0;3;4;2;2;18
5973;11;;7;8;7;5;9;1;3;3;1;7;
5960;;;;;;;0;;;;1;;
5910;7;3;6;3;5;3;6;1;3;2;0;7;46
6001;;;9;8;;;;;4;15;5;8;
1111;7;3;6;6;1;1;1;2;6;5;14;7;59
1109;5;3;5;7;1;1;0;0;5;9;14;8;58
8500A;0;1;;;;0;0;1;0;0;1;0;
5000C;2;1;;8;2;2;0;1;1;0;2;5;
4121;0;0;3;2;1;0;0;2;0;0;0;1;9
5402;;;;;;0;;;;;0;2;
8096;1;0;2;0;;0;2;;0;;0;0;
1014;4;2;3;5;;0;0;0;;4;7;2;
1024E;;5;18;11;4;3;0;;;14;20;;
0367;;;0;;4;;;3;;;;1;
5530E;1;0;3;4;2;1;1;1;2;2;;0;
5514;1;0;2;2;2;2;1;2;1;5;;;
3013;0;0;;0;0;1;0;;2;4;;0;
4642E;0;0;;3;0;1;0;;;0;0;3;
9898;1;;2;;0;;0;2;;0;0;0;
5270B;6;2;9;5;1;1;0;2;2;1;6;6;41
9170;0;0;3;;;2;;2;0;;;;
C249I;2;3;8;;1;;2;1;1;1;;4;
C649I;;9;;17;;26;29;31;16;8;3;;
C029O;4;4;10;11;;17;;20;;10;2;;
2661;;;;;5;;2;;;;;;
1549;0;0;0;0;0;0;1;0;0;0;;0;
9771C;2;2;2;3;1;1;;;;;4;;
1505;1;1;0;1;;0;0;;0;4;1;4;
3191E;;;1;;2;;1;4;1;2;;1;
3129;1;1;;5;4;;;;3;;7;;
3196;2;1;1;2;0;0;1;1;3;3;7;2;23
3200;2;1;2;3;2;1;3;4;2;3;8;1;32
3195;;;;0;;0;;1;;;;0;
3175;2;1;1;3;;;3;7;;4;;;
2462;11;;20;9;4;10;4;7;5;13;18;14;
6155A;;3;6;;;;0;0;1;;;;
7178I;2;0;2;1;0;0;0;2;1;0;;0;
7228;1;1;5;2;0;1;;2;0;0;1;2;
9263D;;;6;;;;2;0;;6;;0;
1690A;0;0;0;0;1;0;0;0;;;;1;
1484C;1;1;1;1;;0;0;;0;;4;5;
1495;;1;4;;3;;2;;0;9;;;
2867;1;1;6;3;1;2;;1;;;7;5;
2870;1;0;0;1;0;2;0;0;0;0;2;2;8
C929I;7;9;15;;1;7;18;;5;2;4;4;
C430E;17;19;;17;13;7;9;8;16;15;4;22;
C139E;;8;14;;;;8;;2;;3;;
C449C;0;0;4;0;1;0;2;;;0;0;;
C447A;;;;;2;;;3;;;1;3;
C429I;5;9;9;13;13;;16;;11;7;7;;
2465;1;1;9;3;3;3;2;3;2;8;6;2;43
5796;0;0;0;1;0;0;0;0;0;;;;
5783;0;0;1;;;0;;1;;0;0;;
2030;0;0;;2;0;1;1;0;;2;3;1;
0016A;6;5;4;;0;1;1;3;3;0;8;2;
9981A;7;7;5;5;1;1;0;4;;;;1;
9381I;3;0;;1;1;3;1;4;3;2;3;2;
8368U;0;0;1;2;0;2;2;3;;0;1;0;
3260B;;0;5;3;1;2;1;2;2;3;3;1;
8414A;4;0;;5;0;0;0;4;0;0;5;5;
2422;0;;0;2;0;2;0;1;0;0;1;1;
2614;0;0;0;;0;;1;0;0;;;1;
9390;0;1;0;1;;;0;2;;3;4;;
9434;7;9;7;;;;5;7;;1;7;2;
