Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;1;2;0;0;0;0;0;0;0;1;0;0;4
1387E;2;1;0;0;0;1;0;;0;0;1;0;
1428;0;0;0;0;1;2;0;0;0;0;1;0;4
8175;0;0;0;0;0;0;0;0;0;0;0;0;0
8178D;0;0;0;0;0;0;0;0;1;0;0;0;1
8025;0;0;0;0;0;0;0;;;0;0;0;
8019;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;0;0;0;0;0;1;1;0;0;0;0;0;2
1212E;2;0;0;0;0;0;0;0;0;0;0;0;2
1208H;2;0;0;0;0;1;0;0;;;;;
1249I;2;;;;;;;;;;;;
2444;0;1;0;0;1;0;0;0;;0;0;0;
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;1;1;0;1;0;0;0;0;0;0;0;0;3
B278;0;0;0;0;0;0;0;0;0;0;1;0;1
B228;1;0;0;0;2;0;0;0;0;0;0;0;3
0200E;0;0;0;0;0;0;0;0;0;0;0;0;0
0076;0;0;0;0;0;0;0;0;0;0;0;0;0
1082;2;0;0;0;1;0;0;0;0;0;0;0;3
2331;0;0;0;0;1;2;0;0;0;0;1;0;4
3469A;0;0;0;0;1;1;0;0;0;0;0;0;2
5973;0;0;0;0;0;0;0;0;;;;;
5960;0;0;0;0;0;0;0;0;0;0;0;0;0
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
1111;1;1;0;0;0;0;0;0;0;0;0;0;2
1109;4;0;0;0;0;0;0;0;0;0;0;1;5
8501;;;;;;;;0;;;;;
8500A;0;0;0;0;0;0;1;0;1;0;0;0;2
5000C;0;1;0;0;0;0;0;0;0;0;0;0;1
4121;0;0;0;0;0;0;1;0;2;0;0;0;3
5402;0;0;0;0;0;0;0;0;0;0;0;0;0
8096;1;0;0;0;0;0;0;0;0;0;0;0;1
1024E;1;0;0;0;0;0;0;0;0;0;0;0;1
1014;1;0;0;0;0;0;0;0;0;0;1;0;2
0367;0;0;0;0;0;1;0;0;0;0;0;0;1
5530E;0;0;0;0;0;0;0;0;0;0;0;0;0
5514;0;0;0;0;0;0;0;0;0;0;0;0;0
3013;0;0;0;0;1;2;1;0;1;0;1;0;6
4642E;0;0;0;0;0;0;0;0;0;3;0;0;3
9898;1;0;0;0;2;0;0;0;0;0;0;0;3
5270B;0;0;0;0;1;0;0;0;1;1;1;0;4
9170;1;1;0;0;1;0;0;0;0;0;0;0;3
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;0;0;0;0;0;;0;0;0;0;0;0;
1549;0;0;0;0;0;1;0;0;0;0;0;0;1
9771C;0;1;0;0;0;1;2;0;0;0;1;0;5
1505;;0;;0;2;3;0;0;;0;;1;
3191E;0;0;0;0;0;2;0;0;0;0;0;0;2
3129;0;0;0;0;0;0;0;0;0;0;0;0;0
3196;0;0;0;0;0;1;0;0;0;0;0;0;1
3200;1;0;0;0;0;0;0;0;0;0;0;0;1
3195;0;0;0;0;0;0;0;;;;;0;
3175;0;0;0;0;0;1;0;0;0;0;0;0;1
2462;0;0;2;0;0;2;2;0;3;0;0;0;9
6155A;0;0;0;0;1;0;0;0;;0;0;0;
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;0;0;0;0;0;0;0;0;1;0;0;0;1
7228;0;0;0;0;2;0;0;0;1;0;0;0;3
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9263D;0;0;0;0;1;0;2;;;0;0;0;
9262;0;0;0;0;0;0;2;;1;0;;0;
1690A;;0;0;0;2;2;0;0;;;;;
1484C;1;0;0;0;0;0;0;1;;;;;
1495;1;0;0;0;1;0;0;0;0;1;0;0;3
2867;0;0;0;0;1;0;0;0;0;0;0;0;1
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;0;1;0;0;0;0;0;0;0;0;0;0;1
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;1;0;1
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;0;;;0;1;1;1;0;0;0;0;0;
5796;0;0;0;0;1;0;0;0;0;0;0;0;1
5783;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;1;1;0;1;1;4;0;1;1;0;0;0;10
0016A;0;0;0;0;1;0;0;0;0;0;0;0;1
9981A;0;0;0;0;3;0;0;1;2;0;1;0;7
9381I;0;0;0;0;0;0;0;0;0;1;0;0;1
8368U;0;0;0;0;1;;1;0;0;;0;;
3260B;;0;;0;1;1;0;0;;1;;;
8416;0;0;0;0;0;0;1;0;2;0;0;0;3
8414A;0;0;0;0;0;0;1;0;0;0;0;0;1
2422;0;0;0;0;0;0;0;0;0;0;0;0;0
2539;0;1;0;0;0;0;0;0;0;0;0;0;1
2614;0;1;0;0;2;3;0;0;0;0;1;0;7
9390;1;0;0;1;0;0;0;0;1;0;0;0;3
9434;0;0;0;1;0;4;1;0;1;0;0;0;7
