Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;0;0;0;0;0
1387E;0;0;0;0;0;0;0;;0;0;0;0;
1428;1;1;0;0;0;0;0;0;0;0;0;0;2
8175;2;0;0;0;0;0;0;0;0;0;0;0;2
8178D;2;0;0;0;0;0;0;0;0;0;0;0;2
8025;0;0;0;0;0;0;0;;;0;0;0;
8019;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;5;5;0;0;0;0;0;0;0;0;0;0;10
1212E;0;0;1;0;0;0;0;0;0;0;0;0;1
1208H;0;0;1;0;0;0;0;0;;;;;
1249I;1;;;;;;;;;;;;
2444;7;5;1;0;0;0;0;0;;0;1;0;
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;0;0;0;0;0;0;0;0;0;0;0;0;0
B278;0;1;0;0;0;0;0;0;0;0;0;0;1
B228;0;0;0;0;0;0;0;0;0;0;0;0;0
0200E;2;2;0;0;0;0;0;0;0;0;0;0;4
0076;0;1;0;0;0;0;0;0;0;0;0;0;1
1082;0;1;0;0;0;0;0;0;0;0;0;0;1
2331;10;8;0;0;0;0;0;0;0;0;0;0;18
3469A;0;0;0;0;0;0;0;0;0;0;0;0;0
5973;0;0;0;0;0;0;0;0;;;;;
5960;0;0;0;0;0;0;0;0;0;0;0;0;0
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
1111;0;0;0;0;0;0;0;0;0;0;0;0;0
1109;0;1;0;0;0;0;0;0;0;0;0;0;1
8501;;;;;;;;0;;;;;
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;0;0;0;0;0;0;0;0;0;0;0;0;0
4121;1;0;0;0;0;0;0;0;0;0;0;0;1
5402;0;0;0;0;0;0;0;0;0;0;0;0;0
8096;4;3;0;0;0;0;0;0;0;0;0;0;7
1024E;2;2;0;0;0;0;0;0;0;0;0;0;4
1014;0;1;0;0;0;0;0;0;0;0;0;0;1
0367;0;0;0;0;0;0;0;0;0;0;0;0;0
5530E;0;0;0;0;0;0;0;0;0;0;0;0;0
5514;0;1;0;0;0;0;0;0;0;0;0;0;1
3013;9;5;2;0;0;0;0;0;0;0;0;0;16
4642E;0;0;0;0;0;0;0;0;0;0;0;0;0
9898;1;0;0;0;0;0;0;0;0;0;0;0;1
5270B;0;0;0;0;0;0;0;0;0;0;0;0;0
9170;1;2;0;0;0;0;0;0;0;0;0;0;3
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;2;4;1;0;0;;0;0;0;0;0;0;
1549;3;3;0;0;0;0;0;0;0;0;0;0;6
9771C;1;0;0;0;0;0;0;0;0;0;0;0;1
1505;;2;;0;0;0;0;0;;0;;0;
3191E;1;3;0;0;0;0;0;0;0;0;0;0;4
3129;1;0;0;0;0;0;0;0;0;0;0;0;1
3196;1;0;0;0;0;0;0;0;0;0;0;0;1
3200;0;0;0;0;0;0;0;0;0;0;0;0;0
3195;0;1;0;0;0;0;0;;;;;0;
3175;0;0;0;0;0;0;0;0;0;0;0;0;0
2462;13;6;4;2;1;0;0;0;0;0;9;3;38
6155A;0;0;0;0;0;0;0;0;;0;0;0;
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;0;0;0;0;0;0;0;0;0;0;0;0;0
7228;0;0;0;0;0;0;0;0;0;0;0;0;0
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9263D;3;1;0;0;0;0;0;;;0;0;0;
9262;2;2;0;0;0;0;0;;0;0;;0;
1690A;;0;0;0;0;0;0;0;;;;;
1484C;0;0;0;0;0;0;0;0;;;;;
1495;0;0;0;0;0;0;0;0;0;0;0;0;0
2867;1;1;0;0;0;0;0;0;0;0;0;0;2
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;2;8;0;0;0;0;0;0;0;0;0;2;12
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;2;;;0;0;0;0;0;0;0;0;0;
5796;0;0;0;0;0;0;0;0;0;0;0;0;0
5783;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;3;4;0;0;0;0;0;0;0;0;2;0;9
0016A;0;1;0;0;0;0;0;0;0;0;0;0;1
9981A;0;0;0;0;0;0;0;0;0;0;0;0;0
9381I;6;2;0;0;0;0;0;0;0;0;1;0;9
8368U;0;2;0;0;0;;0;0;0;;0;;
3260B;;0;;0;0;0;0;0;;0;;;
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;0;0;0;0;0;0;0;0;0;0;0;0;0
2422;3;3;0;0;0;0;0;0;0;0;0;0;6
2539;1;1;0;0;0;0;0;0;0;0;0;0;2
2614;1;1;0;0;0;0;0;0;0;0;0;2;4
9390;3;2;1;0;0;0;0;0;0;0;0;0;6
9434;0;0;0;0;0;0;0;0;0;0;0;0;0
