Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17;11;19;19;23;23;26;23;25;15;18;18;237
1387E;18;9;19;22;25;20;26;24;25;19;9;18;234
1428;14;8;14;18;24;21;25;20;19;13;12;14;202
8175;18;20;21;16;26;20;16;10;22;20;22;16;227
8025;15;15;13;15;16;12;11;11;;17;17;11;
8019;17;17;17;18;23;17;22;15;20;15;17;9;207
6325O;19;11;18;14;18;13;10;9;18;19;19;14;182
9091O;13;12;;13;19;14;23;23;20;18;14;10;
1212E;16;9;23;16;19;21;21;19;22;13;13;11;203
1208H;13;9;19;14;14;13;15;13;15;12;11;10;158
2444;;;;;;13;14;11;11;13;15;12;
4452;16;11;19;18;15;20;8;12;17;12;15;12;175
B954;23;12;24;19;22;19;23;17;23;22;27;19;250
B893;23;18;27;21;18;22;18;17;20;22;25;23;254
B278;26;15;27;26;26;21;19;13;20;24;22;25;264
B228;23;13;24;25;25;20;16;13;16;15;23;24;237
0200E;21;14;21;27;23;25;23;19;;;;;
0076;17;12;22;21;23;24;19;19;18;19;19;13;226
1082;12;11;19;13;19;13;16;12;18;15;12;10;170
2331;12;16;18;17;27;20;20;23;22;13;16;17;221
5973;;11;;11;17;18;;5;12;;8;12;
5960;15;17;18;14;16;18;9;6;16;18;14;13;174
5910;19;16;;17;20;20;12;13;17;19;12;12;
6001;18;11;;7;12;13;8;7;11;15;10;16;
1111;18;11;17;15;21;16;20;19;22;15;15;15;204
1109;12;8;16;11;18;13;16;14;16;16;13;15;168
8500A;15;12;11;17;25;17;21;12;13;11;16;13;183
4121;18;10;18;12;20;11;9;8;16;14;;6;
5402;;;;13;18;17;7;9;;;;;
1024E;11;7;17;12;15;12;12;15;13;13;;11;
1014;13;8;18;12;21;11;13;16;18;14;14;12;170
0367;22;10;24;23;20;27;19;19;18;17;22;13;234
5530E;17;17;20;14;22;16;11;10;17;22;15;14;195
5514;16;13;18;13;21;14;11;10;19;22;13;13;183
3013;12;11;24;18;19;14;15;12;14;12;19;12;182
4642E;12;11;20;13;12;13;7;9;15;14;13;10;149
5270B;14;9;17;14;13;11;8;8;17;20;17;10;158
9170;15;10;23;;24;20;22;17;20;;;;
C249I;26;23;24;16;25;;23;11;25;21;28;19;
C649I;21;;20;22;27;20;24;20;28;21;23;18;
C029O;23;18;18;21;23;21;21;15;30;21;23;17;251
2661;14;10;;;24;;19;16;18;14;19;13;
1549;;;;;;;;;;8;10;18;
9771C;11;12;15;16;20;17;14;6;9;15;17;14;166
1505;12;10;12;14;13;11;20;19;13;12;13;15;164
3191E;;17;21;24;20;21;11;8;12;13;17;;
3129;16;13;20;19;24;20;9;10;14;15;;11;
3196;19;15;19;22;18;21;12;10;15;13;16;13;193
3200;18;18;23;21;24;21;14;12;21;18;16;11;217
3195;16;12;18;16;16;13;9;10;12;15;16;10;163
3175;13;15;20;23;25;19;11;10;17;16;18;13;200
6155A;24;19;20;12;22;17;15;16;20;24;21;14;224
6000A;;19;22;17;23;12;19;15;22;28;24;21;
7178I;22;12;23;22;21;17;17;15;;;;;
7228;19;12;19;19;25;19;14;13;;19;18;;
9263D;14;7;22;16;23;18;21;20;18;13;18;13;203
1690A;17;7;9;13;18;12;18;15;12;16;15;17;169
1484C;;;;;;;;16;17;14;13;;
1495;12;8;12;16;21;16;15;16;13;8;9;12;158
2867;20;13;18;20;21;13;12;14;21;15;17;14;198
2870;17;7;13;16;14;11;11;11;12;10;12;17;151
C929I;21;25;23;23;28;24;24;22;24;19;23;16;272
C139E;22;27;20;22;27;26;24;22;26;23;22;18;279
C449C;;;;;;;;;;;;16;
C447A;;23;18;23;24;23;22;23;;;;;
C429I;20;23;17;19;21;21;17;15;27;21;20;16;237
2465;;12;13;12;14;11;10;11;16;10;17;11;
5796;11;13;18;15;18;19;6;;;24;15;15;
5783;13;14;21;13;15;16;6;6;18;20;13;10;165
2030;14;8;19;15;18;13;17;9;13;12;16;10;164
0016A;17;14;23;25;25;21;23;21;22;18;26;17;252
9981A;18;12;27;21;23;;;;;;;;
9381I;19;16;24;23;25;20;17;15;21;16;22;22;240
8368U;14;15;20;14;13;14;17;10;14;13;18;13;175
3260B;16;9;19;16;17;10;6;9;14;12;20;10;158
8414A;19;15;22;17;27;22;24;17;21;16;25;13;238
2422;23;13;23;24;28;20;12;15;22;;;;
2539;19;13;19;22;23;20;13;13;20;11;13;10;196
2614;20;11;12;21;20;10;10;12;17;;17;17;
9390;19;14;26;23;22;16;12;15;19;12;23;18;219
9434;17;8;24;23;27;17;19;16;18;17;22;22;230
