Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;3;14;4;2;4;1;2;3;2;5;0;5;45
1387E;3;11;4;1;2;3;2;3;2;5;3;4;43
1428;4;15;3;2;2;2;2;7;2;4;2;4;49
8175;11;6;8;10;0;6;15;21;7;6;7;12;109
8025;9;7;11;10;2;12;14;20;;10;11;15;
8019;13;6;10;9;0;8;9;16;7;11;12;17;118
6325O;12;9;10;15;8;13;21;22;10;11;11;11;153
9091O;0;7;;3;0;0;2;4;3;5;0;2;
1212E;2;9;1;2;1;1;3;2;4;4;0;5;34
1208H;2;8;2;3;1;1;2;2;4;3;0;6;34
2444;;;;;;6;15;20;7;7;6;10;
4452;10;13;3;10;5;7;22;19;7;7;5;6;114
B954;6;7;6;7;3;8;7;14;4;6;2;7;77
B893;1;4;1;4;1;5;12;13;4;4;1;2;52
B278;3;6;2;4;0;6;11;17;4;4;3;4;64
B228;7;9;4;2;0;6;15;17;9;12;3;4;88
0200E;8;9;6;2;1;2;7;9;;;;;
0076;11;11;6;6;2;4;12;9;7;7;6;13;94
1082;3;8;1;3;0;1;1;5;5;5;1;3;36
2331;1;8;2;4;0;1;11;8;4;8;1;0;48
5973;;11;;17;9;10;;25;14;;16;13;
5960;13;9;9;15;10;11;22;25;13;11;12;14;164
5910;9;10;;10;6;7;18;17;8;4;11;12;
6001;8;6;;18;13;13;22;23;16;8;16;10;
1111;2;7;1;2;0;2;1;3;3;4;0;3;28
1109;2;10;1;3;0;1;3;4;4;5;0;3;36
8500A;14;10;12;8;1;6;8;17;7;10;8;13;114
4121;6;12;10;16;3;10;22;20;7;7;;12;
5402;;;;15;7;11;24;22;;;;;
1024E;2;11;2;3;1;2;2;5;4;8;;3;
1014;3;12;2;4;0;2;4;6;4;8;1;4;50
0367;8;11;4;3;3;2;12;9;9;8;5;14;88
5530E;12;9;7;14;3;12;20;21;9;6;13;13;139
5514;11;8;10;15;2;12;20;21;9;5;12;14;139
3013;10;11;3;4;2;4;16;18;8;8;4;11;99
4642E;16;11;8;15;13;13;24;21;13;8;13;13;168
5270B;12;12;10;13;11;12;22;23;7;5;12;16;155
9170;3;12;2;;1;3;9;11;6;;;;
C249I;4;5;7;13;6;;8;18;5;10;2;11;
C649I;7;;10;8;4;8;7;11;2;10;6;9;
C029O;6;7;12;9;8;8;9;14;0;8;6;12;99
2661;10;15;;;3;;11;14;6;8;0;4;
1549;;;;;;;;;;8;1;0;
9771C;12;14;16;13;8;5;16;24;17;12;11;10;158
1505;5;11;3;2;1;2;2;3;6;7;1;2;45
3191E;;10;5;6;3;6;20;23;9;7;5;;
3129;10;11;7;8;1;7;22;21;9;8;;13;
3196;8;10;6;5;1;4;18;21;8;6;6;11;104
3200;9;9;6;7;1;5;17;19;6;7;6;12;104
3195;11;14;9;9;4;8;20;21;8;7;7;12;130
3175;13;11;8;6;2;6;20;21;9;9;6;13;124
6155A;6;5;9;15;5;11;16;15;5;2;9;13;111
6000A;;2;6;10;5;11;12;15;2;1;5;8;
7178I;9;7;4;5;0;7;13;16;;;;;
7228;11;6;9;8;1;8;17;18;;9;11;;
9263D;2;13;3;4;0;2;7;8;6;8;1;4;58
1690A;7;16;5;4;2;4;6;11;7;3;2;2;69
1484C;;;;;;;;13;7;6;2;;
1495;6;16;3;6;4;7;13;10;6;7;1;5;84
2867;5;10;5;4;3;10;18;17;6;6;1;4;89
2870;7;12;10;10;5;8;18;18;7;7;5;3;110
C929I;9;3;8;6;3;6;5;8;6;12;6;13;85
C139E;1;1;9;5;3;1;5;8;3;8;6;9;59
C449C;;;;;;;;;;;;13;
C447A;;1;11;5;3;4;7;6;;;;;
C429I;11;4;13;11;10;8;14;15;2;9;10;13;120
2465;;11;10;10;3;7;18;19;7;10;5;8;
5796;14;10;6;14;9;11;25;;;3;10;12;
5783;15;10;7;16;9;12;25;25;11;5;12;15;162
2030;11;14;6;5;2;3;11;17;7;10;3;10;99
0016A;10;10;5;4;2;5;5;9;5;6;3;12;76
9981A;10;11;2;5;3;;;;;;;;
9381I;8;10;3;7;2;3;14;16;5;9;5;6;88
8368U;9;9;4;9;2;3;11;18;11;7;9;9;101
3260B;8;14;7;12;4;9;23;21;9;10;5;12;134
8414A;12;8;7;8;0;4;6;14;4;9;5;14;91
2422;3;12;5;5;2;6;19;16;6;;;;
2539;6;10;5;5;2;6;17;18;5;8;2;4;88
2614;5;12;9;6;3;9;20;18;8;;3;3;
9390;8;10;3;6;2;4;19;15;5;8;3;7;90
9434;7;15;3;5;2;5;12;15;7;7;8;6;92
