Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;674;693;907;774;1065;689;908;1028;812;915;638;610;9713
8175;;809;;2453;1953;2071;;3648;1560;1592;962;629;
6325O;1062;1118;1110;1334;1228;1606;1546;1798;1467;1338;924;917;15448
9091O;413;450;1142;864;1110;896;1115;1361;1264;1199;646;424;10884
1212E;737;520;1162;703;724;806;1030;840;850;998;636;858;9864
1208H;;;1152;684;707;525;;;;;;;
4452;516;984;1196;2288;2462;2704;3715;3719;1679;1364;460;250;21337
B954;890;693;1063;1107;;;;1722;1221;1446;1138;877;
B893;1141;699;1016;1279;1353;1475;1568;1759;;1332;1317;901;
B278;1349;788;1436;1813;2201;2316;2807;2796;2063;2159;1674;1325;22727
B228;859;601;1095;1042;1369;1343;1486;1552;1228;1092;997;827;13491
0200E;1285;1346;1350;1364;966;1210;1622;1488;;;;;
2331;372;591;1318;1531;1376;1162;2357;2491;1471;1399;576;348;14992
3469A;600;648;1373;;;;;;;;629;337;
5960;579;816;1118;1791;1542;1865;2198;2485;1192;1200;756;564;16106
5910;;1385;1498;2495;2029;2139;2003;2624;1296;1366;1378;867;
1111;1189;1098;1315;781;849;663;990;1114;;1399;1104;1140;
1109;;1193;1669;1232;1472;1317;1474;;1506;1661;1118;965;
5402;770;1095;1479;2988;3071;3503;5387;5052;2299;1613;686;438;28381
8096;;;;;;;;1586;;;474;;
1024E;818;1087;1493;506;555;685;581;672;1111;1663;867;1062;11100
1014;540;610;976;498;650;721;842;681;785;1121;517;504;8445
5530E;;935;1457;2362;2118;2335;3883;3851;2102;1566;863;536;
5514;697;1027;1741;3051;2118;2628;4399;4228;2342;2002;969;615;25817
3013;;;;;;;;;;;511;;
4642E;;841;1128;;;;;;;;773;;
9170;947;859;1894;1959;2295;1970;2626;3165;1387;1248;1130;813;20293
C249I;;;;;;;;1970;1709;1907;1564;1775;
C029O;2348;1830;;2710;3207;2375;3482;;2688;;;;
2661;;;;1751;1482;;2453;2579;1176;1012;677;;
1549;374;921;1116;;;;;;;945;436;271;
9771C;437;514;1679;2240;2137;2181;2876;2717;1925;1107;951;;
3191E;767;1085;1345;2138;1902;1549;3380;3737;1190;1188;578;613;19472
3196;964;1121;2328;3293;2987;2788;;5524;1835;1729;804;644;
3200;758;1003;1761;2696;2376;2427;4611;4224;1369;1252;601;483;23561
3175;;;;3311;;2729;5498;;1630;1717;1007;732;
6000A;943;863;1062;1312;886;963;1776;1663;792;618;824;862;12564
7178I;1116;697;1636;1833;1440;1755;2091;2302;1215;1465;1299;992;17841
7228;1240;795;1998;2353;1690;2047;2422;2812;;1505;1486;;
7031;1067;1011;;1710;1364;1445;1530;1893;1445;1337;1373;1185;
1484C;;;;;;;;;426;;;;
2867;457;776;1519;2133;1807;2107;;3446;1671;1618;691;475;
C929I;1467;946;1165;1392;1471;1170;1189;1155;943;1219;945;965;14027
C447A;521;412;1563;1062;1297;1053;;1864;1166;1985;1097;847;
5796;845;1254;1549;2735;2537;3005;4068;4421;;1721;;676;
2030;;;;;;;;;;;;446;
0016A;1183;769;1483;1496;1631;;1759;2029;1471;;1551;1316;
9981A;1165;703;922;;;;1610;809;705;780;1086;988;
8414A;878;579;1365;1204;1128;1263;1218;1445;868;1112;1155;853;13068
2422;365;575;905;1497;1491;1472;2403;2483;1137;995;362;174;13859
2539;;359;;2238;2109;2051;3969;;1853;1760;639;196;
9390;;;1511;1824;1641;;2675;2761;1334;1440;806;379;
9434;1417;;2755;;;;;;;2068;;;
