Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;76;67;71;73;71;79;74;75;75;75;80;77;74
1387E;79;71;72;75;;77;73;;76;77;;82;
1428;87;66;;72;;76;;73;79;;;;
8175;73;66;50;34;49;53;33;32;59;60;70;71;54
8178D;69;63;51;44;56;55;41;42;59;60;68;70;57
8025;56;63;53;53;;58;66;61;69;62;55;59;
8019;58;65;56;57;66;64;68;62;70;;55;;
6325O;65;58;67;;65;62;69;62;66;69;73;;
9091O;84;76;67;69;70;75;72;66;70;68;81;85;74
1212E;76;74;;78;80;;78;;;73;79;;
1208H;75;74;71;80;80;83;75;80;77;74;80;76;77
2444;76;66;56;42;54;57;35;32;58;62;77;76;58
4452;78;63;60;42;44;44;36;34;58;63;82;86;58
B954;;;;;65;69;72;68;75;71;69;72;
B893;75;76;77;71;70;68;67;;74;75;75;78;
B278;;;;;63;66;;64;71;76;75;76;
B228;68;71;;;63;;70;;;;68;;
0200E;;;;56;64;63;66;;;;;;
0076;59;66;;;67;;68;;;71;66;;
1082;77;66;60;72;71;73;73;72;72;66;77;75;71
2331;86;71;66;53;60;69;51;47;61;;85;89;
3469A;78;66;61;40;46;48;32;30;56;61;83;86;57
5973;75;71;72;63;72;66;73;66;73;74;75;80;72
5960;;;66;49;55;53;;;;;73;;
5910;72;64;67;55;63;59;61;54;70;70;72;78;65
6001;80;80;;76;77;76;78;77;82;81;78;;
1111;73;72;71;81;82;85;80;81;80;;;77;
1109;75;;;74;73;76;;75;;74;77;77;
8500A;54;62;55;59;57;62;68;59;70;64;56;59;60
5000C;73;78;68;64;68;72;55;66;73;78;;74;
4121;76;59;49;33;42;46;25;26;55;59;76;81;52
5402;77;62;;40;;43;28;25;52;;;82;
8096;65;55;51;36;46;56;35;32;56;61;74;71;53
1024E;78;68;69;81;81;83;84;83;76;69;81;77;78
1014;75;;65;74;71;73;73;74;;70;80;79;
0367;71;73;;65;64;;60;;65;;;;
5530E;73;;53;35;47;51;;29;;;67;;
5514;68;54;;30;44;47;30;27;;53;63;68;
3013;71;62;57;42;52;62;41;38;61;64;75;75;58
4642E;72;64;65;47;55;53;43;40;65;71;75;79;61
9898;75;67;59;;45;57;47;39;58;67;76;79;
5270B;70;50;50;30;43;45;27;25;51;52;64;69;48
9170;76;67;60;52;51;;51;46;;71;77;80;
C249I;67;67;73;68;;67;;;70;65;;;
C649I;;;;60;;69;61;;;56;63;;
C029O;64;;61;61;60;65;61;62;65;;61;;
2661;80;;63;;53;;45;42;65;;82;;
1549;81;60;60;50;51;62;49;47;63;69;82;88;64
9771C;77;66;54;45;;54;50;44;59;66;71;81;
1505;85;76;70;69;71;74;70;;74;80;88;89;
3191E;69;55;56;38;48;55;34;33;64;68;78;;
3129;;59;56;36;;52;29;26;;66;79;;
3196;68;56;56;40;49;51;36;30;65;69;81;76;56
3200;70;58;55;37;46;;29;28;62;65;78;75;
3195;68;52;53;;45;50;30;27;62;64;80;77;
3175;72;;55;37;;52;;;;;;;
2462;82;71;70;52;65;71;44;39;76;75;;65;
6155A;64;65;57;56;;58;56;;;69;62;;
6000A;69;74;63;58;64;67;56;62;74;75;65;64;66
7178I;55;65;45;43;59;54;54;49;63;57;50;52;54
7228;58;66;48;44;58;55;54;48;62;57;55;58;55
9263D;;67;64;63;;;63;;;69;;;
1690A;82;64;65;57;;65;55;54;69;76;85;88;
1484C;;59;78;72;;;;71;79;83;90;88;
1495;83;62;78;;66;;;71;76;80;88;88;
2867;83;66;66;50;;61;47;45;;68;83;;
2870;77;63;63;51;56;57;;48;;66;78;;
C929I;69;66;71;71;70;72;73;74;71;62;70;;
C430E;;82;;;;;;;43;;41;;
C139E;72;67;;68;;;73;;;;68;;
C449C;65;62;59;;55;63;53;55;61;56;61;60;
C447A;;85;59;;;78;74;63;;;66;;
C429I;;;;59;;67;;59;66;51;58;;
2465;76;60;58;42;53;56;35;31;57;59;80;80;57
5796;70;56;;45;52;;;33;50;;67;73;
5783;74;;57;;46;47;36;31;57;62;;;
2030;72;60;60;47;53;68;47;39;65;66;;76;
0016A;60;65;;61;58;60;62;55;;69;59;60;
9981A;55;63;56;51;50;60;58;51;72;69;58;;
9381I;72;63;52;41;51;61;41;40;57;58;67;75;57
8368U;65;60;49;39;51;63;45;40;60;58;62;66;55
3260B;72;55;51;34;43;48;27;25;58;62;;82;
8414A;56;63;51;52;57;58;65;56;69;63;55;56;58
2422;82;64;62;45;52;55;39;38;60;65;85;92;62
2539;;66;66;49;55;59;41;;;68;87;92;
2614;79;64;61;46;49;55;40;;60;65;82;88;
9390;69;63;51;42;49;60;44;40;61;59;68;74;57
9434;68;;48;44;;;47;;;;;;
