Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;42;67;54;;;58;62;67;59;42;31;34;
1387E;40;66;52;;;56;57;;57;43;;29;
1428;35;65;38;53;58;57;;63;51;36;25;33;
8175;58;52;76;78;56;61;81;81;70;59;61;50;65
8178D;;;;;;;85;;;;;;
8025;78;60;86;87;;75;78;86;73;77;82;75;
8019;75;55;84;85;62;75;;;69;76;81;;
6325O;78;56;75;80;64;75;76;85;71;71;79;64;73
9091O;28;49;45;54;45;36;53;60;53;50;33;31;45
1212E;39;48;47;47;42;46;44;;53;40;28;38;
2444;44;59;73;80;66;62;85;88;65;55;47;48;64
4452;49;67;68;86;69;73;92;88;64;52;40;41;66
B954;64;57;73;78;55;68;68;80;57;67;74;63;67
B893;55;56;75;80;56;69;77;76;64;71;64;;
B278;55;58;73;77;50;64;71;81;65;66;60;62;65
B228;55;56;68;79;53;66;70;79;64;63;64;66;65
0200E;69;68;65;74;54;60;67;71;;;;;
0076;43;57;67;74;54;52;64;67;67;60;40;39;57
1082;26;50;36;48;39;36;30;45;48;46;28;30;39
2331;33;61;51;66;52;52;79;79;64;;31;30;
3469A;58;76;75;90;70;73;91;92;69;52;53;46;70
5960;;71;76;85;76;79;;89;;65;70;;
5910;69;60;68;83;75;78;86;85;75;62;72;65;73
1111;37;54;47;48;49;46;47;50;57;48;32;37;46
1109;31;52;39;49;48;40;41;48;49;45;33;30;42
8500A;78;67;81;82;66;71;70;82;69;70;79;71;74
5000C;56;36;75;74;66;69;79;76;69;57;66;57;65
4121;52;72;76;85;66;69;91;90;72;59;;51;
5402;69;76;83;90;73;85;94;94;87;68;65;69;79
8096;61;65;66;72;49;42;63;71;60;48;51;55;59
1024E;31;52;42;49;42;38;36;45;51;51;30;33;42
1014;25;54;40;46;47;34;36;47;50;46;25;24;40
0367;63;63;68;66;56;55;73;71;71;68;62;64;65
5530E;68;67;80;85;69;72;89;91;81;67;75;65;76
5514;62;58;75;81;63;70;85;88;74;60;70;61;71
3013;44;56;63;74;55;55;81;81;60;48;39;45;58
4642E;72;70;77;88;79;80;91;90;78;66;73;69;78
9898;59;73;74;;68;58;74;85;72;56;61;54;
5270B;61;65;79;85;66;65;89;90;73;63;67;55;72
9170;42;63;61;67;54;;79;81;66;56;49;47;
C249I;57;;75;71;;67;;;74;;;;
C649I;66;;85;78;;64;81;;;77;;;
C029O;67;;86;;76;69;;;74;80;75;;
2661;62;77;65;77;71;;87;;67;50;48;;
1549;44;71;54;69;66;56;80;80;57;43;28;26;56
9771C;59;73;84;84;72;59;79;87;76;66;70;57;72
1505;37;63;47;56;;51;57;57;55;39;;;
3191E;;66;71;77;64;61;83;87;59;49;52;59;
3129;64;66;70;78;59;;84;85;59;52;49;55;
3196;70;74;70;76;66;65;84;84;59;56;57;60;68
3200;69;75;71;77;64;63;83;84;61;57;56;59;68
3175;70;71;66;77;64;64;88;87;59;51;51;35;65
2462;36;53;56;74;55;52;83;86;52;44;35;46;56
6155A;65;59;74;75;61;69;79;;71;62;74;62;
6000A;68;51;79;79;67;73;79;82;64;62;74;69;71
7178I;78;50;82;82;62;71;78;86;72;;82;72;
7228;76;48;71;76;57;68;75;82;;;;;
7031;74;55;73;74;61;;;84;60;;80;71;
9263D;33;63;52;52;;44;62;71;63;54;39;35;
1690A;38;61;44;62;;52;67;;51;38;;;
1484C;;;;;;;72;72;63;42;;36;
1495;48;73;40;57;63;47;67;71;55;38;32;39;53
2867;52;72;70;83;68;69;89;91;68;56;49;37;67
C929I;59;;71;70;67;60;66;63;72;70;64;58;
C430E;73;60;95;95;83;89;94;88;92;87;85;82;85
C139E;41;60;68;65;63;52;58;67;62;68;59;56;60
C449C;;65;86;83;76;71;83;83;79;79;69;68;
C447A;34;50;81;;61;52;62;75;66;69;54;47;
C429I;75;67;86;80;75;66;84;;71;79;73;74;
2465;45;64;62;78;62;60;85;88;64;54;42;50;63
5796;67;67;67;79;;74;85;85;68;62;67;65;
5783;70;71;75;83;68;74;90;89;76;61;69;;
2030;62;70;63;74;62;55;74;83;63;52;46;58;64
0016A;74;;69;70;61;58;56;75;65;;71;;
9981A;72;65;69;76;67;58;58;78;63;63;66;67;67
9381I;53;64;67;78;57;57;80;81;68;58;61;54;65
8368U;57;62;73;78;54;55;77;82;69;56;62;57;65
3260B;59;74;79;87;68;68;89;90;70;63;;57;
8416;73;56;76;78;59;63;69;80;66;66;76;68;69
8414A;78;58;79;81;61;65;71;82;68;67;79;70;72
2422;44;69;61;76;63;57;74;82;67;48;38;26;59
2539;50;69;57;74;71;61;86;87;61;49;44;32;62
2614;39;63;64;;71;68;;;;;30;21;
9390;49;58;60;76;57;51;81;82;65;54;56;44;61
9434;62;74;74;77;75;64;80;86;68;61;68;66;71
