Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;157.0;33.2;51.7;33.4;11.8;71.8;21.8;24.0;89.0;219.6;215.4;154.8;1083.5
1387E;132.0;39.0;39.5;34.0;21.9;63.8;7.9;18.0;83.9;212.3;184.3;147.1;983.7
1428;270.5;20.3;195.2;103.4;56.7;129.2;35.5;32.3;168.8;352.4;332.1;231.7;1928.1
8175;1.6;6.2;6.4;0.0;85.0;25.2;0.2;0.0;59.6;21.2;4.0;1.4;210.8
8178D;4.2;3.8;4.7;0.0;80.8;34.8;0.3;0.0;65.5;25.9;4.1;2.1;226.2
8025;0.4;3.6;7.0;2.4;96.0;9.2;0.6;0.6;99.3;2.4;0.0;2.0;223.5
8019;0.4;8.0;4.0;2.9;125.7;39.0;0.3;0.5;63.9;2.5;0.0;2.6;249.8
6325O;5.5;2.1;1.5;0.3;79.9;2.3;0.0;0.0;28.0;11.1;0.1;3.3;134.1
9091O;117.1;23.7;13.8;19.0;20.6;100.6;33.7;10.3;46.0;78.0;102.6;54.2;619.6
1212E;243.5;53.4;33.3;36.5;39.7;69.8;8.8;110.5;73.2;142.1;134.5;92.9;1038.2
1208H;245.7;59.8;18.3;34.1;48.9;85.0;9.3;62.0;52.9;141.8;158.3;92.4;1008.5
1249I;256.2;;;;;;;;;;;;
2444;23.8;9.2;22.6;5.8;52.2;74.6;8.2;0.0;76.4;87.6;50.0;15.6;426.0
4452;35.2;6.0;16.6;7.4;18.6;6.2;0.0;0.0;35.6;178.0;46.8;17.8;368.2
B954;23.4;28.5;27.6;0.0;36.5;0.4;1.0;93.4;42.9;0.4;1.8;3.6;259.5
B893;49.3;126.0;4.6;25.8;35.1;14.8;0.9;44.6;30.5;62.5;16.6;18.4;429.1
B278;22.9;85.4;1.6;7.1;70.0;3.8;5.5;43.3;44.2;27.6;15.7;2.3;329.4
B228;26.8;107.6;3.4;4.7;43.5;2.8;0.0;55.6;67.6;33.6;9.2;3.4;358.2
0200E;8.7;40.7;1.0;36.0;46.5;39.8;6.2;44.6;50.4;29.2;3.7;2.7;309.5
0076;1.5;44.1;1.4;4.6;22.9;7.8;1.9;63.3;38.8;85.7;1.4;1.1;274.5
1082;289.8;53.9;31.9;47.0;119.5;75.6;18.1;90.0;95.3;67.3;195.7;157.8;1241.9
