Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17949;29027;;56159;72262;;75042;68298;47374;;16599;14628;
1428;17114;30254;36793;53470;65880;62345;;62098;44238;;16193;;
8178D;29845;;59371;;72621;73466;88068;82372;56959;42506;30776;25237;
8019;30456;30869;;72739;69167;79278;;;52580;45220;32734;;
6325O;36166;34918;62112;;;82144;83349;;;;;29548;
B954;27445;;56941;71193;68143;77557;;75260;51093;42160;31563;;
B228;;;57264;;66740;77304;81689;76092;52831;43270;30369;25477;
1082;13872;24470;37814;51987;60541;55103;56003;;44372;30972;15990;;
3469A;27003;37938;55921;76402;;78356;92643;82722;;36221;26204;21478;
5973;;38304;59418;75846;80503;;89343;81084;61208;44738;35193;28657;
5960;26851;;51764;;72532;74084;;72079;;;27481;;
1111;14315;;40408;;62832;60083;60476;55108;;;15762;;
4121;25986;36000;55331;;72426;;;81050;53665;40787;27287;22505;
5402;;35636;;73220;;;89659;80587;;;;;
1024E;13457;;38262;49621;54838;53968;;52181;44048;;14836;13532;
0367;23126;30341;;;;;;;;37544;;;
5514;30895;;;;72819;76160;88065;82312;60027;;33809;;
4642E;;36532;59389;76087;80554;82114;;80707;;42379;32801;27126;
9170;18800;;47131;61351;65110;63619;;73835;;34754;21986;18437;
C249I;38182;40478;65617;70286;77971;77675;80918;73608;64820;;40979;;
C649I;;43568;68979;;79232;74967;89522;;;;46694;38808;
C029O;36412;;;74440;79745;75705;;;;;42760;;
2661;;;;;73471;74440;87112;;51383;33702;;17256;
1549;19561;;43208;62983;74205;68768;86340;76148;46304;30785;17031;14194;
9771C;;33530;;70512;;68823;;;;38587;27053;;
2462;;;48729;69896;68887;;89830;83514;44872;32542;19313;;
7178I;32910;30648;;;71137;77213;81333;79510;55180;46547;35149;27846;
9263D;14407;26991;41404;53456;;61825;72515;;;33726;17357;;
1495;;30242;;55861;69263;68448;78820;;46201;;15421;13737;
2867;;;54404;72798;;;;;54074;36474;;19557;
C430E;;;79449;88475;89594;92512;;;78645;;;;
C449C;38711;43846;70419;76855;;76029;87311;76644;66222;56995;41311;38926;
C447A;;39063;68440;;75727;70732;;;;52190;38540;;
C429I;44777;;76038;75205;83629;76242;90536;;66518;58082;44027;;
5783;23413;29983;47326;62305;66105;70127;77464;67864;49889;;26132;21999;
2030;;;49670;68560;72968;66006;;;50440;37558;22467;;
0016A;27615;31724;51115;;69119;68920;;70496;49091;37681;27808;;
9981A;;;;;73611;69395;70246;73007;49648;39273;27203;23544;
8368U;;31631;;;63235;64291;79311;74461;52598;39838;;;
3260B;25568;37196;;;76219;;93497;;;;;;
8414A;;31885;57144;71578;;;78903;;;42863;31334;25365;
2422;21378;33098;49194;70065;;75867;89317;80161;52407;34392;20488;15681;
