Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;13.7;15.0;16.9;18.8;20.3;23.2;23.6;24.7;24.4;22.0;17.2;14.8;19.6
1387E;13.0;14.8;16.8;19.2;21.2;24.3;24.1;;25.0;22.2;16.9;14.5;
1428;11.0;14.5;14.9;19.3;21.3;24.1;;25.6;23.2;20.4;14.7;12.3;
8175;11.6;12.7;20.1;25.2;24.4;29.3;37.0;36.1;28.7;24.4;17.8;13.6;23.4
8178D;12.0;13.0;20.3;25.0;23.9;29.0;36.5;35.6;28.3;24.1;18.0;14.0;23.3
8025;17.3;16.2;22.6;23.7;;28.9;32.4;32.4;28.8;26.9;23.3;19.2;
8019;17.4;15.9;22.5;23.9;24.1;29.4;33.0;31.7;28.4;26.6;23.1;;
6325O;17.6;17.6;21.0;23.7;24.4;29.2;32.3;32.8;30.2;26.2;20.4;18.4;24.5
9091O;9.0;10.9;16.9;19.4;20.2;25.3;26.9;29.0;26.8;23.4;15.3;10.9;19.5
1212E;12.9;12.5;17.0;16.9;18.4;22.2;22.5;23.3;23.8;21.9;17.0;14.3;18.6
1208H;14.3;13.5;17.6;17.5;19.0;22.9;23.9;24.2;24.6;22.5;18.0;15.7;19.5
2444;7.9;9.1;15.2;19.7;19.5;24.8;30.7;30.9;23.6;20.6;14.3;10.6;18.9
4452;14.0;16.8;21.7;27.9;27.5;33.1;35.9;37.4;29.7;26.9;18.9;13.9;25.3
B954;15.6;;18.8;20.9;23.5;28.2;31.7;30.8;27.8;25.9;21.1;18.0;
B893;13.9;13.6;16.8;18.7;21.4;27.1;30.4;29.4;26.8;24.6;18.7;16.1;21.5
B278;15.5;15.7;19.3;21.7;24.1;29.3;33.3;31.9;29.1;26.4;20.9;18.0;23.8
B228;16.3;15.7;19.8;21.3;23.6;28.3;31.9;31.2;29.1;26.4;21.4;19.1;23.7
0200E;13.3;14.5;19.1;21.5;22.7;28.3;30.2;30.8;27.6;24.1;18.7;16.2;22.3
