Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;8.9;7.1;11.0;11.7;14.1;16.9;17.2;18.3;17.4;15.6;12.3;9.8;13.4
1387E;5.9;2.0;8.2;8.5;12.1;14.8;14.7;;14.8;13.5;10.3;7.0;
1428;4.3;2.5;7.0;7.7;10.0;13.4;;14.4;13.8;12.1;8.7;5.0;
8175;-0.7;-0.6;4.3;7.1;10.0;15.4;19.4;18.1;14.6;11.3;5.2;-0.3;8.7
8178D;0.7;0.3;5.8;8.3;11.0;16.4;20.9;19.1;15.2;11.9;6.4;1.3;9.8
8025;6.0;5.6;10.3;12.6;;20.0;24.1;23.0;20.1;16.3;12.2;7.4;
8019;5.9;5.9;9.7;12.0;14.8;20.4;24.0;22.9;20.0;15.9;11.9;;
6325O;8.6;9.5;10.6;13.9;16.3;20.9;24.7;24.1;21.4;17.5;11.7;9.4;15.7
9091O;0.8;-1.5;4.0;4.3;7.4;12.8;12.7;13.3;12.5;9.7;6.9;3.1;7.2
1212E;5.7;4.8;8.8;9.2;11.5;15.6;16.4;16.9;15.9;14.2;10.6;7.3;11.4
1208H;7.5;7.0;10.5;11.6;13.8;17.7;18.7;18.8;18.0;15.8;12.0;9.1;13.4
2444;-1.1;-0.8;3.5;5.5;7.2;13.0;14.8;15.0;12.0;9.3;4.6;-0.1;6.9
4452;3.9;3.2;7.5;10.1;13.5;18.3;17.8;18.9;16.2;14.3;9.5;4.6;11.5
B954;6.5;;9.7;11.6;14.2;19.3;23.9;22.4;19.8;17.6;12.7;8.6;
B893;6.8;5.1;8.4;9.7;13.6;18.2;22.2;20.6;18.9;17.3;12.1;8.4;13.4
B278;4.4;3.0;6.7;8.7;12.8;18.2;22.0;20.5;18.1;16.1;10.0;6.1;12.2
B228;8.7;7.7;11.5;13.1;16.6;21.4;25.4;24.1;21.7;19.6;14.4;11.3;16.3
0200E;5.1;6.2;9.2;10.7;13.4;18.6;20.8;21.1;18.8;16.3;10.8;8.0;13.3
0076;5.0;5.2;9.5;11.4;14.7;;23.5;22.8;20.0;17.2;11.0;;
1082;4.6;3.9;8.4;8.7;11.8;16.6;16.4;16.9;16.5;14.2;9.9;7.0;11.2
2331;-0.6;-3.0;2.7;2.8;5.9;11.9;12.1;12.9;10.9;8.5;5.6;0.7;5.9
3469A;3.3;2.9;7.3;10.3;12.7;18.0;19.3;20.4;16.1;14.6;9.1;4.6;11.6
5973;10.4;11.3;13.5;16.3;18.1;21.9;22.8;23.0;20.6;20.0;14.3;10.8;16.9
5960;5.0;4.9;7.6;10.3;13.1;17.2;17.9;;15.8;14.8;8.7;;
5910;6.8;7.8;9.7;12.9;15.7;20.0;20.9;21.3;17.8;17.3;11.3;7.1;14.1
6001;9.2;11.2;;14.4;15.5;19.5;20.9;21.2;19.3;18.6;13.2;10.9;
1111;7.6;7.4;10.3;10.8;13.4;17.4;18.1;18.4;18.2;16.2;12.1;9.6;13.3
1109;6.2;5.2;9.1;10.3;13.1;17.5;;18.3;17.7;14.8;11.2;7.4;
8500A;6.0;5.5;10.3;12.1;14.9;19.8;24.0;22.8;19.7;17.1;11.9;7.9;14.3
5000C;11.6;12.1;13.8;16.1;16.6;20.0;22.6;22.7;20.5;19.1;15.4;13.2;17.0
4121;1.9;1.0;6.7;9.9;12.5;18.0;21.6;20.7;15.8;12.6;7.2;2.0;10.8
5402;3.1;3.2;6.3;8.8;13.4;18.4;20.0;19.6;16.7;14.2;;3.2;
8096;-0.6;-1.1;3.7;6.3;8.7;14.8;18.3;17.4;13.8;10.4;5.1;0.5;8.1
1024E;5.0;5.6;9.1;9.4;12.3;16.8;16.6;17.1;17.5;15.0;10.0;8.3;11.9
1014;4.9;3.7;8.8;9.9;13.5;18.2;18.2;18.5;17.3;14.6;9.8;7.1;12.0
0367;-0.2;0.4;;6.4;10.5;;19.2;18.6;15.3;13.3;;1.1;
5530E;0.4;0.8;3.3;7.2;10.7;15.7;18.6;17.6;14.2;;4.4;-0.2;
5514;1.1;1.2;4.4;8.5;11.4;15.8;19.7;19.1;14.9;11.6;5.0;1.4;9.5
3013;-3.4;-6.8;0.2;0.4;4.2;11.7;12.3;11.6;9.4;6.7;2.3;-2.6;3.8
4642E;6.4;6.3;9.4;12.3;15.1;18.9;20.5;21.0;17.3;16.2;11.2;7.0;13.5
9898;-0.2;0.7;5.5;7.5;10.0;15.2;17.3;18.4;15.3;12.7;6.6;2.7;9.3
5270B;5.0;6.5;9.2;13.5;14.1;19.1;22.7;23.0;17.7;15.8;9.5;5.7;13.5
9170;1.8;-0.6;3.9;7.1;10.3;14.8;14.8;17.2;14.5;9.4;5.3;0.9;8.3
C249I;16.6;14.0;17.0;17.5;;21.0;;;21.7;21.7;;;
C649I;16.6;;;17.7;;20.6;22.7;;;22.7;19.8;;
C029O;14.6;13.3;16.3;17.3;17.6;20.7;21.7;22.8;20.8;;18.3;15.7;
2661;-1.0;-1.3;2.9;4.8;6.5;;12.7;13.8;12.1;9.7;5.2;-0.1;
1549;0.8;-0.1;5.4;7.2;9.0;14.5;14.4;15.6;12.9;10.7;6.8;2.1;8.3
9771C;0.5;0.2;6.2;8.8;11.6;17.2;20.1;19.9;16.7;13.5;6.3;1.8;10.2
1505;2.6;-0.8;5.8;6.0;8.8;13.2;12.8;14.3;12.1;10.6;7.7;3.3;8.0
3191E;1.4;2.3;5.8;9.5;9.5;15.6;19.4;19.6;14.6;12.4;6.8;3.6;10.0
3129;0.4;-0.9;4.5;7.7;10.7;16.4;19.2;19.0;14.6;11.7;6.7;0.9;9.2
3196;1.6;2.0;6.4;10.2;11.8;17.5;20.5;20.3;15.3;12.5;6.8;2.9;10.7
3200;1.4;1.6;6.4;10.4;12.4;17.9;21.2;21.2;16.1;13.3;7.2;2.4;11.0
3195;2.5;3.1;7.4;10.7;12.1;17.7;21.0;20.8;16.0;13.7;7.9;3.5;11.4
3175;-0.6;-1.9;3.3;5.9;8.6;15.3;17.5;;14.0;10.4;6.0;0.6;
2462;-4.0;-3.0;0.3;3.6;3.6;10.3;13.2;13.7;9.7;7.6;2.4;0.4;4.8
6155A;8.3;8.2;10.7;13.4;16.1;20.2;24.6;;20.6;16.7;12.2;8.5;
6000A;11.0;11.8;13.2;15.9;17.1;20.6;24.9;24.5;21.4;19.1;14.8;11.9;17.2
7178I;5.0;5.4;9.5;12.9;15.2;20.0;24.6;23.4;20.1;16.2;11.2;6.2;14.1
7228;3.8;3.8;7.9;11.4;14.3;18.9;23.7;22.4;19.1;15.0;9.5;4.7;12.9
7031;4.1;7.2;9.0;12.7;15.0;19.4;24.0;23.0;20.8;15.1;9.1;5.7;13.8
9263D;;-1.5;3.7;5.9;8.6;14.3;15.1;;;10.8;;;
9262;2.2;1.1;6.3;7.9;10.6;15.7;16.3;;14.9;12.6;;4.4;
1690A;3.5;1.2;7.0;7.9;11.0;16.1;15.8;16.9;14.8;12.7;9.9;5.3;10.2
1484C;;5.7;9.0;10.1;;15.3;14.6;15.7;14.8;13.7;10.4;7.1;
1495;4.9;4.7;8.3;;11.5;14.9;14.2;15.7;14.8;13.7;9.9;6.1;
2867;-1.7;-3.5;1.5;3.4;7.3;11.9;10.7;11.2;9.6;7.5;3.6;-0.8;5.1
2870;0.9;0.2;4.9;7.0;9.7;15.2;;16.4;13.7;11.0;6.8;1.7;
C929I;17.9;16.5;18.7;18.8;19.7;21.6;22.7;23.6;23.3;23.4;21.2;19.3;20.6
C430E;-0.1;-2.0;6.9;5.8;4.8;10.4;15.3;15.3;9.7;10.3;6.9;4.7;7.3
C139E;16.5;14.8;17.6;17.8;18.8;20.5;22.3;23.2;22.1;22.0;19.8;17.8;19.4
C449C;16.8;15.2;17.8;18.2;19.6;21.7;23.2;24.5;22.9;23.2;20.2;17.9;20.1
C447A;11.4;9.1;13.1;12.7;13.3;15.8;17.7;19.2;17.0;19.1;15.6;12.8;14.7
C429I;15.9;13.4;17.1;17.0;18.1;20.2;22.1;23.5;21.6;22.5;19.5;16.8;19.0
2465;0.1;-0.1;4.7;6.9;7.4;13.7;15.9;16.6;13.4;11.5;6.0;1.0;8.1
5796;5.6;6.0;8.5;11.5;14.3;19.2;20.8;20.9;17.7;15.7;10.3;6.1;13.1
5783;5.2;6.0;8.6;12.4;15.1;19.4;21.2;21.0;17.9;16.0;10.2;;
2030;-1.1;-3.1;3.1;4.7;7.2;12.3;13.4;14.2;11.6;8.9;5.6;0.2;6.4
0016A;2.0;2.2;7.5;9.7;12.4;17.9;21.6;21.2;17.8;14.9;8.6;4.6;11.7
9981A;5.8;3.9;9.5;11.6;14.6;19.0;22.7;22.2;18.6;15.8;10.8;7.7;13.5
9381I;-2.5;-4.8;2.1;3.3;6.6;13.4;15.5;14.3;12.4;9.1;3.4;-0.6;6.0
8368U;-2.4;-4.0;1.6;4.1;7.1;13.3;16.5;15.3;12.3;9.0;2.9;-1.2;6.2
3260B;1.6;1.5;6.6;10.1;12.3;17.9;20.9;20.9;16.2;13.0;7.6;2.3;10.9
8416;6.4;5.8;11.2;12.8;15.5;20.5;24.7;23.6;20.4;17.8;12.7;8.1;15.0
8414A;4.4;3.6;8.9;10.9;14.3;19.4;23.9;22.6;19.0;16.1;11.1;5.4;13.3
2422;0.5;-0.6;4.5;6.4;8.8;14.6;15.5;16.3;13.3;10.8;6.7;1.4;8.2
2539;;-2.4;;3.8;6.0;12.3;12.6;13.4;11.8;9.4;5.3;0.2;
2614;0.6;-1.0;5.0;6.6;9.2;15.4;15.9;16.5;13.9;11.2;7.7;2.1;8.6
9390;-1.5;-4.2;3.0;4.5;7.7;14.1;16.5;15.8;13.3;10.3;4.8;-0.1;7.0
9434;2.8;1.8;8.3;10.6;13.5;18.2;19.8;20.7;17.3;14.8;8.9;4.5;11.8
