Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;2.9(30);2.5(24);3.4(02);7.4(05);11.8(01);14.3(02);14.4(17);14.6(05);14.1(23);10.9(30);7.5(25);4.6(18);2.5(24/feb)
1387E;-2.3(31);-1.6(05);-2.3(02);2.0(05);7.7(13);11.0(02);9.6(17);;10.7(23);9.2(22);2.5(24);0.1(17);
1428;-2.3(31);-1.4(03);-3.2(02);1.0(02);6.9(10);10.7(02);;9.8(26);8.4(23);7.7(20);0.4(25);-3.5(18);
8175;-7.4(28);-6.3(01);-7.1(01);0.4(03);4.9(14);11.8(01);14.7(05);11.8(28);6.9(23);5.4(22);-2.2(23);-6.3(27);-7.4(28/ene)
8178D;-4.6(29);-3.6(28);-4.8(01);1.1(03);6.7(15);11.9(04);16.7(05);11.6(28);9.7(23);5.8(22);0.1(24);-5.5(27);-5.5(27/dic)
8025;1.2(24);1.5(01);2.8(02);7.1(07);;16.2(01);22.1(02);19.9(31);16.5(23);11.8(29);5.8(24);2.3(19);
8019;1.2(22);1.8(03);3.0(02);7.8(08);10.4(14);17.2(01);22.0(29);18.4(28);16.2(25);9.8(29);6.5(24);;
6325O;4.8(23);5.4(03);6.3(01);9.9(08);13.5(14);17.1(03);21.5(25);19.3(29);18.6(25);10.8(29);8.5(25);4.9(20);4.8(23/ene)
9091O;-4.6(21);-6.3(11);-4.9(05);-3.6(05);1.1(02);9.2(16);9.5(23);6.7(07);5.1(23);3.1(22);1.7(07);-3.7(26);-6.3(11/feb)
1212E;0.5(23);1.1(07);1.3(01);1.8(05);6.5(17);12.9(30);13.0(17);12.5(07);12.1(24);9.0(24);5.8(23);2.4(18);0.5(23/ene)
1208H;3.1(23);3.7(08);3.4(01);6.1(05);10.8(18);15.6(30);16.8(17);15.1(05);14.2(23);10.6(30);8.4(26);4.9(19);3.1(23/ene)
2444;-6.1(25);-5.8(24);-5.5(03);-1.6(05);1.7(18);9.1(03);11.7(16);8.9(04);4.8(23);3.0(24);-1.9(24);-4.1(26);-6.1(25/ene)
4452;-2.4(31);-2.3(01);-2.7(02);4.1(03);10.3(13);13.8(02);14.2(16);14.8(27);12.0(24);8.8(24);0.6(24);-1.1(19);-2.7(02/mar)
B954;1.1(22);;2.1(04);5.8(06);9.7(21);14.8(05);20.2(02);17.0(31);14.6(23);12.3(21);4.8(24);4.3(27);
