Fecha;INDICATIVO;DIAS_SOL
01-01-2016;1387E;2
01-02-2016;1387E;3
01-03-2016;1387E;3
01-04-2016;1387E;1
01-05-2016;1387E;5
01-06-2016;1387E;3
01-07-2016;1387E;10
01-08-2016;1387E;10
01-09-2016;1387E;1
01-10-2016;1387E;4
01-11-2016;1387E;4
01-12-2016;1387E;7
01-01-2016;1428;0
01-02-2016;1428;1
01-03-2016;1428;3
01-04-2016;1428;1
01-05-2016;1428;3
01-06-2016;1428;3
01-07-2016;1428;11
01-08-2016;1428;11
01-09-2016;1428;5
01-10-2016;1428;5
01-11-2016;1428;6
01-12-2016;1428;0
01-01-2016;8175;2
01-02-2016;8175;6
01-03-2016;8175;6
01-04-2016;8175;5
01-05-2016;8175;6
01-06-2016;8175;11
01-07-2016;8175;21
01-08-2016;8175;18
01-09-2016;8175;7
01-10-2016;8175;5
01-11-2016;8175;6
01-12-2016;8175;4
01-01-2016;8019;1
01-02-2016;8019;4
01-03-2016;8019;5
01-04-2016;8019;6
01-05-2016;8019;8
01-06-2016;8019;9
01-07-2016;8019;23
01-08-2016;8019;17
01-09-2016;8019;7
01-10-2016;8019;6
01-11-2016;8019;6
01-12-2016;8019;6
01-01-2016;6325O;3
01-02-2016;6325O;4
01-03-2016;6325O;10
01-04-2016;6325O;4
01-05-2016;6325O;9
01-06-2016;6325O;12
01-07-2016;6325O;24
01-08-2016;6325O;23
01-09-2016;6325O;17
01-10-2016;6325O;8
01-11-2016;6325O;5
01-12-2016;6325O;10
01-01-2016;9091O;0
01-02-2016;9091O;2
01-03-2016;9091O;0
01-04-2016;9091O;0
01-05-2016;9091O;0
01-06-2016;9091O;4
01-07-2016;9091O;7
01-08-2016;9091O;7
01-09-2016;9091O;2
01-10-2016;9091O;5
01-11-2016;9091O;0
01-12-2016;9091O;0
01-01-2016;1212E;0
01-02-2016;1212E;1
01-03-2016;1212E;0
01-04-2016;1212E;1
01-05-2016;1212E;1
01-06-2016;1212E;3
01-07-2016;1212E;9
01-08-2016;1212E;6
01-09-2016;1212E;1
01-10-2016;1212E;0
01-11-2016;1212E;0
01-12-2016;1212E;0
01-01-2016;1208H;0
01-02-2016;1208H;2
01-03-2016;1208H;0
01-04-2016;1208H;0
01-05-2016;1208H;3
01-06-2016;1208H;3
01-07-2016;1208H;6
01-08-2016;1208H;8
01-09-2016;1208H;2
01-10-2016;1208H;1
01-11-2016;1208H;3
01-12-2016;1208H;0
01-01-2016;1249I;0
01-02-2016;1249I;1
01-03-2016;1249I;1
01-04-2016;1249I;0
01-05-2016;1249I;2
01-06-2016;1249I;3
01-07-2016;1249I;7
01-08-2016;1249I;7
