Fecha;Estacion;DIAS_GRA
01-01-2016;1387;292.0
01-02-2016;1387;201.6
01-03-2016;1387;196.5
01-04-2016;1387;122.4
01-05-2016;1387;89.8
01-06-2016;1387;53.8
01-07-2016;1387;0.7
01-08-2016;1387;10.4
01-09-2016;1387;83.6
01-10-2016;1387;45.4
01-11-2016;1387;114.7
01-12-2016;1387;23.2
01-01-2016;1387E;0
01-02-2016;1387E;0
01-03-2016;1387E;0
01-04-2016;1387E;121.5
01-05-2016;1387E;80.4
01-06-2016;1387E;0
01-07-2016;1387E;0.6
01-08-2016;1387E;14.4
01-09-2016;1387E;97.2
01-10-2016;1387E;0
01-11-2016;1387E;129.5
01-12-2016;1387E;34.4
01-01-2016;1428;414.3
01-02-2016;1428;267.2
01-03-2016;1428;216.7
01-04-2016;1428;162.4
01-05-2016;1428;134.6
01-06-2016;1428;44.6
01-07-2016;1428;0.8
01-08-2016;1428;18.0
01-09-2016;1428;44.7
01-10-2016;1428;68.3
01-11-2016;1428;125.5
01-12-2016;1428;32.7
01-01-2016;8175;18.8
01-02-2016;8175;10.2
01-03-2016;8175;29.0
01-04-2016;8175;35.5
01-05-2016;8175;41.8
01-06-2016;8175;0.0
01-07-2016;8175;1.2
01-08-2016;8175;5.6
01-09-2016;8175;15.8
01-10-2016;8175;54.4
01-11-2016;8175;56.7
01-12-2016;8175;47.1
01-01-2016;8178D;17.6
01-02-2016;8178D;15.6
01-03-2016;8178D;35.0
01-04-2016;8178D;49.2
01-05-2016;8178D;51.4
01-06-2016;8178D;0.0
01-07-2016;8178D;1.2
01-08-2016;8178D;10.9
01-09-2016;8178D;2.5
01-10-2016;8178D;59.4
01-11-2016;8178D;59.4
01-12-2016;8178D;49.3
01-01-2016;8025;7.8
01-02-2016;8025;1.4
01-03-2016;8025;10.4
01-04-2016;8025;15.6
01-05-2016;8025;11.6
01-06-2016;8025;0.0
01-07-2016;8025;4.4
01-08-2016;8025;1.0
01-09-2016;8025;4.4
01-10-2016;8025;45.4
01-11-2016;8025;32.0
01-12-2016;8025;114.6
01-01-2016;8019;6.3
01-02-2016;8019;3.2
