Fecha;Estacion;DIAS_GRA
01-01-2016;1387;12371
01-02-2016;1387;17157
01-03-2016;1387;36935
01-04-2016;1387;48194
01-05-2016;1387;0
01-06-2016;1387;0
01-07-2016;1387;80762
01-08-2016;1387;67738
01-09-2016;1387;46069
01-10-2016;1387;34753
01-11-2016;1387;19289
01-12-2016;1387;0
01-01-2016;1387E;9799
01-02-2016;1387E;15522
01-03-2016;1387E;29581
01-04-2016;1387E;43959
01-05-2016;1387E;53480
01-06-2016;1387E;59644
01-07-2016;1387E;0
01-08-2016;1387E;63175
01-09-2016;1387E;43141
01-10-2016;1387E;31959
01-11-2016;1387E;16195
01-12-2016;1387E;15691
01-01-2016;1428;11659
01-02-2016;1428;18278
01-03-2016;1428;36036
01-04-2016;1428;0
01-05-2016;1428;53885
01-06-2016;1428;67230
01-07-2016;1428;0
01-08-2016;1428;71514
01-09-2016;1428;0
01-10-2016;1428;0
01-11-2016;1428;19092
01-12-2016;1428;18091
01-01-2016;8178D;24947
01-02-2016;8178D;31704
01-03-2016;8178D;52396
01-04-2016;8178D;60436
01-05-2016;8178D;73738
01-06-2016;8178D;85965
01-07-2016;8178D;84607
01-08-2016;8178D;0
01-09-2016;8178D;60524
01-10-2016;8178D;40349
01-11-2016;8178D;26436
01-12-2016;8178D;19844
01-01-2016;8019;26867
01-02-2016;8019;34041
01-03-2016;8019;52557
01-04-2016;8019;0
01-05-2016;8019;76821
01-06-2016;8019;85820
01-07-2016;8019;0
01-08-2016;8019;76170
01-09-2016;8019;59959
01-10-2016;8019;40708
01-11-2016;8019;27884
01-12-2016;8019;20626
01-01-2016;6325O;29957
01-02-2016;6325O;36242
01-03-2016;6325O;61299
01-04-2016;6325O;66721
01-05-2016;6325O;80773
01-06-2016;6325O;83920
01-07-2016;6325O;83548
01-08-2016;6325O;0
01-09-2016;6325O;0
01-10-2016;6325O;45871
01-11-2016;6325O;32705
01-12-2016;6325O;27087
01-01-2016;B954;28009
01-02-2016;B954;0
01-03-2016;B954;52225
01-04-2016;B954;59364
01-05-2016;B954;77048
01-06-2016;B954;83693
01-07-2016;B954;0
01-08-2016;B954;74680
01-09-2016;B954;57770
01-10-2016;B954;0
01-11-2016;B954;26214
01-12-2016;B954;19507
01-01-2016;B228;26516
01-02-2016;B228;31110
01-03-2016;B228;49817
01-04-2016;B228;60704
01-05-2016;B228;75783
01-06-2016;B228;83849
01-07-2016;B228;83947
01-08-2016;B228;74936
01-09-2016;B228;0
01-10-2016;B228;37885
01-11-2016;B228;26475
01-12-2016;B228;22567
01-01-2016;B278;24481
01-02-2016;B278;29201
01-03-2016;B278;46107
01-04-2016;B278;56162
01-05-2016;B278;71248
01-06-2016;B278;77240
01-07-2016;B278;78834
01-08-2016;B278;68779
01-09-2016;B278;48607
01-10-2016;B278;33222
01-11-2016;B278;21775
01-12-2016;B278;18555
01-01-2016;0076;21272
01-02-2016;0076;31848
01-03-2016;0076;0
01-04-2016;0076;56955
01-05-2016;0076;0
01-06-2016;0076;78264
01-07-2016;0076;83416
01-08-2016;0076;71806
01-09-2016;0076;53178
01-10-2016;0076;27040
01-11-2016;0076;23844
01-12-2016;0076;20518
01-01-2016;1082;14116
01-02-2016;1082;20489
01-03-2016;1082;29366
01-04-2016;1082;43185
01-05-2016;1082;63323
01-06-2016;1082;59402
01-07-2016;1082;0
01-08-2016;1082;61909
01-09-2016;1082;44079
01-10-2016;1082;32732
01-11-2016;1082;16495
01-12-2016;1082;17515
01-01-2016;3469A;19023
01-02-2016;3469A;31672
01-03-2016;3469A;52508
01-04-2016;3469A;57806
01-05-2016;3469A;69150
01-06-2016;3469A;88570
01-07-2016;3469A;88871
01-08-2016;3469A;82094
01-09-2016;3469A;63715
01-10-2016;3469A;42989
01-11-2016;3469A;26742
01-12-2016;3469A;23852
01-01-2016;5973;28228
01-02-2016;5973;36204
01-03-2016;5973;63428
01-04-2016;5973;64286
01-05-2016;5973;77463
01-06-2016;5973;84820
01-07-2016;5973;83228
01-08-2016;5973;77781
01-09-2016;5973;63861
01-10-2016;5973;45602
01-11-2016;5973;30559
01-12-2016;5973;28303
01-01-2016;5960;27075
01-02-2016;5960;34170
