FECHA;INDICATIVO;TEMP_50cm
01-01-2016;9091O;7.8
01-02-2016;9091O;7.7
01-03-2016;9091O;7.9
01-04-2016;9091O;10.5
01-05-2016;9091O;0
01-06-2016;9091O;16.9
01-07-2016;9091O;20.0
01-08-2016;9091O;21.7
01-09-2016;9091O;0
01-10-2016;9091O;0
01-11-2016;9091O;10.6
01-12-2016;9091O;8.0
01-01-2016;4452;12.3
01-02-2016;4452;11.8
01-03-2016;4452;12.8
01-04-2016;4452;15.2
01-05-2016;4452;19.0
01-06-2016;4452;23.7
01-07-2016;4452;28.5
01-08-2016;4452;28.9
01-09-2016;4452;26.8
01-10-2016;4452;21.6
01-11-2016;4452;15.4
01-12-2016;4452;12.0
01-01-2016;0200E;10.5
01-02-2016;0200E;10.1
01-03-2016;0200E;10.5
01-04-2016;0200E;14.1
01-05-2016;0200E;17.0
01-06-2016;0200E;22.4
01-07-2016;0200E;25.7
01-08-2016;0200E;0
01-09-2016;0200E;0
01-10-2016;0200E;0
01-11-2016;0200E;0
01-12-2016;0200E;0
01-01-2016;2331;5.4
01-02-2016;2331;5.2
01-03-2016;2331;5.4
01-04-2016;2331;8.8
01-05-2016;2331;14.7
01-06-2016;2331;21.4
01-07-2016;2331;25.9
01-08-2016;2331;26.3
01-09-2016;2331;22.3
01-10-2016;2331;15.9
01-11-2016;2331;8.6
01-12-2016;2331;5.8
01-01-2016;3469A;11.1
01-02-2016;3469A;10.7
01-03-2016;3469A;11.3
01-04-2016;3469A;14.1
01-05-2016;3469A;17.8
01-06-2016;3469A;24.1
01-07-2016;3469A;29.3
01-08-2016;3469A;30.4
01-09-2016;3469A;27.3
01-10-2016;3469A;21.3
01-11-2016;3469A;14.7
01-12-2016;3469A;11.2
01-01-2016;8096;7.6
01-02-2016;8096;7.5
01-03-2016;8096;0
01-04-2016;8096;11.9
01-05-2016;8096;15.7
01-06-2016;8096;22.4
01-07-2016;8096;0
01-08-2016;8096;0
01-09-2016;8096;23.9
01-10-2016;8096;0
01-11-2016;8096;11.2
01-12-2016;8096;7.8
01-01-2016;1024E;9.7
01-02-2016;1024E;8.7
01-03-2016;1024E;8.7
01-04-2016;1024E;11.7
01-05-2016;1024E;15.4
01-06-2016;1024E;18.7
01-07-2016;1024E;0
01-08-2016;1024E;21.6
01-09-2016;1024E;0
01-10-2016;1024E;0
01-11-2016;1024E;10.8
01-12-2016;1024E;9.3
01-01-2016;1484C;11.9
01-02-2016;1484C;11.5
01-03-2016;1484C;11.5
01-04-2016;1484C;13.0
01-05-2016;1484C;15.7
01-06-2016;1484C;18.3
01-07-2016;1484C;21.0
01-08-2016;1484C;21.8
01-09-2016;1484C;20.4
01-10-2016;1484C;0
01-11-2016;1484C;14.7
01-12-2016;1484C;12.1
01-01-2016;2867;8.6
01-02-2016;2867;8.5
01-03-2016;2867;9.3
01-04-2016;2867;13.0
01-05-2016;2867;18.0
01-06-2016;2867;24.6
01-07-2016;2867;29.6
01-08-2016;2867;30.1
01-09-2016;2867;0
01-10-2016;2867;19.1
01-11-2016;2867;12.2
01-12-2016;2867;8.9
01-01-2016;2422;7.0
01-02-2016;2422;7.4
