Fecha;INDICATIVO;TEMP_MAX
01-01-2016;1387;20.5(24)
01-02-2016;1387;16.9(05)
01-03-2016;1387;17.1(15)
01-04-2016;1387;20.0(19)
01-05-2016;1387;25.2(04)
01-06-2016;1387;23.2(20)
01-07-2016;1387;30.6(16)
01-08-2016;1387;30.1(12)
01-09-2016;1387;28.0(06)
01-10-2016;1387;24.5(28)
01-11-2016;1387;23.1(02)
01-12-2016;1387;21.2(06)
01-01-2016;1387E;22.1(24)
01-02-2016;1387E;17.3(05)
01-03-2016;1387E;18.5(13)
01-04-2016;1387E;23.0(19)
01-05-2016;1387E;26.0(04)
01-06-2016;1387E;24.3(07)
01-07-2016;1387E;32.3(16)
01-08-2016;1387E;32.6(22)
01-09-2016;1387E;27.7(06)
01-10-2016;1387E;0
01-11-2016;1387E;24.0(02)
01-12-2016;1387E;20.8(05)
01-01-2016;1428;20.3(24)
01-02-2016;1428;0
01-03-2016;1428;19.6(13)
01-04-2016;1428;22.1(25)
01-05-2016;1428;30.2(04)
01-06-2016;1428;28.9(07)
01-07-2016;1428;37.6(18)
01-08-2016;1428;36.6(07)
01-09-2016;1428;39.0(06)
01-10-2016;1428;26.7(28)
01-11-2016;1428;22.4(01)
01-12-2016;1428;19.6(05)
01-01-2016;8175;18.6(24)
01-02-2016;8175;18.0(02)
01-03-2016;8175;26.2(30)
01-04-2016;8175;23.4(26)
01-05-2016;8175;29.4(27)
01-06-2016;8175;37.2(24)
01-07-2016;8175;37.6(11)
01-08-2016;8175;37.3(28)
01-09-2016;8175;39.0(06)
01-10-2016;8175;29.4(04)
01-11-2016;8175;24.0(02)
01-12-2016;8175;15.2(29)
01-01-2016;8178D;19.9(24)
01-02-2016;8178D;19.0(02)
01-03-2016;8178D;26.9(30)
01-04-2016;8178D;24.0(26)
01-05-2016;8178D;29.5(27)
01-06-2016;8178D;37.2(24)
01-07-2016;8178D;38.3(11)
01-08-2016;8178D;38.3(28)
01-09-2016;8178D;39.8(06)
01-10-2016;8178D;30.8(04)
01-11-2016;8178D;25.2(02)
01-12-2016;8178D;16.7(10)
01-01-2016;8025;23.4(09)
01-02-2016;8025;25.9(13)
01-03-2016;8025;27.5(25)
01-04-2016;8025;26.5(16)
01-05-2016;8025;30.6(28)
01-06-2016;8025;35.2(13)
01-07-2016;8025;38.8(31)
01-08-2016;8025;35.1(17)
01-09-2016;8025;37.2(05)
01-10-2016;8025;30.1(11)
01-11-2016;8025;29.2(03)
01-12-2016;8025;20.4(02)
01-01-2016;8019;23.6(31)
01-02-2016;8019;25.3(11)
01-03-2016;8019;27.2(25)
01-04-2016;8019;0
01-05-2016;8019;0
01-06-2016;8019;37.5(13)
01-07-2016;8019;0
01-08-2016;8019;35.8(17)
01-09-2016;8019;0
01-10-2016;8019;30.9(02)
01-11-2016;8019;28.4(03)
01-12-2016;8019;21.0(07)
01-01-2016;6325O;0
01-02-2016;6325O;21.3(23)
01-03-2016;6325O;21.7(03)
01-04-2016;6325O;25.3(18)
01-05-2016;6325O;29.9(21)
01-06-2016;6325O;35.2(28)
01-07-2016;6325O;38.2(28)
01-08-2016;6325O;36.0(02)
01-09-2016;6325O;36.1(06)
01-10-2016;6325O;31.6(03)
01-11-2016;6325O;25.2(05)
01-12-2016;6325O;20.9(10)
01-01-2016;9091O;16.5(23)
01-02-2016;9091O;17.0(13)
01-03-2016;9091O;20.8(30)
01-04-2016;9091O;20.5(15)
01-05-2016;9091O;27.7(21)
01-06-2016;9091O;34.0(22)
01-07-2016;9091O;38.0(19)
01-08-2016;9091O;36.8(23)
01-09-2016;9091O;36.6(07)
01-10-2016;9091O;27.2(04)
01-11-2016;9091O;22.0(03)
01-12-2016;9091O;15.9(05)
01-01-2016;1212E;23.0(24)
01-02-2016;1212E;0
01-03-2016;1212E;25.4(26)
01-04-2016;1212E;18.9(12)
01-05-2016;1212E;0
01-06-2016;1212E;24.1(12)
01-07-2016;1212E;0
01-08-2016;1212E;0
01-09-2016;1212E;0
01-10-2016;1212E;0
01-11-2016;1212E;19.7(03)
01-12-2016;1212E;0
01-01-2016;1208H;21.7(24)
01-02-2016;1208H;21.7(08)
01-03-2016;1208H;23.4(26)
01-04-2016;1208H;18.0(14)
01-05-2016;1208H;23.3(08)
01-06-2016;1208H;23.8(14)
01-07-2016;1208H;26.5(19)
01-08-2016;1208H;29.0(15)
01-09-2016;1208H;25.5(10)
01-10-2016;1208H;23.5(23)
01-11-2016;1208H;18.2(11)
01-12-2016;1208H;21.6(05)
01-01-2016;1249I;23.4(24)
01-02-2016;1249I;19.9(08)
01-03-2016;1249I;23.4(26)
01-04-2016;1249I;21.2(19)
01-05-2016;1249I;24.9(20)
01-06-2016;1249I;27.6(08)
01-07-2016;1249I;37.0(18)
01-08-2016;1249I;33.5(22)
01-09-2016;1249I;31.0(06)
01-10-2016;1249I;23.2(31)
01-11-2016;1249I;20.5(02)
