FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-01-2016;1387;14.6
01-02-2016;1387;13.3
01-03-2016;1387;13.9
01-04-2016;1387;15.0
01-05-2016;1387;18.4
01-06-2016;1387;20.3
01-07-2016;1387;23.0
01-08-2016;1387;23.5
01-09-2016;1387;22.0
01-10-2016;1387;20.2
01-11-2016;1387;16.0
01-12-2016;1387;16.2
01-01-2016;1387E;14.9
01-02-2016;1387E;13.9
01-03-2016;1387E;14.4
01-04-2016;1387E;16.4
01-05-2016;1387E;18.6
01-06-2016;1387E;21.0
01-07-2016;1387E;24.2
01-08-2016;1387E;24.7
01-09-2016;1387E;22.4
01-10-2016;1387E;0
01-11-2016;1387E;15.6
01-12-2016;1387E;15.8
01-01-2016;1428;12.4
01-02-2016;1428;0
01-03-2016;1428;13.8
01-04-2016;1428;15.6
01-05-2016;1428;19.5
01-06-2016;1428;23.2
01-07-2016;1428;27.7
01-08-2016;1428;28.6
01-09-2016;1428;24.2
01-10-2016;1428;20.2
01-11-2016;1428;14.2
01-12-2016;1428;14.4
01-01-2016;8175;13.1
01-02-2016;8175;13.0
01-03-2016;8175;14.8
01-04-2016;8175;18.7
01-05-2016;8175;22.4
01-06-2016;8175;30.8
01-07-2016;8175;34.4
01-08-2016;8175;32.9
01-09-2016;8175;29.5
01-10-2016;8175;23.2
01-11-2016;8175;14.8
01-12-2016;8175;11.5
01-01-2016;8178D;13.6
01-02-2016;8178D;13.5
01-03-2016;8178D;15.5
01-04-2016;8178D;19.1
01-05-2016;8178D;22.7
01-06-2016;8178D;31.1
01-07-2016;8178D;34.9
01-08-2016;8178D;33.9
01-09-2016;8178D;30.5
01-10-2016;8178D;24.0
01-11-2016;8178D;15.4
01-12-2016;8178D;12.1
01-01-2016;8025;18.9
01-02-2016;8025;19.3
01-03-2016;8025;20.0
01-04-2016;8025;22.0
01-05-2016;8025;24.2
01-06-2016;8025;28.3
01-07-2016;8025;31.1
01-08-2016;8025;30.4
01-09-2016;8025;29.7
01-10-2016;8025;25.9
01-11-2016;8025;20.8
01-12-2016;8025;17.8
01-01-2016;8019;18.9
01-02-2016;8019;19.4
01-03-2016;8019;20.1
01-04-2016;8019;0
01-05-2016;8019;0
01-06-2016;8019;29.1
01-07-2016;8019;0
01-08-2016;8019;30.7
01-09-2016;8019;0
01-10-2016;8019;26.5
01-11-2016;8019;21.5
01-12-2016;8019;18.5
01-01-2016;6325O;0
01-02-2016;6325O;18.3
01-03-2016;6325O;18.5
01-04-2016;6325O;20.7
01-05-2016;6325O;23.6
01-06-2016;6325O;27.2
01-07-2016;6325O;32.5
01-08-2016;6325O;32.1
01-09-2016;6325O;29.9
01-10-2016;6325O;26.2
01-11-2016;6325O;20.3
01-12-2016;6325O;18.2
01-01-2016;9091O;11.1
01-02-2016;9091O;10.6
01-03-2016;9091O;11.1
01-04-2016;9091O;14.4
01-05-2016;9091O;20.0
01-06-2016;9091O;23.7
01-07-2016;9091O;26.2
01-08-2016;9091O;28.6
01-09-2016;9091O;25.9
01-10-2016;9091O;19.7
01-11-2016;9091O;12.4
01-12-2016;9091O;9.5
01-01-2016;1212E;15.8
01-02-2016;1212E;0
01-03-2016;1212E;14.0
01-04-2016;1212E;15.5
01-05-2016;1212E;0
01-06-2016;1212E;21.0
01-07-2016;1212E;0
01-08-2016;1212E;0
01-09-2016;1212E;0
01-10-2016;1212E;0
01-11-2016;1212E;15.0
01-12-2016;1212E;0
01-01-2016;1208H;15.9
01-02-2016;1208H;14.6
01-03-2016;1208H;14.3
01-04-2016;1208H;15.1
01-05-2016;1208H;18.5
01-06-2016;1208H;20.8
01-07-2016;1208H;22.7
01-08-2016;1208H;23.8
01-09-2016;1208H;22.5
01-10-2016;1208H;19.0
01-11-2016;1208H;15.4
01-12-2016;1208H;16.0
01-01-2016;1249I;14.3
01-02-2016;1249I;12.3
01-03-2016;1249I;13.1
01-04-2016;1249I;15.2
01-05-2016;1249I;18.8
01-06-2016;1249I;21.1
01-07-2016;1249I;22.9
01-08-2016;1249I;24.8
01-09-2016;1249I;22.5
01-10-2016;1249I;19.0
01-11-2016;1249I;13.8
01-12-2016;1249I;13.7
01-01-2016;2444;10.1
01-02-2016;2444;8.9
01-03-2016;2444;10.4
01-04-2016;2444;12.6
01-05-2016;2444;17.3
01-06-2016;2444;26.0
01-07-2016;2444;30.1
01-08-2016;2444;29.9
01-09-2016;2444;25.2
01-10-2016;2444;19.5
01-11-2016;2444;10.6
01-12-2016;2444;10.8
01-01-2016;4452;15.5
01-02-2016;4452;15.9
01-03-2016;4452;17.9
01-04-2016;4452;20.9
01-05-2016;4452;24.2
01-06-2016;4452;32.6
01-07-2016;4452;37.7
01-08-2016;4452;37.5
01-09-2016;4452;33.2
01-10-2016;4452;26.1
01-11-2016;4452;17.8
01-12-2016;4452;15.6
01-01-2016;B954;17.5
01-02-2016;B954;17.3
01-03-2016;B954;17.7
01-04-2016;B954;20.0
01-05-2016;B954;22.4
01-06-2016;B954;0
01-07-2016;B954;29.7
01-08-2016;B954;29.3
01-09-2016;B954;28.6
01-10-2016;B954;0
01-11-2016;B954;19.5
01-12-2016;B954;17.3
01-01-2016;B893;16.2
01-02-2016;B893;15.8
01-03-2016;B893;15.9
01-04-2016;B893;19.2
01-05-2016;B893;0
01-06-2016;B893;27.9
01-07-2016;B893;0
01-08-2016;B893;29.7
01-09-2016;B893;28.8
01-10-2016;B893;24.7
01-11-2016;B893;20.0
01-12-2016;B893;0
01-01-2016;B228;18.0
01-02-2016;B228;17.6
01-03-2016;B228;17.7
01-04-2016;B228;20.3
01-05-2016;B228;22.8
01-06-2016;B228;27.6
01-07-2016;B228;30.4
01-08-2016;B228;29.9
01-09-2016;B228;0
01-10-2016;B228;25.4
01-11-2016;B228;20.7
01-12-2016;B228;18.8
01-01-2016;B278;17.7
01-02-2016;B278;17.3
01-03-2016;B278;17.4
01-04-2016;B278;20.4
01-05-2016;B278;23.3
01-06-2016;B278;28.9
01-07-2016;B278;32.5
01-08-2016;B278;31.4
01-09-2016;B278;29.6
01-10-2016;B278;25.0
01-11-2016;B278;20.1
01-12-2016;B278;18.0
01-01-2016;0200E;14.2
01-02-2016;0200E;15.6
01-03-2016;0200E;15.6
01-04-2016;0200E;17.8
01-05-2016;0200E;21.0
01-06-2016;0200E;26.5
01-07-2016;0200E;29.6
01-08-2016;0200E;29.2
01-09-2016;0200E;27.0
01-10-2016;0200E;20.0
