Fecha;Estacion;DIAS_GRA
01 -01-2018;1387;22
01 -02-2018;1387;15
01 -03-2018;1387;25
01 -04-2018;1387;20
01 -05-2018;1387;15
01 -06-2018;1387;15
01 -07-2018;1387;9
01 -08-2018;1387;7
01 -09-2018;1387;7
01 -10-2018;1387;13
01 -11-2018;1387;20
01 -12-2018;1387;19
01 -01-2018;1387E;19
01 -02-2018;1387E;14
01 -03-2018;1387E;22
01 -04-2018;1387E;20
01 -05-2018;1387E;10
01 -06-2018;1387E;16
01 -07-2018;1387E;9
01 -08-2018;1387E;0
01 -09-2018;1387E;8
01 -10-2018;1387E;13
01 -11-2018;1387E;21
01 -12-2018;1387E;16
01 -01-2018;1428;24
01 -02-2018;1428;15
01 -03-2018;1428;27
01 -04-2018;1428;23
01 -05-2018;1428;14
01 -06-2018;1428;19
01 -07-2018;1428;13
01 -08-2018;1428;6
01 -09-2018;1428;7
01 -10-2018;1428;14
01 -11-2018;1428;23
01 -12-2018;1428;22
01 -01-2018;8175;6
01 -02-2018;8175;7
01 -03-2018;8175;21
01 -04-2018;8175;9
01 -05-2018;8175;12
01 -06-2018;8175;4
01 -07-2018;8175;0
01 -08-2018;8175;8
01 -09-2018;8175;7
01 -10-2018;8175;9
01 -11-2018;8175;14
01 -12-2018;8175;4
01 -01-2018;8178D;9
01 -02-2018;8178D;7
01 -03-2018;8178D;15
01 -04-2018;8178D;11
01 -05-2018;8178D;11
01 -06-2018;8178D;3
01 -07-2018;8178D;0
01 -08-2018;8178D;7
01 -09-2018;8178D;7
01 -10-2018;8178D;10
01 -11-2018;8178D;14
01 -12-2018;8178D;4
01 -01-2018;8025;5
01 -02-2018;8025;10
01 -03-2018;8025;16
01 -04-2018;8025;9
01 -05-2018;8025;6
01 -06-2018;8025;6
01 -07-2018;8025;0
01 -08-2018;8025;4
01 -09-2018;8025;7
01 -10-2018;8025;10
01 -11-2018;8025;13
01 -12-2018;8025;2
01 -01-2018;8019;7
01 -02-2018;8019;6
01 -03-2018;8019;13
01 -04-2018;8019;9
01 -05-2018;8019;5
01 -06-2018;8019;4
01 -07-2018;8019;3
01 -08-2018;8019;3
01 -09-2018;8019;8
01 -10-2018;8019;11
01 -11-2018;8019;11
01 -12-2018;8019;2
01 -01-2018;6325O;7
01 -02-2018;6325O;4
01 -03-2018;6325O;15
01 -04-2018;6325O;6
01 -05-2018;6325O;4
01 -06-2018;6325O;2
01 -07-2018;6325O;0
01 -08-2018;6325O;0
01 -09-2018;6325O;5
01 -10-2018;6325O;10
01 -11-2018;6325O;5
01 -12-2018;6325O;1
01 -01-2018;9091O;21
01 -02-2018;9091O;11
01 -03-2018;9091O;20
01 -04-2018;9091O;20
01 -05-2018;9091O;16
01 -06-2018;9091O;15
01 -07-2018;9091O;9
01 -08-2018;9091O;5
01 -09-2018;9091O;11
01 -10-2018;9091O;13
01 -11-2018;9091O;20
01 -12-2018;9091O;10
01 -01-2018;1212E;21
01 -02-2018;1212E;14
01 -03-2018;1212E;25
01 -04-2018;1212E;21
01 -05-2018;1212E;15
01 -06-2018;1212E;16
01 -07-2018;1212E;17
01 -08-2018;1212E;12
01 -09-2018;1212E;8
01 -10-2018;1212E;15
01 -11-2018;1212E;17
01 -12-2018;1212E;13
01 -01-2018;1208H;19
01 -02-2018;1208H;18
01 -03-2018;1208H;26
01 -04-2018;1208H;16
01 -05-2018;1208H;15
01 -06-2018;1208H;19
01 -07-2018;1208H;16
01 -08-2018;1208H;10
01 -09-2018;1208H;8
01 -10-2018;1208H;14
01 -11-2018;1208H;20
01 -12-2018;1208H;10
01 -01-2018;1249I;17
01 -02-2018;1249I;16
01 -03-2018;1249I;27
01 -04-2018;1249I;21
01 -05-2018;1249I;19
01 -06-2018;1249I;19
01 -07-2018;1249I;23
01 -08-2018;1249I;17
01 -09-2018;1249I;16
01 -10-2018;1249I;16
01 -11-2018;1249I;19
01 -12-2018;1249I;12
01 -01-2018;2444;2
01 -02-2018;2444;4
01 -03-2018;2444;15
01 -04-2018;2444;13
01 -05-2018;2444;17
01 -06-2018;2444;12
01 -07-2018;2444;2
01 -08-2018;2444;1
01 -09-2018;2444;8
01 -10-2018;2444;13
01 -11-2018;2444;21
01 -12-2018;2444;7
01 -01-2018;4452;8
01 -02-2018;4452;5
01 -03-2018;4452;21
01 -04-2018;4452;14
01 -05-2018;4452;8
01 -06-2018;4452;2
01 -07-2018;4452;1
01 -08-2018;4452;0
01 -09-2018;4452;2
01 -10-2018;4452;13
01 -11-2018;4452;13
01 -12-2018;4452;4
01 -01-2018;B954;9
01 -02-2018;B954;17
01 -03-2018;B954;17
01 -04-2018;B954;10
01 -05-2018;B954;5
01 -06-2018;B954;5
01 -07-2018;B954;2
01 -08-2018;B954;5
01 -09-2018;B954;12
01 -10-2018;B954;13
01 -11-2018;B954;11
01 -12-2018;B954;9
01 -01-2018;B893;12
01 -02-2018;B893;18
01 -03-2018;B893;14
01 -04-2018;B893;11
01 -05-2018;B893;9
01 -06-2018;B893;8
01 -07-2018;B893;1
01 -08-2018;B893;6
01 -09-2018;B893;9
01 -10-2018;B893;12
01 -11-2018;B893;13
01 -12-2018;B893;4
01 -01-2018;B228;5
01 -02-2018;B228;14
01 -03-2018;B228;13
01 -04-2018;B228;8
01 -05-2018;B228;6
01 -06-2018;B228;4
01 -07-2018;B228;2
01 -08-2018;B228;4
01 -09-2018;B228;8
01 -10-2018;B228;15
01 -11-2018;B228;13
01 -12-2018;B228;1
01 -01-2018;B278;7
01 -02-2018;B278;14
01 -03-2018;B278;14
01 -04-2018;B278;10
01 -05-2018;B278;8
01 -06-2018;B278;5
01 -07-2018;B278;2
01 -08-2018;B278;5
01 -09-2018;B278;8
01 -10-2018;B278;16
01 -11-2018;B278;14
01 -12-2018;B278;2
01 -01-2018;0200E;8
01 -02-2018;0200E;8
01 -03-2018;0200E;16
01 -04-2018;0200E;14
01 -05-2018;0200E;19
01 -06-2018;0200E;8
01 -07-2018;0200E;5
01 -08-2018;0200E;12
01 -09-2018;0200E;11
01 -10-2018;0200E;14
01 -11-2018;0200E;16
01 -12-2018;0200E;2
01 -01-2018;0076;6
01 -02-2018;0076;12
01 -03-2018;0076;13
01 -04-2018;0076;10
01 -05-2018;0076;11
01 -06-2018;0076;0
01 -07-2018;0076;5
01 -08-2018;0076;9
01 -09-2018;0076;12
01 -10-2018;0076;14
01 -11-2018;0076;10
01 -12-2018;0076;1
01 -01-2018;1082;24
01 -02-2018;1082;16
01 -03-2018;1082;20
01 -04-2018;1082;19
01 -05-2018;1082;17
01 -06-2018;1082;17
01 -07-2018;1082;15
01 -08-2018;1082;12
01 -09-2018;1082;9
01 -10-2018;1082;9
01 -11-2018;1082;21
01 -12-2018;1082;12
01 -01-2018;2331;7
01 -02-2018;2331;7
01 -03-2018;2331;21
01 -04-2018;2331;14
