Fecha;Estacion;DIAS_GRA
01 -01-2021;1387E;21
01 -02-2021;1387E;17
01 -03-2021;1387E;18
01 -04-2021;1387E;13
01 -05-2021;1387E;24
01 -06-2021;1387E;13
01 -07-2021;1387E;17
01 -08-2021;1387E;19
01 -09-2021;1387E;21
01 -10-2021;1387E;17
01 -11-2021;1387E;0
01 -12-2021;1387E;19
01 -01-2021;1428;12
01 -02-2021;1428;10
01 -03-2021;1428;14
01 -04-2021;1428;11
01 -05-2021;1428;21
01 -06-2021;1428;14
01 -07-2021;1428;13
01 -08-2021;1428;20
01 -09-2021;1428;21
01 -10-2021;1428;13
01 -11-2021;1428;20
01 -12-2021;1428;14
01 -01-2021;8175;17
01 -02-2021;8175;15
01 -03-2021;8175;15
01 -04-2021;8175;18
01 -05-2021;8175;21
01 -06-2021;8175;19
01 -07-2021;8175;12
01 -08-2021;8175;21
01 -09-2021;8175;22
01 -10-2021;8175;26
01 -11-2021;8175;17
01 -12-2021;8175;21
01 -01-2021;8019;15
01 -02-2021;8019;22
01 -03-2021;8019;16
01 -04-2021;8019;21
01 -05-2021;8019;19
01 -06-2021;8019;18
01 -07-2021;8019;14
01 -08-2021;8019;21
01 -09-2021;8019;20
01 -10-2021;8019;25
01 -11-2021;8019;22
01 -12-2021;8019;16
01 -01-2021;6325O;16
01 -02-2021;6325O;17
01 -03-2021;6325O;0
01 -04-2021;6325O;24
01 -05-2021;6325O;20
01 -06-2021;6325O;12
01 -07-2021;6325O;12
01 -08-2021;6325O;19
01 -09-2021;6325O;17
01 -10-2021;6325O;25
01 -11-2021;6325O;15
01 -12-2021;6325O;14
01 -01-2021;9091O;10
01 -02-2021;9091O;6
01 -03-2021;9091O;15
01 -04-2021;9091O;14
01 -05-2021;9091O;23
01 -06-2021;9091O;19
01 -07-2021;9091O;22
01 -08-2021;9091O;25
01 -09-2021;9091O;20
01 -10-2021;9091O;21
01 -11-2021;9091O;11
01 -12-2021;9091O;19
01 -01-2021;1212E;20
01 -02-2021;1212E;17
01 -03-2021;1212E;14
01 -04-2021;1212E;19
01 -05-2021;1212E;24
01 -06-2021;1212E;13
01 -07-2021;1212E;19
01 -08-2021;1212E;20
01 -09-2021;1212E;18
01 -10-2021;1212E;19
01 -11-2021;1212E;13
01 -12-2021;1212E;9
01 -01-2021;1208H;0
01 -02-2021;1208H;0
01 -03-2021;1208H;0
01 -04-2021;1208H;0
01 -05-2021;1208H;0
01 -06-2021;1208H;0
01 -07-2021;1208H;0
01 -08-2021;1208H;0
01 -09-2021;1208H;0
01 -10-2021;1208H;0
01 -11-2021;1208H;9
01 -12-2021;1208H;9
01 -01-2021;1249I;13
01 -02-2021;1249I;13
01 -03-2021;1249I;15
01 -04-2021;1249I;14
01 -05-2021;1249I;13
01 -06-2021;1249I;11
01 -07-2021;1249I;15
01 -08-2021;1249I;18
01 -09-2021;1249I;13
01 -10-2021;1249I;0
01 -11-2021;1249I;0
01 -12-2021;1249I;0
01 -01-2021;4452;13
01 -02-2021;4452;15
01 -03-2021;4452;19
01 -04-2021;4452;19
01 -05-2021;4452;21
01 -06-2021;4452;19
01 -07-2021;4452;5
01 -08-2021;4452;10
01 -09-2021;4452;19
01 -10-2021;4452;18
01 -11-2021;4452;15
01 -12-2021;4452;14
01 -01-2021;B954;21
01 -02-2021;B954;0
01 -03-2021;B954;17
01 -04-2021;B954;14
01 -05-2021;B954;26
01 -06-2021;B954;19
01 -07-2021;B954;17
01 -08-2021;B954;24
01 -09-2021;B954;21
01 -10-2021;B954;24
01 -11-2021;B954;22
01 -12-2021;B954;23
01 -01-2021;B893;24
01 -02-2021;B893;22
01 -03-2021;B893;23
01 -04-2021;B893;20
01 -05-2021;B893;23
01 -06-2021;B893;17
01 -07-2021;B893;13
01 -08-2021;B893;20
01 -09-2021;B893;22
01 -10-2021;B893;23
01 -11-2021;B893;12
01 -12-2021;B893;20
01 -01-2021;B278;20
01 -02-2021;B278;23
01 -03-2021;B278;19
01 -04-2021;B278;23
01 -05-2021;B278;27
01 -06-2021;B278;19
01 -07-2021;B278;14
01 -08-2021;B278;18
01 -09-2021;B278;26
01 -10-2021;B278;22
01 -11-2021;B278;19
01 -12-2021;B278;22
01 -01-2021;B228;22
01 -02-2021;B228;19
01 -03-2021;B228;20
01 -04-2021;B228;17
01 -05-2021;B228;24
01 -06-2021;B228;22
01 -07-2021;B228;0
01 -08-2021;B228;0
01 -09-2021;B228;20
01 -10-2021;B228;24
01 -11-2021;B228;21
01 -12-2021;B228;19
01 -01-2021;0200E;22
01 -02-2021;0200E;17
01 -03-2021;0200E;16
01 -04-2021;0200E;18
01 -05-2021;0200E;25
01 -06-2021;0200E;20
01 -07-2021;0200E;19
01 -08-2021;0200E;25
01 -09-2021;0200E;22
01 -10-2021;0200E;23
01 -11-2021;0200E;15
01 -12-2021;0200E;22
01 -01-2021;0076;22
01 -02-2021;0076;20
01 -03-2021;0076;16
01 -04-2021;0076;19
01 -05-2021;0076;25
01 -06-2021;0076;23
01 -07-2021;0076;18
01 -08-2021;0076;24
01 -09-2021;0076;24
