Fecha;Estacion;DIAS_GRA
01 -01-2020;1387;606
01 -02-2020;1387;673
01 -03-2020;1387;754
01 -04-2020;1387;571
01 -05-2020;1387;998
01 -06-2020;1387;729
01 -07-2020;1387;956
01 -08-2020;1387;795
01 -09-2020;1387;0
01 -10-2020;1387;745
01 -11-2020;1387;615
01 -12-2020;1387;673
01 -01-2020;8175;0
01 -02-2020;8175;772
01 -03-2020;8175;1009
01 -04-2020;8175;1016
01 -05-2020;8175;1741
01 -06-2020;8175;3043
01 -07-2020;8175;3417
01 -08-2020;8175;3490
01 -09-2020;8175;2014
01 -10-2020;8175;1448
01 -11-2020;8175;609
01 -12-2020;8175;564
01 -01-2020;8025;550
01 -02-2020;8025;695
01 -03-2020;8025;917
01 -04-2020;8025;788
01 -05-2020;8025;1220
01 -06-2020;8025;1146
01 -07-2020;8025;1333
01 -08-2020;8025;1476
01 -09-2020;8025;1245
01 -10-2020;8025;1060
01 -11-2020;8025;517
01 -12-2020;8025;901
01 -01-2020;6325O;694
01 -02-2020;6325O;754
01 -03-2020;6325O;0
01 -04-2020;6325O;0
01 -05-2020;6325O;0
01 -06-2020;6325O;0
01 -07-2020;6325O;1903
01 -08-2020;6325O;1623
01 -09-2020;6325O;1409
01 -10-2020;6325O;1321
01 -11-2020;6325O;895
01 -12-2020;6325O;1176
01 -01-2020;9091O;394
01 -02-2020;9091O;591
01 -03-2020;9091O;814
01 -04-2020;9091O;999
01 -05-2020;9091O;1146
01 -06-2020;9091O;998
01 -07-2020;9091O;1450
01 -08-2020;9091O;1495
01 -09-2020;9091O;1275
01 -10-2020;9091O;703
01 -11-2020;9091O;564
01 -12-2020;9091O;437
01 -01-2020;1212E;642
01 -02-2020;1212E;825
01 -03-2020;1212E;0
01 -04-2020;1212E;0
01 -05-2020;1212E;0
01 -06-2020;1212E;0
01 -07-2020;1212E;1049
01 -08-2020;1212E;689
01 -09-2020;1212E;765
01 -10-2020;1212E;830
01 -11-2020;1212E;548
01 -12-2020;1212E;625
01 -01-2020;1208H;837
01 -02-2020;1208H;830
01 -03-2020;1208H;862
01 -04-2020;1208H;0
01 -05-2020;1208H;752
01 -06-2020;1208H;871
01 -07-2020;1208H;0
01 -08-2020;1208H;0
01 -09-2020;1208H;841
01 -10-2020;1208H;0
01 -11-2020;1208H;790
01 -12-2020;1208H;832
01 -01-2020;1249I;586
01 -02-2020;1249I;787
01 -03-2020;1249I;822
01 -04-2020;1249I;737
01 -05-2020;1249I;964
01 -06-2020;1249I;740
01 -07-2020;1249I;737
01 -08-2020;1249I;856
01 -09-2020;1249I;671
