Fecha;Estacion;DIAS_GRA
01 -01-2017;1387;77
01 -02-2017;1387;78
01 -03-2017;1387;74
01 -04-2017;1387;68
01 -05-2017;1387;75
01 -06-2017;1387;79
01 -07-2017;1387;78
01 -08-2017;1387;79
01 -09-2017;1387;78
01 -10-2017;1387;73
01 -11-2017;1387;76
01 -12-2017;1387;80
01 -01-2017;1387E;0
01 -02-2017;1387E;77
01 -03-2017;1387E;73
01 -04-2017;1387E;65
01 -05-2017;1387E;0
01 -06-2017;1387E;76
01 -07-2017;1387E;74
01 -08-2017;1387E;73
01 -09-2017;1387E;77
01 -10-2017;1387E;78
01 -11-2017;1387E;80
01 -12-2017;1387E;81
01 -01-2017;1428;78
01 -02-2017;1428;77
01 -03-2017;1428;78
01 -04-2017;1428;58
01 -05-2017;1428;74
01 -06-2017;1428;0
01 -07-2017;1428;75
01 -08-2017;1428;70
01 -09-2017;1428;79
01 -10-2017;1428;69
01 -11-2017;1428;79
01 -12-2017;1428;86
01 -01-2017;8175;75
01 -02-2017;8175;68
01 -03-2017;8175;61
01 -04-2017;8175;53
01 -05-2017;8175;0
01 -06-2017;8175;40
01 -07-2017;8175;40
01 -08-2017;8175;44
01 -09-2017;8175;47
01 -10-2017;8175;0
01 -11-2017;8175;57
01 -12-2017;8175;76
01 -01-2017;8178D;74
01 -02-2017;8178D;68
01 -03-2017;8178D;61
01 -04-2017;8178D;56
01 -05-2017;8178D;48
01 -06-2017;8178D;45
01 -07-2017;8178D;45
01 -08-2017;8178D;52
01 -09-2017;8178D;52
01 -10-2017;8178D;59
01 -11-2017;8178D;60
01 -12-2017;8178D;73
01 -01-2017;8025;64
01 -02-2017;8025;65
01 -03-2017;8025;0
01 -04-2017;8025;64
01 -05-2017;8025;55
01 -06-2017;8025;56
01 -07-2017;8025;0
01 -08-2017;8025;68
01 -09-2017;8025;66
01 -10-2017;8025;73
01 -11-2017;8025;62
01 -12-2017;8025;55
01 -01-2017;8019;63
01 -02-2017;8019;0
01 -03-2017;8019;62
01 -04-2017;8019;59
01 -05-2017;8019;49
01 -06-2017;8019;55
01 -07-2017;8019;60
01 -08-2017;8019;0
01 -09-2017;8019;64
01 -10-2017;8019;69
01 -11-2017;8019;0
01 -12-2017;8019;0
01 -01-2017;6325O;63
01 -02-2017;6325O;65
01 -03-2017;6325O;63
01 -04-2017;6325O;62
01 -05-2017;6325O;53
01 -06-2017;6325O;58
01 -07-2017;6325O;0
01 -08-2017;6325O;65
01 -09-2017;6325O;65
01 -10-2017;6325O;67
01 -11-2017;6325O;65
01 -12-2017;6325O;63
01 -01-2017;9091O;84
01 -02-2017;9091O;78
01 -03-2017;9091O;71
01 -04-2017;9091O;65
01 -05-2017;9091O;65
01 -06-2017;9091O;72
01 -07-2017;9091O;69
01 -08-2017;9091O;66
01 -09-2017;9091O;74
01 -10-2017;9091O;76
01 -11-2017;9091O;82
01 -12-2017;9091O;87
01 -01-2017;1212E;79
01 -02-2017;1212E;0
01 -03-2017;1212E;0
01 -04-2017;1212E;75
01 -05-2017;1212E;0
01 -06-2017;1212E;79
01 -07-2017;1212E;0
01 -08-2017;1212E;79
01 -09-2017;1212E;79
01 -10-2017;1212E;80
01 -11-2017;1212E;0
01 -12-2017;1212E;78
01 -01-2017;1208H;74
01 -02-2017;1208H;72
01 -03-2017;1208H;73
01 -04-2017;1208H;74
01 -05-2017;1208H;78
01 -06-2017;1208H;78
01 -07-2017;1208H;79
01 -08-2017;1208H;78
01 -09-2017;1208H;74
01 -10-2017;1208H;76
01 -11-2017;1208H;73
01 -12-2017;1208H;73
01 -01-2017;1249I;82
01 -02-2017;1249I;77
01 -03-2017;1249I;75
01 -04-2017;1249I;76
01 -05-2017;1249I;80
01 -06-2017;1249I;83
01 -07-2017;1249I;82
01 -08-2017;1249I;83
01 -09-2017;1249I;82
01 -10-2017;1249I;80
01 -11-2017;1249I;85
01 -12-2017;1249I;84
01 -01-2017;2444;73
01 -02-2017;2444;70
01 -03-2017;2444;59
01 -04-2017;2444;44
01 -05-2017;2444;47
01 -06-2017;2444;39
01 -07-2017;2444;38
01 -08-2017;2444;38
01 -09-2017;2444;44
01 -10-2017;2444;51
01 -11-2017;2444;66
01 -12-2017;2444;78
01 -01-2017;4452;76
01 -02-2017;4452;74
01 -03-2017;4452;67
01 -04-2017;4452;48
01 -05-2017;4452;48
01 -06-2017;4452;40
01 -07-2017;4452;38
01 -08-2017;4452;38
01 -09-2017;4452;43
01 -10-2017;4452;49
01 -11-2017;4452;63
01 -12-2017;4452;76
01 -01-2017;B954;75
01 -02-2017;B954;76
01 -03-2017;B954;76
01 -04-2017;B954;69
01 -05-2017;B954;67
01 -06-2017;B954;0
01 -07-2017;B954;69
01 -08-2017;B954;72
01 -09-2017;B954;71
01 -10-2017;B954;78
01 -11-2017;B954;0
01 -12-2017;B954;70
01 -01-2017;B893;78
01 -02-2017;B893;0
01 -03-2017;B893;0
01 -04-2017;B893;0
01 -05-2017;B893;63
01 -06-2017;B893;0
01 -07-2017;B893;65
01 -08-2017;B893;0
01 -09-2017;B893;0
01 -10-2017;B893;0
01 -11-2017;B893;73
01 -12-2017;B893;0
01 -01-2017;B228;73
01 -02-2017;B228;74
01 -03-2017;B228;0
01 -04-2017;B228;0
01 -05-2017;B228;0
01 -06-2017;B228;0
01 -07-2017;B228;0
01 -08-2017;B228;79
01 -09-2017;B228;80
01 -10-2017;B228;0
01 -11-2017;B228;0
01 -12-2017;B228;0
01 -01-2017;B278;75
01 -02-2017;B278;0
01 -03-2017;B278;70
01 -04-2017;B278;0
01 -05-2017;B278;58
01 -06-2017;B278;56
01 -07-2017;B278;59
01 -08-2017;B278;61
01 -09-2017;B278;69
01 -10-2017;B278;77
01 -11-2017;B278;0
01 -12-2017;B278;74
01 -01-2017;0200E;72
01 -02-2017;0200E;75
01 -03-2017;0200E;70
01 -04-2017;0200E;70
01 -05-2017;0200E;70
01 -06-2017;0200E;63
01 -07-2017;0200E;71
01 -08-2017;0200E;73
01 -09-2017;0200E;79
01 -10-2017;0200E;81
01 -11-2017;0200E;66
01 -12-2017;0200E;69
01 -01-2017;0076;0
01 -02-2017;0076;74
01 -03-2017;0076;0
01 -04-2017;0076;68
01 -05-2017;0076;0
01 -06-2017;0076;62
01 -07-2017;0076;0
01 -08-2017;0076;65
01 -09-2017;0076;67
01 -10-2017;0076;0
01 -11-2017;0076;60
01 -12-2017;0076;0
01 -01-2017;1082;76
01 -02-2017;1082;0
01 -03-2017;1082;0
01 -04-2017;1082;69
01 -05-2017;1082;67
01 -06-2017;1082;75
01 -07-2017;1082;76
01 -08-2017;1082;75
01 -09-2017;1082;79
01 -10-2017;1082;77
01 -11-2017;1082;77
01 -12-2017;1082;81
01 -01-2017;2331;77
01 -02-2017;2331;79
01 -03-2017;2331;69
01 -04-2017;2331;52
01 -05-2017;2331;58
01 -06-2017;2331;58
01 -07-2017;2331;47
01 -08-2017;2331;50
01 -09-2017;2331;56
01 -10-2017;2331;60
01 -11-2017;2331;74
01 -12-2017;2331;87
01 -01-2017;3469A;75
01 -02-2017;3469A;75
01 -03-2017;3469A;67
01 -04-2017;3469A;48
01 -05-2017;3469A;47
01 -06-2017;3469A;34
01 -07-2017;3469A;31
01 -08-2017;3469A;30
01 -09-2017;3469A;35
01 -10-2017;3469A;42
01 -11-2017;3469A;59
01 -12-2017;3469A;72
01 -01-2017;5973;69
01 -02-2017;5973;73
01 -03-2017;5973;67
01 -04-2017;5973;65
01 -05-2017;5973;61
01 -06-2017;5973;0
01 -07-2017;5973;66
01 -08-2017;5973;64
01 -09-2017;5973;66
01 -10-2017;5973;0
01 -11-2017;5973;0
01 -12-2017;5973;71
01 -01-2017;5960;71
01 -02-2017;5960;78
01 -03-2017;5960;71
01 -04-2017;5960;60
01 -05-2017;5960;55
01 -06-2017;5960;0
01 -07-2017;5960;52
01 -08-2017;5960;50
01 -09-2017;5960;55
01 -10-2017;5960;0
01 -11-2017;5960;0
01 -12-2017;5960;76
01 -01-2017;5910;69
01 -02-2017;5910;76
01 -03-2017;5910;67
01 -04-2017;5910;63
01 -05-2017;5910;59
01 -06-2017;5910;53
01 -07-2017;5910;60
01 -08-2017;5910;59
01 -09-2017;5910;63
01 -10-2017;5910;61
01 -11-2017;5910;67
01 -12-2017;5910;73
01 -01-2017;6001;0
01 -02-2017;6001;0
01 -03-2017;6001;86
01 -04-2017;6001;91
01 -05-2017;6001;0
01 -06-2017;6001;86
01 -07-2017;6001;0
01 -08-2017;6001;78
01 -09-2017;6001;0
01 -10-2017;6001;84
01 -11-2017;6001;0
01 -12-2017;6001;80
01 -01-2017;1111;0
01 -02-2017;1111;0
01 -03-2017;1111;77
01 -04-2017;1111;77
01 -05-2017;1111;80
01 -06-2017;1111;83
01 -07-2017;1111;81
01 -08-2017;1111;79
01 -09-2017;1111;81
01 -10-2017;1111;0
01 -11-2017;1111;0
01 -12-2017;1111;0
01 -01-2017;1109;72
01 -02-2017;1109;72
01 -03-2017;1109;72
01 -04-2017;1109;0
01 -05-2017;1109;71
01 -06-2017;1109;76
01 -07-2017;1109;76
01 -08-2017;1109;0
01 -09-2017;1109;75
01 -10-2017;1109;77
01 -11-2017;1109;77
01 -12-2017;1109;76
01 -01-2017;8500A;64
01 -02-2017;8500A;66
01 -03-2017;8500A;64
01 -04-2017;8500A;60
01 -05-2017;8500A;57
01 -06-2017;8500A;56
01 -07-2017;8500A;61
01 -08-2017;8500A;65
01 -09-2017;8500A;64
01 -10-2017;8500A;68
01 -11-2017;8500A;53
01 -12-2017;8500A;52
01 -01-2017;5000C;70
01 -02-2017;5000C;75
01 -03-2017;5000C;71
01 -04-2017;5000C;0
01 -05-2017;5000C;74
01 -06-2017;5000C;71
01 -07-2017;5000C;66
01 -08-2017;5000C;73
01 -09-2017;5000C;74
01 -10-2017;5000C;87
01 -11-2017;5000C;79
01 -12-2017;5000C;70
01 -01-2017;4121;76
01 -02-2017;4121;73
01 -03-2017;4121;65
01 -04-2017;4121;46
01 -05-2017;4121;44
01 -06-2017;4121;32
01 -07-2017;4121;27
01 -08-2017;4121;30
01 -09-2017;4121;36
01 -10-2017;4121;50
01 -11-2017;4121;57
01 -12-2017;4121;76
01 -01-2017;5402;70
01 -02-2017;5402;0
01 -03-2017;5402;0
01 -04-2017;5402;51
01 -05-2017;5402;0
01 -06-2017;5402;32
01 -07-2017;5402;0
01 -08-2017;5402;0
01 -09-2017;5402;0
01 -10-2017;5402;0
01 -11-2017;5402;0
01 -12-2017;5402;0
01 -01-2017;8096;63
01 -02-2017;8096;66
01 -03-2017;8096;54
01 -04-2017;8096;44
01 -05-2017;8096;0
01 -06-2017;8096;35
01 -07-2017;8096;33
01 -08-2017;8096;39
01 -09-2017;8096;42
01 -10-2017;8096;51
01 -11-2017;8096;51
01 -12-2017;8096;72
01 -01-2017;1014;76
01 -02-2017;1014;73
01 -03-2017;1014;72
01 -04-2017;1014;69
01 -05-2017;1014;69
01 -06-2017;1014;74
01 -07-2017;1014;74
01 -08-2017;1014;73
01 -09-2017;1014;76
01 -10-2017;1014;78
01 -11-2017;1014;75
01 -12-2017;1014;80
01 -01-2017;1024E;76
01 -02-2017;1024E;72
01 -03-2017;1024E;74
01 -04-2017;1024E;74
01 -05-2017;1024E;72
01 -06-2017;1024E;82
01 -07-2017;1024E;84
01 -08-2017;1024E;80
01 -09-2017;1024E;79
01 -10-2017;1024E;0
01 -11-2017;1024E;75
01 -12-2017;1024E;80
01 -01-2017;0367;74
01 -02-2017;0367;75
01 -03-2017;0367;0
01 -04-2017;0367;0
01 -05-2017;0367;0
01 -06-2017;0367;54
01 -07-2017;0367;59
01 -08-2017;0367;58
01 -09-2017;0367;72
01 -10-2017;0367;0
01 -11-2017;0367;69
01 -12-2017;0367;73
01 -01-2017;5530E;67
01 -02-2017;5530E;69
01 -03-2017;5530E;59
01 -04-2017;5530E;46
01 -05-2017;5530E;39
01 -06-2017;5530E;29
01 -07-2017;5530E;27
01 -08-2017;5530E;0
01 -09-2017;5530E;39
01 -10-2017;5530E;53
01 -11-2017;5530E;62
01 -12-2017;5530E;74
01 -01-2017;5514;65
01 -02-2017;5514;68
01 -03-2017;5514;55
01 -04-2017;5514;44
01 -05-2017;5514;39
01 -06-2017;5514;30
01 -07-2017;5514;26
01 -08-2017;5514;33
01 -09-2017;5514;37
01 -10-2017;5514;49
01 -11-2017;5514;59
01 -12-2017;5514;72
01 -01-2017;3013;72
01 -02-2017;3013;71
01 -03-2017;3013;63
01 -04-2017;3013;0
01 -05-2017;3013;51
01 -06-2017;3013;49
01 -07-2017;3013;0
01 -08-2017;3013;44
01 -09-2017;3013;53
01 -10-2017;3013;0
01 -11-2017;3013;61
01 -12-2017;3013;76
01 -01-2017;4642E;69
01 -02-2017;4642E;78
01 -03-2017;4642E;71
01 -04-2017;4642E;63
01 -05-2017;4642E;60
01 -06-2017;4642E;49
01 -07-2017;4642E;49
01 -08-2017;4642E;46
01 -09-2017;4642E;50
01 -10-2017;4642E;59
01 -11-2017;4642E;63
01 -12-2017;4642E;69
01 -01-2017;9898;74
01 -02-2017;9898;78
01 -03-2017;9898;65
01 -04-2017;9898;54
01 -05-2017;9898;51
01 -06-2017;9898;48
01 -07-2017;9898;46
01 -08-2017;9898;47
01 -09-2017;9898;55
01 -10-2017;9898;65
01 -11-2017;9898;61
01 -12-2017;9898;79
01 -01-2017;5270B;67
01 -02-2017;5270B;66
01 -03-2017;5270B;0
01 -04-2017;5270B;43
01 -05-2017;5270B;41
01 -06-2017;5270B;30
01 -07-2017;5270B;30
01 -08-2017;5270B;33
01 -09-2017;5270B;36
01 -10-2017;5270B;45
01 -11-2017;5270B;55
01 -12-2017;5270B;68
01 -01-2017;9170;71
01 -02-2017;9170;74
01 -03-2017;9170;64
01 -04-2017;9170;49
01 -05-2017;9170;0
01 -06-2017;9170;53
01 -07-2017;9170;51
01 -08-2017;9170;52
01 -09-2017;9170;60
01 -10-2017;9170;0
01 -11-2017;9170;0
01 -12-2017;9170;77
01 -01-2017;C249I;0
01 -02-2017;C249I;71
01 -03-2017;C249I;67
01 -04-2017;C249I;68
01 -05-2017;C249I;0
01 -06-2017;C249I;64
01 -07-2017;C249I;0
