Fecha;Estacion;DIAS_GRA
01 -01-2021;1387;39
01 -02-2021;1387;42
01 -03-2021;1387;64
01 -04-2021;1387;56
01 -05-2021;1387;58
01 -06-2021;1387;58
01 -07-2021;1387;0
01 -08-2021;1387;0
01 -09-2021;1387;0
01 -10-2021;1387;0
01 -11-2021;1387;0
01 -12-2021;1387;0
01 -01-2021;1428;33
01 -02-2021;1428;35
01 -03-2021;1428;59
01 -04-2021;1428;50
01 -05-2021;1428;53
01 -06-2021;1428;51
01 -07-2021;1428;44
01 -08-2021;1428;59
01 -09-2021;1428;50
01 -10-2021;1428;46
01 -11-2021;1428;59
01 -12-2021;1428;38
01 -01-2021;8175;49
01 -02-2021;8175;55
01 -03-2021;8175;59
01 -04-2021;8175;48
01 -05-2021;8175;69
01 -06-2021;8175;68
01 -07-2021;8175;84
01 -08-2021;8175;72
01 -09-2021;8175;65
01 -10-2021;8175;0
01 -11-2021;8175;59
01 -12-2021;8175;54
01 -01-2021;8178D;0
01 -02-2021;8178D;0
01 -03-2021;8178D;0
01 -04-2021;8178D;0
01 -05-2021;8178D;0
01 -06-2021;8178D;0
01 -07-2021;8178D;87
01 -08-2021;8178D;0
01 -09-2021;8178D;0
01 -10-2021;8178D;0
01 -11-2021;8178D;0
01 -12-2021;8178D;0
01 -01-2021;8025;68
01 -02-2021;8025;68
01 -03-2021;8025;67
01 -04-2021;8025;54
01 -05-2021;8025;76
01 -06-2021;8025;75
01 -07-2021;8025;85
01 -08-2021;8025;76
01 -09-2021;8025;75
01 -10-2021;8025;70
01 -11-2021;8025;64
01 -12-2021;8025;61
01 -01-2021;8019;67
01 -02-2021;8019;65
01 -03-2021;8019;65
01 -04-2021;8019;54
01 -05-2021;8019;75
01 -06-2021;8019;75
01 -07-2021;8019;85
01 -08-2021;8019;74
01 -09-2021;8019;71
01 -10-2021;8019;67
01 -11-2021;8019;63
01 -12-2021;8019;59
01 -01-2021;6325O;66
01 -02-2021;6325O;70
01 -03-2021;6325O;58
01 -04-2021;6325O;57
01 -05-2021;6325O;70
01 -06-2021;6325O;75
01 -07-2021;6325O;81
01 -08-2021;6325O;72
01 -09-2021;6325O;73
01 -10-2021;6325O;72
01 -11-2021;6325O;77
01 -12-2021;6325O;62
01 -01-2021;9091O;27
01 -02-2021;9091O;37
01 -03-2021;9091O;43
01 -04-2021;9091O;41
01 -05-2021;9091O;48
01 -06-2021;9091O;46
01 -07-2021;9091O;51
01 -08-2021;9091O;56
01 -09-2021;9091O;41
01 -10-2021;9091O;51
01 -11-2021;9091O;25
01 -12-2021;9091O;33
01 -01-2021;1212E;43
01 -02-2021;1212E;32
01 -03-2021;1212E;0
01 -04-2021;1212E;0
01 -05-2021;1212E;49
01 -06-2021;1212E;30
01 -07-2021;1212E;35
01 -08-2021;1212E;43
01 -09-2021;1212E;38
01 -10-2021;1212E;58
01 -11-2021;1212E;33
01 -12-2021;1212E;40
01 -01-2021;1249I;42
01 -02-2021;1249I;36
01 -03-2021;1249I;46
01 -04-2021;1249I;43
01 -05-2021;1249I;42
01 -06-2021;1249I;27
01 -07-2021;1249I;32
01 -08-2021;1249I;41
01 -09-2021;1249I;36
01 -10-2021;1249I;58
01 -11-2021;1249I;40
01 -12-2021;1249I;47
01 -01-2021;2444;48
01 -02-2021;2444;49
01 -03-2021;2444;63
01 -04-2021;2444;46
01 -05-2021;2444;61
01 -06-2021;2444;70
01 -07-2021;2444;82
01 -08-2021;2444;82
01 -09-2021;2444;60
01 -10-2021;2444;69
01 -11-2021;2444;44
01 -12-2021;2444;44
01 -01-2021;4452;35
01 -02-2021;4452;45
01 -03-2021;4452;75
01 -04-2021;4452;55
01 -05-2021;4452;80
01 -06-2021;4452;77
01 -07-2021;4452;90
01 -08-2021;4452;88
01 -09-2021;4452;69
01 -10-2021;4452;72
01 -11-2021;4452;59
01 -12-2021;4452;45
01 -01-2021;B954;60
01 -02-2021;B954;59
01 -03-2021;B954;52
01 -04-2021;B954;46
01 -05-2021;B954;68
01 -06-2021;B954;65
01 -07-2021;B954;76
01 -08-2021;B954;68
01 -09-2021;B954;60
01 -10-2021;B954;54
01 -11-2021;B954;33
01 -12-2021;B954;54
01 -01-2021;B893;51
01 -02-2021;B893;52
01 -03-2021;B893;62
01 -04-2021;B893;57
01 -05-2021;B893;67
01 -06-2021;B893;73
01 -07-2021;B893;79
01 -08-2021;B893;74
01 -09-2021;B893;54
01 -10-2021;B893;62
01 -11-2021;B893;28
01 -12-2021;B893;49
01 -01-2021;B278;50
01 -02-2021;B278;54
01 -03-2021;B278;58
01 -04-2021;B278;51
01 -05-2021;B278;64
01 -06-2021;B278;65
01 -07-2021;B278;80
01 -08-2021;B278;66
01 -09-2021;B278;54
01 -10-2021;B278;56
01 -11-2021;B278;30
01 -12-2021;B278;49
01 -01-2021;B228;52
01 -02-2021;B228;52
01 -03-2021;B228;56
01 -04-2021;B228;52
01 -05-2021;B228;65
01 -06-2021;B228;66
01 -07-2021;B228;80
01 -08-2021;B228;69
01 -09-2021;B228;60
01 -10-2021;B228;57
01 -11-2021;B228;33
01 -12-2021;B228;53
01 -01-2021;0200E;59
01 -02-2021;0200E;50
01 -03-2021;0200E;52
01 -04-2021;0200E;45
01 -05-2021;0200E;60
01 -06-2021;0200E;64
