Fecha;Estacion;DIAS_GRA
01-01-2021;1387;3.6
01-02-2021;1387;4.5
01-03-2021;1387;7.7
01-04-2021;1387;7.5
01-05-2021;1387;8.5
01-06-2021;1387;8.8
01-07-2021;1387;0
01-08-2021;1387;0
01-09-2021;1387;0
01-10-2021;1387;0
01-11-2021;1387;0
01-12-2021;1387;0
01-01-2021;1428;3.1
01-02-2021;1428;3.7
01-03-2021;1428;7.1
01-04-2021;1428;6.7
01-05-2021;1428;7.8
01-06-2021;1428;7.7
01-07-2021;1428;6.6
01-08-2021;1428;8.1
01-09-2021;1428;6.2
01-10-2021;1428;5.1
01-11-2021;1428;5.8
01-12-2021;1428;3.5
01-01-2021;8175;4.8
01-02-2021;8175;5.9
01-03-2021;8175;7.1
01-04-2021;8175;6.3
01-05-2021;8175;9.9
01-06-2021;8175;10.2
01-07-2021;8175;12.2
01-08-2021;8175;9.8
01-09-2021;8175;8.1
01-10-2021;8175;0
01-11-2021;8175;6.0
01-12-2021;8175;5.1
01-01-2021;8178D;0
01-02-2021;8178D;0
01-03-2021;8178D;0
01-04-2021;8178D;0
01-05-2021;8178D;0
01-06-2021;8178D;0
01-07-2021;8178D;12.7
01-08-2021;8178D;0
01-09-2021;8178D;0
01-10-2021;8178D;0
01-11-2021;8178D;0
01-12-2021;8178D;0
01-01-2021;8025;6.7
01-02-2021;8025;7.3
01-03-2021;8025;8.1
01-04-2021;8025;7.1
01-05-2021;8025;10.8
01-06-2021;8025;11.1
01-07-2021;8025;12.4
01-08-2021;8025;10.4
01-09-2021;8025;9.4
01-10-2021;8025;7.9
01-11-2021;8025;6.5
01-12-2021;8025;5.8
01-01-2021;8019;6.6
01-02-2021;8019;7.0
01-03-2021;8019;7.8
01-04-2021;8019;7.1
01-05-2021;8019;10.6
01-06-2021;8019;11.1
01-07-2021;8019;12.4
01-08-2021;8019;10.1
01-09-2021;8019;8.8
01-10-2021;8019;7.5
01-11-2021;8019;6.4
01-12-2021;8019;5.7
01-01-2021;6325O;6.5
01-02-2021;6325O;7.6
01-03-2021;6325O;7.0
01-04-2021;6325O;7.5
01-05-2021;6325O;9.9
01-06-2021;6325O;11.0
01-07-2021;6325O;11.7
01-08-2021;6325O;9.7
01-09-2021;6325O;9.1
01-10-2021;6325O;8.2
01-11-2021;6325O;7.8
01-12-2021;6325O;6.0
01-01-2021;9091O;2.5
01-02-2021;9091O;3.9
01-03-2021;9091O;5.2
01-04-2021;9091O;5.4
01-05-2021;9091O;7.1
01-06-2021;9091O;6.9
01-07-2021;9091O;7.7
01-08-2021;9091O;7.8
01-09-2021;9091O;5.2
01-10-2021;9091O;5.7
01-11-2021;9091O;2.5
01-12-2021;9091O;3.0
01-01-2021;1212E;4.0
01-02-2021;1212E;3.4
01-03-2021;1212E;0
01-04-2021;1212E;0
01-05-2021;1212E;7.2
01-06-2021;1212E;4.6
01-07-2021;1212E;5.3
01-08-2021;1212E;6.0
01-09-2021;1212E;4.8
01-10-2021;1212E;6.4
01-11-2021;1212E;3.2
01-12-2021;1212E;3.6
01-01-2021;1249I;3.9
01-02-2021;1249I;3.8
01-03-2021;1249I;5.5
01-04-2021;1249I;5.8
01-05-2021;1249I;6.2
01-06-2021;1249I;4.2
01-07-2021;1249I;4.9
01-08-2021;1249I;5.7
01-09-2021;1249I;4.5
01-10-2021;1249I;6.4
01-11-2021;1249I;3.9
01-12-2021;1249I;4.2
01-01-2021;2444;4.6
01-02-2021;2444;5.3
01-03-2021;2444;7.5
01-04-2021;2444;6.1
01-05-2021;2444;8.9
