Fecha;Estacion;DIAS_GRA
01 -01-2023;1387;157.0
01 -02-2023;1387;33.2
01 -03-2023;1387;51.7
01 -04-2023;1387;33.4
01 -05-2023;1387;11.8
01 -06-2023;1387;71.8
01 -07-2023;1387;21.8
01 -08-2023;1387;24.0
01 -09-2023;1387;89.0
01 -10-2023;1387;219.6
01 -11-2023;1387;215.4
01 -12-2023;1387;154.8
01 -01-2023;1387E;132.0
01 -02-2023;1387E;39.0
01 -03-2023;1387E;39.5
01 -04-2023;1387E;34.0
01 -05-2023;1387E;21.9
01 -06-2023;1387E;63.8
01 -07-2023;1387E;7.9
01 -08-2023;1387E;18.0
01 -09-2023;1387E;83.9
01 -10-2023;1387E;212.3
01 -11-2023;1387E;184.3
01 -12-2023;1387E;147.1
01 -01-2023;1428;270.5
01 -02-2023;1428;20.3
01 -03-2023;1428;195.2
01 -04-2023;1428;103.4
01 -05-2023;1428;56.7
01 -06-2023;1428;129.2
01 -07-2023;1428;35.5
01 -08-2023;1428;32.3
01 -09-2023;1428;168.8
01 -10-2023;1428;352.4
01 -11-2023;1428;332.1
01 -12-2023;1428;231.7
01 -01-2023;8175;1.6
01 -02-2023;8175;6.2
01 -03-2023;8175;6.4
01 -04-2023;8175;0.0
01 -05-2023;8175;85.0
01 -06-2023;8175;25.2
01 -07-2023;8175;0.2
01 -08-2023;8175;0.0
01 -09-2023;8175;59.6
01 -10-2023;8175;21.2
01 -11-2023;8175;4.0
01 -12-2023;8175;1.4
01 -01-2023;8178D;4.2
01 -02-2023;8178D;3.8
01 -03-2023;8178D;4.7
01 -04-2023;8178D;0.0
01 -05-2023;8178D;80.8
01 -06-2023;8178D;34.8
01 -07-2023;8178D;0.3
01 -08-2023;8178D;0.0
01 -09-2023;8178D;65.5
01 -10-2023;8178D;25.9
01 -11-2023;8178D;4.1
01 -12-2023;8178D;2.1
01 -01-2023;8025;0.4
01 -02-2023;8025;3.6
01 -03-2023;8025;7.0
01 -04-2023;8025;2.4
01 -05-2023;8025;96.0
01 -06-2023;8025;9.2
01 -07-2023;8025;0.6
01 -08-2023;8025;0.6
01 -09-2023;8025;99.3
01 -10-2023;8025;2.4
01 -11-2023;8025;0.0
01 -12-2023;8025;2.0
01 -01-2023;8019;0.4
01 -02-2023;8019;8.0
01 -03-2023;8019;4.0
01 -04-2023;8019;2.9
01 -05-2023;8019;125.7
01 -06-2023;8019;39.0
01 -07-2023;8019;0.3
01 -08-2023;8019;0.5
01 -09-2023;8019;63.9
01 -10-2023;8019;2.5
01 -11-2023;8019;0.0
01 -12-2023;8019;2.6
01 -01-2023;6325O;5.5
01 -02-2023;6325O;2.1
01 -03-2023;6325O;1.5
01 -04-2023;6325O;0.3
01 -05-2023;6325O;79.9
01 -06-2023;6325O;2.3
01 -07-2023;6325O;0.0
01 -08-2023;6325O;0.0
01 -09-2023;6325O;28.0
01 -10-2023;6325O;11.1
01 -11-2023;6325O;0.1
01 -12-2023;6325O;3.3
01 -01-2023;9091O;117.1
01 -02-2023;9091O;23.7
01 -03-2023;9091O;13.8
01 -04-2023;9091O;19.0
01 -05-2023;9091O;20.6
01 -06-2023;9091O;100.6
01 -07-2023;9091O;33.7
01 -08-2023;9091O;10.3
01 -09-2023;9091O;46.0
01 -10-2023;9091O;78.0
01 -11-2023;9091O;102.6
01 -12-2023;9091O;54.2
01 -01-2023;1212E;243.5
01 -02-2023;1212E;53.4
01 -03-2023;1212E;33.3
01 -04-2023;1212E;36.5
01 -05-2023;1212E;39.7
01 -06-2023;1212E;69.8
01 -07-2023;1212E;8.8
01 -08-2023;1212E;110.5
01 -09-2023;1212E;73.2
01 -10-2023;1212E;142.1
01 -11-2023;1212E;134.5
01 -12-2023;1212E;92.9
01 -01-2023;1208H;245.7
01 -02-2023;1208H;59.8
01 -03-2023;1208H;18.3
01 -04-2023;1208H;34.1
01 -05-2023;1208H;48.9
01 -06-2023;1208H;85.0
01 -07-2023;1208H;9.3
01 -08-2023;1208H;62.0
01 -09-2023;1208H;52.9
01 -10-2023;1208H;141.8
01 -11-2023;1208H;158.3
01 -12-2023;1208H;92.4
01 -01-2023;1249I;256.2
01 -02-2023;1249I;0
01 -03-2023;1249I;0
01 -04-2023;1249I;0
01 -05-2023;1249I;0
01 -06-2023;1249I;0
01 -07-2023;1249I;0
01 -08-2023;1249I;0
01 -09-2023;1249I;0
01 -10-2023;1249I;0
01 -11-2023;1249I;0
01 -12-2023;1249I;0
01 -01-2023;2444;23.8
01 -02-2023;2444;9.2
01 -03-2023;2444;22.6
01 -04-2023;2444;5.8
01 -05-2023;2444;52.2
01 -06-2023;2444;74.6
01 -07-2023;2444;8.2
01 -08-2023;2444;0.0
01 -09-2023;2444;76.4
01 -10-2023;2444;87.6
01 -11-2023;2444;50.0
01 -12-2023;2444;15.6
01 -01-2023;4452;35.2
01 -02-2023;4452;6.0
01 -03-2023;4452;16.6
01 -04-2023;4452;7.4
01 -05-2023;4452;18.6
01 -06-2023;4452;6.2
01 -07-2023;4452;0.0
01 -08-2023;4452;0.0
01 -09-2023;4452;35.6
01 -10-2023;4452;178.0
01 -11-2023;4452;46.8
01 -12-2023;4452;17.8
01 -01-2023;B954;23.4
01 -02-2023;B954;28.5
01 -03-2023;B954;27.6
01 -04-2023;B954;0.0
01 -05-2023;B954;36.5
01 -06-2023;B954;0.4
01 -07-2023;B954;1.0
01 -08-2023;B954;93.4
01 -09-2023;B954;42.9
01 -10-2023;B954;0.4
01 -11-2023;B954;1.8
01 -12-2023;B954;3.6
01 -01-2023;B893;49.3
01 -02-2023;B893;126.0
01 -03-2023;B893;4.6
01 -04-2023;B893;25.8
01 -05-2023;B893;35.1
01 -06-2023;B893;14.8
01 -07-2023;B893;0.9
01 -08-2023;B893;44.6
01 -09-2023;B893;30.5
01 -10-2023;B893;62.5
01 -11-2023;B893;16.6
01 -12-2023;B893;18.4
01 -01-2023;B278;22.9
01 -02-2023;B278;85.4
01 -03-2023;B278;1.6
01 -04-2023;B278;7.1
01 -05-2023;B278;70.0
01 -06-2023;B278;3.8
01 -07-2023;B278;5.5
01 -08-2023;B278;43.3
01 -09-2023;B278;44.2
01 -10-2023;B278;27.6
01 -11-2023;B278;15.7
01 -12-2023;B278;2.3
01 -01-2023;B228;26.8
01 -02-2023;B228;107.6
01 -03-2023;B228;3.4
01 -04-2023;B228;4.7
01 -05-2023;B228;43.5
01 -06-2023;B228;2.8
01 -07-2023;B228;0.0
01 -08-2023;B228;55.6
01 -09-2023;B228;67.6
01 -10-2023;B228;33.6
01 -11-2023;B228;9.2
01 -12-2023;B228;3.4
01 -01-2023;0200E;8.7
01 -02-2023;0200E;40.7
01 -03-2023;0200E;1.0
01 -04-2023;0200E;36.0
01 -05-2023;0200E;46.5
01 -06-2023;0200E;39.8
01 -07-2023;0200E;6.2
01 -08-2023;0200E;44.6
01 -09-2023;0200E;50.4
01 -10-2023;0200E;29.2
01 -11-2023;0200E;3.7
01 -12-2023;0200E;2.7
01 -01-2023;0076;1.5
01 -02-2023;0076;44.1
01 -03-2023;0076;1.4
01 -04-2023;0076;4.6
01 -05-2023;0076;22.9
01 -06-2023;0076;7.8
01 -07-2023;0076;1.9
01 -08-2023;0076;63.3
01 -09-2023;0076;38.8
01 -10-2023;0076;85.7
01 -11-2023;0076;1.4
01 -12-2023;0076;1.1
01 -01-2023;1082;289.8
01 -02-2023;1082;53.9
01 -03-2023;1082;31.9
01 -04-2023;1082;47.0
01 -05-2023;1082;119.5
01 -06-2023;1082;75.6
01 -07-2023;1082;18.1
01 -08-2023;1082;90.0
01 -09-2023;1082;95.3
01 -10-2023;1082;67.3
01 -11-2023;1082;195.7
01 -12-2023;1082;157.8
01 -01-2023;2331;51.6
01 -02-2023;2331;13.2
01 -03-2023;2331;14.2
01 -04-2023;2331;15.2
01 -05-2023;2331;33.4
01 -06-2023;2331;93.5
01 -07-2023;2331;0.8
01 -08-2023;2331;1.8
01 -09-2023;2331;38.4
01 -10-2023;2331;88.8
01 -11-2023;2331;68.6
01 -12-2023;2331;24.1
01 -01-2023;3469A;46.8
01 -02-2023;3469A;3.6
01 -03-2023;3469A;5.2
01 -04-2023;3469A;6.4
01 -05-2023;3469A;40.6
01 -06-2023;3469A;78.4
01 -07-2023;3469A;0.0
01 -08-2023;3469A;0.0
01 -09-2023;3469A;50.4
01 -10-2023;3469A;173.6
01 -11-2023;3469A;88.6
01 -12-2023;3469A;27.6
01 -01-2023;5973;57.8
01 -02-2023;5973;13.8
01 -03-2023;5973;20.0
01 -04-2023;5973;2.0
01 -05-2023;5973;14.0
01 -06-2023;5973;18.6
01 -07-2023;5973;0.0
01 -08-2023;5973;0.0
01 -09-2023;5973;24.0
01 -10-2023;5973;51.8
01 -11-2023;5973;29.0
01 -12-2023;5973;12.0
01 -01-2023;5960;36.9
01 -02-2023;5960;7.0
01 -03-2023;5960;26.7
01 -04-2023;5960;4.0
01 -05-2023;5960;21.7
01 -06-2023;5960;30.3
01 -07-2023;5960;0.0
01 -08-2023;5960;0.2
01 -09-2023;5960;65.3
01 -10-2023;5960;54.6
01 -11-2023;5960;49.5
01 -12-2023;5960;14.4
01 -01-2023;5910;34.5
01 -02-2023;5910;10.3
01 -03-2023;5910;19.9
01 -04-2023;5910;0.9
01 -05-2023;5910;30.3
01 -06-2023;5910;15.9
01 -07-2023;5910;0.0
01 -08-2023;5910;0.0
01 -09-2023;5910;31.7
01 -10-2023;5910;66.3
01 -11-2023;5910;56.4
01 -12-2023;5910;12.2
01 -01-2023;6001;109.2
01 -02-2023;6001;39.5
01 -03-2023;6001;0
01 -04-2023;6001;0.0
01 -05-2023;6001;12.4
01 -06-2023;6001;13.6
01 -07-2023;6001;0.0
01 -08-2023;6001;0.0
01 -09-2023;6001;14.8
01 -10-2023;6001;113.8
01 -11-2023;6001;16.0
01 -12-2023;6001;9.2
01 -01-2023;1111;299.6
01 -02-2023;1111;91.8
01 -03-2023;1111;34.6
01 -04-2023;1111;29.7
01 -05-2023;1111;54.4
01 -06-2023;1111;44.4
01 -07-2023;1111;33.6
01 -08-2023;1111;63.0
01 -09-2023;1111;140.1
01 -10-2023;1111;131.2
01 -11-2023;1111;206.6
01 -12-2023;1111;110.9
01 -01-2023;1109;301.1
01 -02-2023;1109;91.9
01 -03-2023;1109;33.6
01 -04-2023;1109;39.1
01 -05-2023;1109;83.4
01 -06-2023;1109;89.1
01 -07-2023;1109;41.2
01 -08-2023;1109;70.9
01 -09-2023;1109;125.5
01 -10-2023;1109;105.3
01 -11-2023;1109;187.3
01 -12-2023;1109;99.0
01 -01-2023;8501;0.0
01 -02-2023;8501;30.4
01 -03-2023;8501;0.0
01 -04-2023;8501;9.8
01 -05-2023;8501;229.8
01 -06-2023;8501;12.2
01 -07-2023;8501;10.0
01 -08-2023;8501;15.4
01 -09-2023;8501;100.0
01 -10-2023;8501;16.8
01 -11-2023;8501;3.6
01 -12-2023;8501;4.2
01 -01-2023;8500A;0.0
01 -02-2023;8500A;21.4
01 -03-2023;8500A;0.0
01 -04-2023;8500A;4.6
01 -05-2023;8500A;130.0
01 -06-2023;8500A;15.4
01 -07-2023;8500A;14.6
01 -08-2023;8500A;26.2
01 -09-2023;8500A;85.4
01 -10-2023;8500A;4.2
01 -11-2023;8500A;0.8
01 -12-2023;8500A;4.0
01 -01-2023;5000C;94.8
01 -02-2023;5000C;91.4
01 -03-2023;5000C;36.4
01 -04-2023;5000C;0.0
01 -05-2023;5000C;47.8
01 -06-2023;5000C;57.2
01 -07-2023;5000C;0.0
01 -08-2023;5000C;0.0
01 -09-2023;5000C;9.0
01 -10-2023;5000C;70.4
01 -11-2023;5000C;7.2
01 -12-2023;5000C;57.4
01 -01-2023;4121;19.8
01 -02-2023;4121;0.6
01 -03-2023;4121;3.0
01 -04-2023;4121;1.8
01 -05-2023;4121;45.4
01 -06-2023;4121;43.8
01 -07-2023;4121;1.0
01 -08-2023;4121;0.2
01 -09-2023;4121;85.0
01 -10-2023;4121;65.8
01 -11-2023;4121;39.6
01 -12-2023;4121;6.9
01 -01-2023;5402;19.3
01 -02-2023;5402;39.5
01 -03-2023;5402;31.8
01 -04-2023;5402;2.2
01 -05-2023;5402;51.2
01 -06-2023;5402;30.0
01 -07-2023;5402;0.0
01 -08-2023;5402;0.0
01 -09-2023;5402;33.5
