Fecha;Estacion;DIAS_GRA
01 -01-2021;1387;0
01 -02-2021;1387;23921
01 -03-2021;1387;47129
01 -04-2021;1387;54224
01 -05-2021;1387;69231
01 -06-2021;1387;68358
01 -07-2021;1387;65328
01 -08-2021;1387;66203
01 -09-2021;1387;0
01 -10-2021;1387;34486
01 -11-2021;1387;23775
01 -12-2021;1387;0
01 -01-2021;1428;13742
01 -02-2021;1428;0
01 -03-2021;1428;0
01 -04-2021;1428;42639
01 -05-2021;1428;63575
01 -06-2021;1428;64991
01 -07-2021;1428;61678
01 -08-2021;1428;62057
01 -09-2021;1428;43064
01 -10-2021;1428;0
01 -11-2021;1428;24000
01 -12-2021;1428;14904
01 -01-2021;8178D;25986
01 -02-2021;8178D;33611
01 -03-2021;8178D;50931
01 -04-2021;8178D;56545
01 -05-2021;8178D;80128
01 -06-2021;8178D;0
01 -07-2021;8178D;90465
01 -08-2021;8178D;74499
01 -09-2021;8178D;0
01 -10-2021;8178D;44236
01 -11-2021;8178D;30075
01 -12-2021;8178D;0
01 -01-2021;8019;28600
01 -02-2021;8019;33557
01 -03-2021;8019;50388
01 -04-2021;8019;53676
01 -05-2021;8019;78259
01 -06-2021;8019;78783
01 -07-2021;8019;84974
01 -08-2021;8019;69080
01 -09-2021;8019;0
01 -10-2021;8019;41888
01 -11-2021;8019;0
01 -12-2021;8019;24388
01 -01-2021;6325O;31656
01 -02-2021;6325O;39879
01 -03-2021;6325O;52593
01 -04-2021;6325O;59828
01 -05-2021;6325O;78287
01 -06-2021;6325O;81815
01 -07-2021;6325O;84428
01 -08-2021;6325O;71872
01 -09-2021;6325O;0
01 -10-2021;6325O;0
01 -11-2021;6325O;0
01 -12-2021;6325O;27949
01 -01-2021;B954;26875
01 -02-2021;B954;31729
01 -03-2021;B954;48289
01 -04-2021;B954;0
01 -05-2021;B954;78952
01 -06-2021;B954;0
01 -07-2021;B954;81894
01 -08-2021;B954;69022
01 -09-2021;B954;0
01 -10-2021;B954;0
01 -11-2021;B954;21766
01 -12-2021;B954;0
01 -01-2021;B228;25723
01 -02-2021;B228;32983
01 -03-2021;B228;48969
01 -04-2021;B228;55463
01 -05-2021;B228;76514
01 -06-2021;B228;77284
01 -07-2021;B228;86743
01 -08-2021;B228;70070
01 -09-2021;B228;0
01 -10-2021;B228;38733
01 -11-2021;B228;21155
01 -12-2021;B228;22602
01 -01-2021;1082;12784
01 -02-2021;1082;19574
01 -03-2021;1082;38603
01 -04-2021;1082;47931
01 -05-2021;1082;55863
01 -06-2021;1082;54607
01 -07-2021;1082;57914
01 -08-2021;1082;0
01 -09-2021;1082;41277
01 -10-2021;1082;33267
01 -11-2021;1082;14719
01 -12-2021;1082;15092
01 -01-2021;3469A;24982
01 -02-2021;3469A;29219
01 -03-2021;3469A;56068
01 -04-2021;3469A;55919
