Fecha;Estacion;DIAS_GRA
01 -01-2017;1387;9.6
01 -02-2017;1387;11.4
01 -03-2017;1387;13.4
01 -04-2017;1387;16.6
01 -05-2017;1387;19.9
01 -06-2017;1387;22.3
01 -07-2017;1387;23.3
01 -08-2017;1387;23.2
01 -09-2017;1387;21.0
01 -10-2017;1387;18.4
01 -11-2017;1387;13.0
01 -12-2017;1387;0
01 -01-2017;9091O;4.6
01 -02-2017;9091O;8.4
01 -03-2017;9091O;11.8
01 -04-2017;9091O;15.1
01 -05-2017;9091O;18.6
01 -06-2017;9091O;0
01 -07-2017;9091O;24.1
01 -08-2017;9091O;25.6
01 -09-2017;9091O;20.2
01 -10-2017;9091O;0
01 -11-2017;9091O;9.8
01 -12-2017;9091O;6.4
01 -01-2017;2444;0
01 -02-2017;2444;0
01 -03-2017;2444;8.5
01 -04-2017;2444;0
01 -05-2017;2444;19.0
01 -06-2017;2444;0
01 -07-2017;2444;0
01 -08-2017;2444;0
01 -09-2017;2444;18.9
01 -10-2017;2444;0
01 -11-2017;2444;0
01 -12-2017;2444;0
01 -01-2017;4452;7.9
01 -02-2017;4452;11.6
01 -03-2017;4452;14.2
01 -04-2017;4452;21.2
01 -05-2017;4452;25.1
01 -06-2017;4452;31.3
01 -07-2017;4452;30.7
01 -08-2017;4452;31.8
01 -09-2017;4452;27.9
01 -10-2017;4452;22.8
01 -11-2017;4452;13.2
01 -12-2017;4452;8.5
01 -01-2017;0200E;0
01 -02-2017;0200E;8.3
01 -03-2017;0200E;11.1
01 -04-2017;0200E;15.0
01 -05-2017;0200E;20.3
01 -06-2017;0200E;26.7
01 -07-2017;0200E;28.0
01 -08-2017;0200E;26.9
01 -09-2017;0200E;0
01 -10-2017;0200E;17.0
01 -11-2017;0200E;9.5
01 -12-2017;0200E;6.0
01 -01-2017;2331;1.7
01 -02-2017;2331;5.7
01 -03-2017;2331;8.6
01 -04-2017;2331;15.0
01 -05-2017;2331;18.5
01 -06-2017;2331;25.0
01 -07-2017;2331;27.9
01 -08-2017;2331;27.6
01 -09-2017;2331;20.6
01 -10-2017;2331;16.6
01 -11-2017;2331;7.4
01 -12-2017;2331;3.6
01 -01-2017;3469A;7.9
01 -02-2017;3469A;10.9
01 -03-2017;3469A;13.9
01 -04-2017;3469A;20.3
01 -05-2017;3469A;23.6
01 -06-2017;3469A;31.2
01 -07-2017;3469A;32.4
01 -08-2017;3469A;32.4
01 -09-2017;3469A;27.9
01 -10-2017;3469A;23.2
01 -11-2017;3469A;0
01 -12-2017;3469A;8.2
01 -01-2017;8096;5.1
01 -02-2017;8096;8.3
01 -03-2017;8096;13.0
01 -04-2017;8096;0
01 -05-2017;8096;0
01 -06-2017;8096;29.4
01 -07-2017;8096;0
01 -08-2017;8096;30.2
01 -09-2017;8096;0
01 -10-2017;8096;19.7
01 -11-2017;8096;11.2
01 -12-2017;8096;5.4
01 -01-2017;1024E;0
01 -02-2017;1024E;8.9
01 -03-2017;1024E;11.1
01 -04-2017;1024E;14.0
01 -05-2017;1024E;0
01 -06-2017;1024E;21.3
01 -07-2017;1024E;22.0
01 -08-2017;1024E;0
01 -09-2017;1024E;0
01 -10-2017;1024E;16.0
01 -11-2017;1024E;0
01 -12-2017;1024E;0
01 -01-2017;1484C;8.1
01 -02-2017;1484C;10.4
01 -03-2017;1484C;12.0
01 -04-2017;1484C;14.6
01 -05-2017;1484C;17.6
01 -06-2017;1484C;20.5
01 -07-2017;1484C;21.4
01 -08-2017;1484C;21.3
01 -09-2017;1484C;19.0
01 -10-2017;1484C;16.9
01 -11-2017;1484C;11.9
01 -12-2017;1484C;8.8
01 -01-2017;2867;4.4
01 -02-2017;2867;8.7
01 -03-2017;2867;12.3
01 -04-2017;2867;19.6
01 -05-2017;2867;22.6
01 -06-2017;2867;30.0
01 -07-2017;2867;29.9
01 -08-2017;2867;30.0
01 -09-2017;2867;24.4
01 -10-2017;2867;19.2
01 -11-2017;2867;9.6
01 -12-2017;2867;5.5
01 -01-2017;2422;3.7
01 -02-2017;2422;10.1
01 -03-2017;2422;15.0
01 -04-2017;2422;22.4
01 -05-2017;2422;24.6
01 -06-2017;2422;31.4
01 -07-2017;2422;30.5
01 -08-2017;2422;30.1
01 -09-2017;2422;24.1
01 -10-2017;2422;19.1
01 -11-2017;2422;9.1
01 -12-2017;2422;4.3
01 -01-2017;2539;2.4
01 -02-2017;2539;6.6
01 -03-2017;2539;9.6
01 -04-2017;2539;16.6
01 -05-2017;2539;20.5
01 -06-2017;2539;29.0
01 -07-2017;2539;28.7
01 -08-2017;2539;27.0
01 -09-2017;2539;20.5
01 -10-2017;2539;16.0
01 -11-2017;2539;6.6
01 -12-2017;2539;3.8
