Fecha;Estacion;DIAS_GRA
01-01-2019;1387;14.4(04)
01-02-2019;1387;24.2(26)
01-03-2019;1387;20.3(24)
01-04-2019;1387;22.5(14)
01-05-2019;1387;33.5(31)
01-06-2019;1387;26.5(01)
01-07-2019;1387;26.2(13)
01-08-2019;1387;30.3(23)
01-09-2019;1387;26.3(03)
01-10-2019;1387;23.2(27)
01-11-2019;1387;20.9(01)
01-12-2019;1387;19.5(24)
01-01-2019;1387E;14.2(01)
01-02-2019;1387E;0
01-03-2019;1387E;21.6(24)
01-04-2019;1387E;22.3(14)
01-05-2019;1387E;33.6(31)
01-06-2019;1387E;26.0(01)
01-07-2019;1387E;28.7(22)
01-08-2019;1387E;32.3(23)
01-09-2019;1387E;28.9(03)
01-10-2019;1387E;23.2(07)
01-11-2019;1387E;21.9(01)
01-12-2019;1387E;19.2(29)
01-01-2019;1428;15.5(01)
01-02-2019;1428;22.2(26)
01-03-2019;1428;23.0(24)
01-04-2019;1428;24.1(20)
01-05-2019;1428;32.6(31)
01-06-2019;1428;29.9(01)
01-07-2019;1428;32.1(22)
01-08-2019;1428;31.9(22)
01-09-2019;1428;31.1(03)
01-10-2019;1428;23.6(07)
01-11-2019;1428;16.9(01)
01-12-2019;1428;20.1(29)
01-01-2019;8175;15.9(01)
01-02-2019;8175;21.5(28)
01-03-2019;8175;24.7(16)
01-04-2019;8175;25.8(15)
01-05-2019;8175;31.0(15)
01-06-2019;8175;38.2(29)
01-07-2019;8175;38.7(12)
01-08-2019;8175;38.2(06)
01-09-2019;8175;34.3(01)
01-10-2019;8175;32.9(01)
01-11-2019;8175;21.7(01)
01-12-2019;8175;17.8(24)
01-01-2019;8178D;16.9(01)
01-02-2019;8178D;22.9(27)
01-03-2019;8178D;26.1(16)
01-04-2019;8178D;26.0(30)
01-05-2019;8178D;31.6(15)
01-06-2019;8178D;38.8(29)
01-07-2019;8178D;38.9(12)
01-08-2019;8178D;38.5(18)
01-09-2019;8178D;34.7(01)
01-10-2019;8178D;31.4(09)
01-11-2019;8178D;22.3(01)
01-12-2019;8178D;19.2(24)
01-01-2019;8025;21.9(25)
01-02-2019;8025;23.0(28)
01-03-2019;8025;29.2(17)
01-04-2019;8025;29.9(14)
01-05-2019;8025;31.3(10)
01-06-2019;8025;34.9(29)
01-07-2019;8025;36.6(27)
01-08-2019;8025;36.5(09)
01-09-2019;8025;32.8(25)
01-10-2019;8025;31.5(01)
01-11-2019;8025;28.7(01)
01-12-2019;8025;25.0(24)
01-01-2019;8019;22.4(31)
01-02-2019;8019;24.0(28)
01-03-2019;8019;0
01-04-2019;8019;0
01-05-2019;8019;30.5(10)
01-06-2019;8019;0
01-07-2019;8019;36.5(27)
01-08-2019;8019;0
01-09-2019;8019;32.1(01)
01-10-2019;8019;29.8(01)
01-11-2019;8019;27.5(01)
01-12-2019;8019;22.4(22)
01-01-2019;6325O;23.9(24)
01-02-2019;6325O;20.9(24)
01-03-2019;6325O;24.8(25)
01-04-2019;6325O;26.8(28)
01-05-2019;6325O;29.3(31)
01-06-2019;6325O;38.8(29)
01-07-2019;6325O;41.6(06)
01-08-2019;6325O;34.5(23)
01-09-2019;6325O;34.6(03)
01-10-2019;6325O;31.1(02)
01-11-2019;6325O;26.6(01)
01-12-2019;6325O;24.7(24)
01-01-2019;9091O;13.4(26)
01-02-2019;9091O;22.6(27)
01-03-2019;9091O;23.6(16)
01-04-2019;9091O;22.3(15)
01-05-2019;9091O;29.1(31)
01-06-2019;9091O;39.7(29)
01-07-2019;9091O;38.9(25)
01-08-2019;9091O;34.7(24)
01-09-2019;9091O;29.4(29)
01-10-2019;9091O;27.6(13)
