Fecha;Estacion;DIAS_GRA
01 -01-2023;1387;13.7
01 -02-2023;1387;15.0
01 -03-2023;1387;16.9
01 -04-2023;1387;18.8
01 -05-2023;1387;20.3
01 -06-2023;1387;23.2
01 -07-2023;1387;23.6
01 -08-2023;1387;24.7
01 -09-2023;1387;24.4
01 -10-2023;1387;22.0
01 -11-2023;1387;17.2
01 -12-2023;1387;14.8
01 -01-2023;1387E;13.0
01 -02-2023;1387E;14.8
01 -03-2023;1387E;16.8
01 -04-2023;1387E;19.2
01 -05-2023;1387E;21.2
01 -06-2023;1387E;24.3
01 -07-2023;1387E;24.1
01 -08-2023;1387E;0
01 -09-2023;1387E;25.0
01 -10-2023;1387E;22.2
01 -11-2023;1387E;16.9
01 -12-2023;1387E;14.5
01 -01-2023;1428;11.0
01 -02-2023;1428;14.5
01 -03-2023;1428;14.9
01 -04-2023;1428;19.3
01 -05-2023;1428;21.3
01 -06-2023;1428;24.1
01 -07-2023;1428;0
01 -08-2023;1428;25.6
01 -09-2023;1428;23.2
01 -10-2023;1428;20.4
01 -11-2023;1428;14.7
01 -12-2023;1428;12.3
01 -01-2023;8175;11.6
01 -02-2023;8175;12.7
01 -03-2023;8175;20.1
01 -04-2023;8175;25.2
01 -05-2023;8175;24.4
01 -06-2023;8175;29.3
01 -07-2023;8175;37.0
01 -08-2023;8175;36.1
01 -09-2023;8175;28.7
01 -10-2023;8175;24.4
01 -11-2023;8175;17.8
01 -12-2023;8175;13.6
01 -01-2023;8178D;12.0
01 -02-2023;8178D;13.0
01 -03-2023;8178D;20.3
01 -04-2023;8178D;25.0
01 -05-2023;8178D;23.9
01 -06-2023;8178D;29.0
01 -07-2023;8178D;36.5
01 -08-2023;8178D;35.6
01 -09-2023;8178D;28.3
01 -10-2023;8178D;24.1
01 -11-2023;8178D;18.0
01 -12-2023;8178D;14.0
01 -01-2023;8025;17.3
01 -02-2023;8025;16.2
01 -03-2023;8025;22.6
01 -04-2023;8025;23.7
01 -05-2023;8025;0
01 -06-2023;8025;28.9
01 -07-2023;8025;32.4
01 -08-2023;8025;32.4
01 -09-2023;8025;28.8
01 -10-2023;8025;26.9
01 -11-2023;8025;23.3
01 -12-2023;8025;19.2
01 -01-2023;8019;17.4
01 -02-2023;8019;15.9
01 -03-2023;8019;22.5
01 -04-2023;8019;23.9
01 -05-2023;8019;24.1
01 -06-2023;8019;29.4
01 -07-2023;8019;33.0
01 -08-2023;8019;31.7
01 -09-2023;8019;28.4
01 -10-2023;8019;26.6
01 -11-2023;8019;23.1
01 -12-2023;8019;0
01 -01-2023;6325O;17.6
01 -02-2023;6325O;17.6
01 -03-2023;6325O;21.0
01 -04-2023;6325O;23.7
01 -05-2023;6325O;24.4
01 -06-2023;6325O;29.2
01 -07-2023;6325O;32.3
01 -08-2023;6325O;32.8
01 -09-2023;6325O;30.2
01 -10-2023;6325O;26.2
01 -11-2023;6325O;20.4
01 -12-2023;6325O;18.4
01 -01-2023;9091O;9.0
01 -02-2023;9091O;10.9
01 -03-2023;9091O;16.9
01 -04-2023;9091O;19.4
01 -05-2023;9091O;20.2
01 -06-2023;9091O;25.3
01 -07-2023;9091O;26.9
01 -08-2023;9091O;29.0
01 -09-2023;9091O;26.8
01 -10-2023;9091O;23.4
01 -11-2023;9091O;15.3
01 -12-2023;9091O;10.9
01 -01-2023;1212E;12.9
01 -02-2023;1212E;12.5
01 -03-2023;1212E;17.0
01 -04-2023;1212E;16.9
01 -05-2023;1212E;18.4
01 -06-2023;1212E;22.2
01 -07-2023;1212E;22.5
01 -08-2023;1212E;23.3
01 -09-2023;1212E;23.8
01 -10-2023;1212E;21.9
01 -11-2023;1212E;17.0
01 -12-2023;1212E;14.3
01 -01-2023;1208H;14.3
01 -02-2023;1208H;13.5
01 -03-2023;1208H;17.6
01 -04-2023;1208H;17.5
01 -05-2023;1208H;19.0
01 -06-2023;1208H;22.9
01 -07-2023;1208H;23.9
01 -08-2023;1208H;24.2
01 -09-2023;1208H;24.6
01 -10-2023;1208H;22.5
01 -11-2023;1208H;18.0
01 -12-2023;1208H;15.7
01 -01-2023;2444;7.9
01 -02-2023;2444;9.1
01 -03-2023;2444;15.2
01 -04-2023;2444;19.7
01 -05-2023;2444;19.5
01 -06-2023;2444;24.8
01 -07-2023;2444;30.7
01 -08-2023;2444;30.9
01 -09-2023;2444;23.6
01 -10-2023;2444;20.6
01 -11-2023;2444;14.3
01 -12-2023;2444;10.6
01 -01-2023;4452;14.0
01 -02-2023;4452;16.8
01 -03-2023;4452;21.7
01 -04-2023;4452;27.9
01 -05-2023;4452;27.5
01 -06-2023;4452;33.1
01 -07-2023;4452;35.9
01 -08-2023;4452;37.4
01 -09-2023;4452;29.7
01 -10-2023;4452;26.9
01 -11-2023;4452;18.9
01 -12-2023;4452;13.9
01 -01-2023;B954;15.6
01 -02-2023;B954;0
01 -03-2023;B954;18.8
01 -04-2023;B954;20.9
01 -05-2023;B954;23.5
01 -06-2023;B954;28.2
01 -07-2023;B954;31.7
01 -08-2023;B954;30.8
01 -09-2023;B954;27.8
01 -10-2023;B954;25.9
01 -11-2023;B954;21.1
01 -12-2023;B954;18.0
01 -01-2023;B893;13.9
01 -02-2023;B893;13.6
01 -03-2023;B893;16.8
01 -04-2023;B893;18.7
01 -05-2023;B893;21.4
01 -06-2023;B893;27.1
01 -07-2023;B893;30.4
01 -08-2023;B893;29.4
01 -09-2023;B893;26.8
01 -10-2023;B893;24.6
01 -11-2023;B893;18.7
01 -12-2023;B893;16.1
01 -01-2023;B278;15.5
