Fecha;Estacion;DIAS_GRA
01-01-2020;1387;8.9
01-02-2020;1387;10.5
01-03-2020;1387;9.8
01-04-2020;1387;11.6
01-05-2020;1387;14.2
01-06-2020;1387;14.9
01-07-2020;1387;16.3
01-08-2020;1387;17.2
01-09-2020;1387;15.9
01-10-2020;1387;13.2
01-11-2020;1387;11.7
01-12-2020;1387;9.5
01-01-2020;1387E;6.2
01-02-2020;1387E;8.1
01-03-2020;1387E;7.4
01-04-2020;1387E;9.6
01-05-2020;1387E;11.9
01-06-2020;1387E;12.9
01-07-2020;1387E;14.9
01-08-2020;1387E;15.3
01-09-2020;1387E;13.1
01-10-2020;1387E;10.8
01-11-2020;1387E;8.7
01-12-2020;1387E;6.6
01-01-2020;1428;4.8
01-02-2020;1428;6.3
01-03-2020;1428;5.7
01-04-2020;1428;8.2
01-05-2020;1428;10.8
01-06-2020;1428;11.3
01-07-2020;1428;14.1
01-08-2020;1428;14.5
01-09-2020;1428;13.1
01-10-2020;1428;10.0
01-11-2020;1428;8.6
01-12-2020;1428;5.6
01-01-2020;8175;-0.2
01-02-2020;8175;2.7
01-03-2020;8175;4.2
01-04-2020;8175;7.7
01-05-2020;8175;10.5
01-06-2020;8175;13.9
01-07-2020;8175;17.9
01-08-2020;8175;17.3
01-09-2020;8175;12.8
01-10-2020;8175;6.3
01-11-2020;8175;5.1
01-12-2020;8175;1.0
01-01-2020;8178D;1.5
01-02-2020;8178D;5.1
01-03-2020;8178D;5.5
01-04-2020;8178D;8.8
01-05-2020;8178D;12.1
01-06-2020;8178D;15.4
01-07-2020;8178D;19.0
01-08-2020;8178D;19.0
01-09-2020;8178D;14.2
01-10-2020;8178D;8.0
01-11-2020;8178D;6.4
01-12-2020;8178D;2.4
01-01-2020;8025;6.2
01-02-2020;8025;9.0
01-03-2020;8025;10.7
01-04-2020;8025;12.1
01-05-2020;8025;15.9
01-06-2020;8025;18.7
01-07-2020;8025;21.8
01-08-2020;8025;22.2
01-09-2020;8025;18.9
01-10-2020;8025;13.4
01-11-2020;8025;11.6
01-12-2020;8025;7.9
01-01-2020;8019;6.2
01-02-2020;8019;8.5
01-03-2020;8019;9.8
01-04-2020;8019;11.5
01-05-2020;8019;15.2
01-06-2020;8019;18.0
01-07-2020;8019;21.3
01-08-2020;8019;21.9
01-09-2020;8019;18.9
01-10-2020;8019;13.2
01-11-2020;8019;12.0
01-12-2020;8019;7.3
01-01-2020;6325O;8.2
01-02-2020;6325O;9.7
01-03-2020;6325O;11.9
01-04-2020;6325O;0
01-05-2020;6325O;17.0
01-06-2020;6325O;18.3
01-07-2020;6325O;23.7
01-08-2020;6325O;23.0
01-09-2020;6325O;20.5
01-10-2020;6325O;14.6
01-11-2020;6325O;13.3
01-12-2020;6325O;9.8
01-01-2020;9091O;1.0
01-02-2020;9091O;2.6
01-03-2020;9091O;2.3
01-04-2020;9091O;7.6
01-05-2020;9091O;8.4
01-06-2020;9091O;10.6
01-07-2020;9091O;12.0
01-08-2020;9091O;12.5
01-09-2020;9091O;9.8
01-10-2020;9091O;6.7
01-11-2020;9091O;4.6
01-12-2020;9091O;3.1
01-01-2020;1212E;6.2
01-02-2020;1212E;7.9
01-03-2020;1212E;7.1
01-04-2020;1212E;10.2
01-05-2020;1212E;11.8
01-06-2020;1212E;13.1
01-07-2020;1212E;15.7
01-08-2020;1212E;15.9
01-09-2020;1212E;14.2
01-10-2020;1212E;11.1
01-11-2020;1212E;0
01-12-2020;1212E;0
01-01-2020;1208H;8.1
01-02-2020;1208H;9.5
01-03-2020;1208H;9.2
01-04-2020;1208H;12.2
01-05-2020;1208H;13.8
01-06-2020;1208H;15.1
01-07-2020;1208H;18.0
01-08-2020;1208H;18.2
01-09-2020;1208H;16.3
01-10-2020;1208H;12.8
01-11-2020;1208H;11.4
01-12-2020;1208H;8.4
01-01-2020;1249I;5.4
01-02-2020;1249I;7.4
01-03-2020;1249I;6.2
01-04-2020;1249I;9.8
01-05-2020;1249I;12.1
01-06-2020;1249I;12.5
01-07-2020;1249I;15.4
01-08-2020;1249I;15.4
01-09-2020;1249I;13.6
01-10-2020;1249I;9.7
01-11-2020;1249I;8.8
01-12-2020;1249I;5.6
01-01-2020;2444;0.3
01-02-2020;2444;2.2
01-03-2020;2444;2.8
01-04-2020;2444;6.3
01-05-2020;2444;9.5
01-06-2020;2444;11.0
01-07-2020;2444;16.0
01-08-2020;2444;13.6
01-09-2020;2444;10.7
01-10-2020;2444;5.2
01-11-2020;2444;4.8
01-12-2020;2444;1.0
01-01-2020;4452;4.0
01-02-2020;4452;5.9
01-03-2020;4452;7.5
01-04-2020;4452;10.5
01-05-2020;4452;14.4
01-06-2020;4452;14.5
01-07-2020;4452;19.8
01-08-2020;4452;17.4
01-09-2020;4452;16.1
01-10-2020;4452;10.3
01-11-2020;4452;9.7
01-12-2020;4452;6.1
01-01-2020;B954;6.4
01-02-2020;B954;7.7
01-03-2020;B954;9.5
01-04-2020;B954;12.0
01-05-2020;B954;0
01-06-2020;B954;18.1
01-07-2020;B954;21.5
01-08-2020;B954;21.8
01-09-2020;B954;18.7
01-10-2020;B954;14.6
01-11-2020;B954;12.6
01-12-2020;B954;8.8
01-01-2020;B893;7.5
01-02-2020;B893;8.2
01-03-2020;B893;9.2
01-04-2020;B893;11.6
01-05-2020;B893;15.0
01-06-2020;B893;17.1
01-07-2020;B893;20.4
01-08-2020;B893;21.1
01-09-2020;B893;18.2
01-10-2020;B893;13.1
01-11-2020;B893;12.4
01-12-2020;B893;8.5
01-01-2020;B278;5.2
01-02-2020;B278;6.2
01-03-2020;B278;8.0
01-04-2020;B278;10.9
01-05-2020;B278;13.7
01-06-2020;B278;16.8
01-07-2020;B278;19.7
01-08-2020;B278;20.1
01-09-2020;B278;16.9
01-10-2020;B278;11.2
01-11-2020;B278;10.1
01-12-2020;B278;6.1
01-01-2020;B228;9.2
01-02-2020;B228;10.0
01-03-2020;B228;11.2
01-04-2020;B228;13.6
01-05-2020;B228;17.1
01-06-2020;B228;19.7
01-07-2020;B228;23.4
01-08-2020;B228;23.6
01-09-2020;B228;20.2
01-10-2020;B228;15.2
01-11-2020;B228;14.0
01-12-2020;B228;10.2
01-01-2020;0200E;6.8
01-02-2020;0200E;9.0
01-03-2020;0200E;7.8
01-04-2020;0200E;10.8
01-05-2020;0200E;15.2
01-06-2020;0200E;16.2
01-07-2020;0200E;20.5
01-08-2020;0200E;21.1
01-09-2020;0200E;17.4
01-10-2020;0200E;12.0
01-11-2020;0200E;11.4
