Fecha;Estacion;DIAS_GRA
01-01-2019;1387;3.3(04)
01-02-2019;1387;4.2(03)
01-03-2019;1387;5.8(16)
01-04-2019;1387;5.8(05)
01-05-2019;1387;9.0(20)
01-06-2019;1387;10.3(06)
01-07-2019;1387;14.0(31)
01-08-2019;1387;13.8(13)
01-09-2019;1387;12.9(28)
01-10-2019;1387;8.3(22)
01-11-2019;1387;8.0(14)
01-12-2019;1387;4.5(04)
01-01-2019;1387E;-3.3(06)
01-02-2019;1387E;0
01-03-2019;1387E;0.7(16)
01-04-2019;1387E;2.5(12)
01-05-2019;1387E;4.4(04)
01-06-2019;1387E;6.3(14)
01-07-2019;1387E;9.9(31)
01-08-2019;1387E;9.1(13)
01-09-2019;1387E;8.6(28)
01-10-2019;1387E;2.9(22)
01-11-2019;1387E;4.4(18)
01-12-2019;1387E;-0.3(27)
01-01-2019;1428;-3.1(05)
01-02-2019;1428;-2.1(03)
01-03-2019;1428;0.8(13)
01-04-2019;1428;0.2(04)
01-05-2019;1428;3.9(19)
01-06-2019;1428;4.5(14)
01-07-2019;1428;9.4(28)
01-08-2019;1428;8.9(12)
01-09-2019;1428;7.1(28)
01-10-2019;1428;3.3(22)
01-11-2019;1428;1.6(16)
01-12-2019;1428;0.0(04)
01-01-2019;8175;-8.6(11)
01-02-2019;8175;-3.2(05)
01-03-2019;8175;-3.0(22)
01-04-2019;8175;-0.2(11)
01-05-2019;8175;3.6(04)
01-06-2019;8175;6.6(12)
01-07-2019;8175;14.6(04)
01-08-2019;8175;12.8(27)
01-09-2019;8175;10.0(23)
01-10-2019;8175;2.6(21)
01-11-2019;8175;-1.9(19)
01-12-2019;8175;-2.5(31)
01-01-2019;8178D;-5.6(11)
01-02-2019;8178D;-1.5(17)
01-03-2019;8178D;-0.6(28)
01-04-2019;8178D;2.5(04)
01-05-2019;8178D;4.3(04)
01-06-2019;8178D;8.1(12)
01-07-2019;8178D;16.5(28)
01-08-2019;8178D;13.6(27)
01-09-2019;8178D;11.9(23)
01-10-2019;8178D;5.3(21)
01-11-2019;8178D;0.6(20)
01-12-2019;8178D;-1.0(31)
01-01-2019;8025;0.0(12)
01-02-2019;8025;3.2(04)
01-03-2019;8025;5.4(28)
01-04-2019;8025;8.1(13)
01-05-2019;8025;10.4(04)
01-06-2019;8025;12.9(01)
