FECHA;INDICATIVO;DIAS_LLU
01-01-2020;1387;19
01-02-2020;1387;16
01-03-2020;1387;18
01-04-2020;1387;22
01-05-2020;1387;8
01-06-2020;1387;21
01-07-2020;1387;10
01-08-2020;1387;17
01-09-2020;1387;10
01-10-2020;1387;20
01-11-2020;1387;16
01-12-2020;1387;23
01-01-2020;1387E;18
01-02-2020;1387E;14
01-03-2020;1387E;14
01-04-2020;1387E;21
01-05-2020;1387E;8
01-06-2020;1387E;0
01-07-2020;1387E;5
01-08-2020;1387E;14
01-09-2020;1387E;0
01-10-2020;1387E;18
01-11-2020;1387E;17
01-12-2020;1387E;21
01-01-2020;1428;17
01-02-2020;1428;16
01-03-2020;1428;14
01-04-2020;1428;25
01-05-2020;1428;12
01-06-2020;1428;14
01-07-2020;1428;6
01-08-2020;1428;13
01-09-2020;1428;13
01-10-2020;1428;22
01-11-2020;1428;15
01-12-2020;1428;26
01-01-2020;8175;4
01-02-2020;8175;0
01-03-2020;8175;10
01-04-2020;8175;14
01-05-2020;8175;11
01-06-2020;8175;3
01-07-2020;8175;4
01-08-2020;8175;3
01-09-2020;8175;4
01-10-2020;8175;5
01-11-2020;8175;8
01-12-2020;8175;6
01-01-2020;8178D;4
01-02-2020;8178D;1
01-03-2020;8178D;13
01-04-2020;8178D;13
01-05-2020;8178D;12
01-06-2020;8178D;2
01-07-2020;8178D;6
01-08-2020;8178D;4
01-09-2020;8178D;5
01-10-2020;8178D;5
01-11-2020;8178D;9
01-12-2020;8178D;7
01-01-2020;8025;7
01-02-2020;8025;3
01-03-2020;8025;14
01-04-2020;8025;12
01-05-2020;8025;7
01-06-2020;8025;5
01-07-2020;8025;4
01-08-2020;8025;5
01-09-2020;8025;4
01-10-2020;8025;5
01-11-2020;8025;8
01-12-2020;8025;4
01-01-2020;8019;5
01-02-2020;8019;5
01-03-2020;8019;14
01-04-2020;8019;12
01-05-2020;8019;8
01-06-2020;8019;8
01-07-2020;8019;1
01-08-2020;8019;3
01-09-2020;8019;5
01-10-2020;8019;2
01-11-2020;8019;6
01-12-2020;8019;5
01-01-2020;6325O;5
01-02-2020;6325O;1
01-03-2020;6325O;0
01-04-2020;6325O;0
01-05-2020;6325O;0
01-06-2020;6325O;3
01-07-2020;6325O;2
01-08-2020;6325O;1
01-09-2020;6325O;2
01-10-2020;6325O;2
01-11-2020;6325O;6
01-12-2020;6325O;0
01-01-2020;9091O;12
01-02-2020;9091O;9
01-03-2020;9091O;12
01-04-2020;9091O;17
01-05-2020;9091O;10
01-06-2020;9091O;13
01-07-2020;9091O;5
01-08-2020;9091O;13
01-09-2020;9091O;13
01-10-2020;9091O;20
01-11-2020;9091O;9
