Fecha;Estacion;DIAS_GRA
01-01-2018;1387E;16
01-02-2018;1387E;13
01-03-2018;1387E;20
01-04-2018;1387E;24
01-05-2018;1387E;17
01-06-2018;1387E;9
01-07-2018;1387E;15
01-08-2018;1387E;12
01-09-2018;1387E;16
01-10-2018;1387E;16
01-11-2018;1387E;19
01-12-2018;1387E;20
01-01-2018;1428;15
01-02-2018;1428;15
01-03-2018;1428;12
01-04-2018;1428;18
01-05-2018;1428;11
01-06-2018;1428;9
01-07-2018;1428;17
01-08-2018;1428;15
01-09-2018;1428;20
01-10-2018;1428;14
01-11-2018;1428;15
01-12-2018;1428;12
01-01-2018;8175;23
01-02-2018;8175;14
01-03-2018;8175;25
01-04-2018;8175;22
01-05-2018;8175;29
01-06-2018;8175;14
01-07-2018;8175;6
01-08-2018;8175;21
01-09-2018;8175;25
01-10-2018;8175;23
01-11-2018;8175;23
01-12-2018;8175;22
01-01-2018;8019;19
01-02-2018;8019;17
01-03-2018;8019;24
01-04-2018;8019;20
01-05-2018;8019;22
01-06-2018;8019;13
01-07-2018;8019;9
01-08-2018;8019;22
01-09-2018;8019;25
01-10-2018;8019;17
01-11-2018;8019;20
01-12-2018;8019;17
01-01-2018;6325O;15
01-02-2018;6325O;20
01-03-2018;6325O;22
01-04-2018;6325O;16
01-05-2018;6325O;21
01-06-2018;6325O;16
01-07-2018;6325O;8
01-08-2018;6325O;12
01-09-2018;6325O;20
01-10-2018;6325O;21
01-11-2018;6325O;23
01-12-2018;6325O;20
01-01-2018;9091O;17
01-02-2018;9091O;0
01-03-2018;9091O;15
01-04-2018;9091O;12
01-05-2018;9091O;19
01-06-2018;9091O;16
01-07-2018;9091O;23
01-08-2018;9091O;21
01-09-2018;9091O;24
01-10-2018;9091O;16
01-11-2018;9091O;21
01-12-2018;9091O;18
01-01-2018;1212E;16
01-02-2018;1212E;10
01-03-2018;1212E;17
01-04-2018;1212E;15
01-05-2018;1212E;12
01-06-2018;1212E;10
01-07-2018;1212E;13
01-08-2018;1212E;22
01-09-2018;1212E;18
01-10-2018;1212E;20
01-11-2018;1212E;17
01-12-2018;1212E;20
01-01-2018;1208H;17
01-02-2018;1208H;9
01-03-2018;1208H;20
01-04-2018;1208H;11
01-05-2018;1208H;16
01-06-2018;1208H;12
01-07-2018;1208H;13
01-08-2018;1208H;19
01-09-2018;1208H;16
01-10-2018;1208H;14
01-11-2018;1208H;16
01-12-2018;1208H;17
01-01-2018;1249I;19
01-02-2018;1249I;6
01-03-2018;1249I;15
01-04-2018;1249I;13
01-05-2018;1249I;14
01-06-2018;1249I;10
01-07-2018;1249I;9
01-08-2018;1249I;15
01-09-2018;1249I;15
01-10-2018;1249I;17
01-11-2018;1249I;15
01-12-2018;1249I;18
01-01-2018;4452;15
01-02-2018;4452;14
01-03-2018;4452;21
01-04-2018;4452;23
01-05-2018;4452;22
01-06-2018;4452;19
01-07-2018;4452;12
01-08-2018;4452;11
01-09-2018;4452;17
01-10-2018;4452;17
01-11-2018;4452;21
01-12-2018;4452;22
01-01-2018;B954;17
01-02-2018;B954;15
01-03-2018;B954;24
01-04-2018;B954;20
01-05-2018;B954;24
01-06-2018;B954;17
01-07-2018;B954;18
01-08-2018;B954;19
01-09-2018;B954;24
01-10-2018;B954;25
01-11-2018;B954;23
01-12-2018;B954;24
01-01-2018;B893;19
01-02-2018;B893;13
01-03-2018;B893;21
01-04-2018;B893;19
01-05-2018;B893;22
01-06-2018;B893;22
01-07-2018;B893;17
01-08-2018;B893;27
01-09-2018;B893;25
01-10-2018;B893;22
01-11-2018;B893;22
01-12-2018;B893;26
01-01-2018;B228;18
01-02-2018;B228;16
01-03-2018;B228;0
01-04-2018;B228;0
01-05-2018;B228;0
01-06-2018;B228;0
01-07-2018;B228;0
01-08-2018;B228;0
01-09-2018;B228;0
01-10-2018;B228;0
01-11-2018;B228;0
01-12-2018;B228;0
01-01-2018;B278;26
01-02-2018;B278;16
01-03-2018;B278;22
01-04-2018;B278;15
01-05-2018;B278;21
01-06-2018;B278;22
01-07-2018;B278;18
01-08-2018;B278;26
01-09-2018;B278;25
01-10-2018;B278;21
01-11-2018;B278;22
01-12-2018;B278;0
01-01-2018;0200E;19
01-02-2018;0200E;15
01-03-2018;0200E;24
01-04-2018;0200E;17
01-05-2018;0200E;23
01-06-2018;0200E;22
01-07-2018;0200E;18
01-08-2018;0200E;26
01-09-2018;0200E;19
01-10-2018;0200E;13
01-11-2018;0200E;20
01-12-2018;0200E;25
01-01-2018;0076;18
01-02-2018;0076;16
01-03-2018;0076;26
01-04-2018;0076;18
01-05-2018;0076;21
01-06-2018;0076;23
01-07-2018;0076;22
01-08-2018;0076;25
01-09-2018;0076;22
01-10-2018;0076;15
01-11-2018;0076;22
01-12-2018;0076;26
01-01-2018;1082;13
01-02-2018;1082;9
01-03-2018;1082;16
01-04-2018;1082;11
01-05-2018;1082;13
01-06-2018;1082;12
01-07-2018;1082;16
01-08-2018;1082;15
01-09-2018;1082;20
01-10-2018;1082;14
01-11-2018;1082;20
01-12-2018;1082;17
01-01-2018;2331;9
01-02-2018;2331;11
01-03-2018;2331;14
01-04-2018;2331;14
01-05-2018;2331;22
01-06-2018;2331;19
01-07-2018;2331;24
01-08-2018;2331;17
01-09-2018;2331;21
01-10-2018;2331;16
01-11-2018;2331;16
01-12-2018;2331;15
01-01-2018;5960;19
01-02-2018;5960;19
01-03-2018;5960;13
01-04-2018;5960;21
01-05-2018;5960;19
01-06-2018;5960;21
01-07-2018;5960;12
01-08-2018;5960;6
01-09-2018;5960;17
01-10-2018;5960;22
01-11-2018;5960;23
01-12-2018;5960;18
01-01-2018;5910;20
01-02-2018;5910;17
01-03-2018;5910;15
01-04-2018;5910;20
01-05-2018;5910;20
01-06-2018;5910;20
01-07-2018;5910;12
01-08-2018;5910;11
01-09-2018;5910;20
01-10-2018;5910;15
01-11-2018;5910;21
01-12-2018;5910;15
01-01-2018;1111;12
01-02-2018;1111;9
01-03-2018;1111;22
01-04-2018;1111;13
01-05-2018;1111;17
01-06-2018;1111;17
01-07-2018;1111;20
01-08-2018;1111;21
01-09-2018;1111;20
01-10-2018;1111;16
01-11-2018;1111;21
01-12-2018;1111;21
01-01-2018;1109;13
01-02-2018;1109;9
01-03-2018;1109;21
01-04-2018;1109;13
01-05-2018;1109;13
01-06-2018;1109;13
01-07-2018;1109;16
01-08-2018;1109;18
01-09-2018;1109;16
01-10-2018;1109;13
01-11-2018;1109;16
01-12-2018;1109;15
01-01-2018;5402;0
01-02-2018;5402;0
01-03-2018;5402;0
01-04-2018;5402;20
01-05-2018;5402;21
01-06-2018;5402;16
