FECHA;INDICATIVO;DIAS_NUB
01-01-2020;1387E;18
01-02-2020;1387E;20
01-03-2020;1387E;18
01-04-2020;1387E;0
01-05-2020;1387E;0
01-06-2020;1387E;0
01-07-2020;1387E;21
01-08-2020;1387E;16
01-09-2020;1387E;20
01-10-2020;1387E;18
01-11-2020;1387E;21
01-12-2020;1387E;16
01-01-2020;1428;18
01-02-2020;1428;11
01-03-2020;1428;17
01-04-2020;1428;12
01-05-2020;1428;18
01-06-2020;1428;14
01-07-2020;1428;18
01-08-2020;1428;20
01-09-2020;1428;20
01-10-2020;1428;18
01-11-2020;1428;16
01-12-2020;1428;16
01-01-2020;8175;17
01-02-2020;8175;16
01-03-2020;8175;20
01-04-2020;8175;21
01-05-2020;8175;21
01-06-2020;8175;18
01-07-2020;8175;17
01-08-2020;8175;16
01-09-2020;8175;23
01-10-2020;8175;17
01-11-2020;8175;18
01-12-2020;8175;19
01-01-2020;8019;16
01-02-2020;8019;17
01-03-2020;8019;17
01-04-2020;8019;19
01-05-2020;8019;21
01-06-2020;8019;18
01-07-2020;8019;11
01-08-2020;8019;14
01-09-2020;8019;20
01-10-2020;8019;17
01-11-2020;8019;19
01-12-2020;8019;12
01-01-2020;6325O;18
01-02-2020;6325O;17
01-03-2020;6325O;0
01-04-2020;6325O;0
01-05-2020;6325O;0
01-06-2020;6325O;13
01-07-2020;6325O;9
01-08-2020;6325O;13
01-09-2020;6325O;19
01-10-2020;6325O;9
01-11-2020;6325O;20
01-12-2020;6325O;18
01-01-2020;9091O;15
01-02-2020;9091O;19
01-03-2020;9091O;16
01-04-2020;9091O;13
01-05-2020;9091O;14
01-06-2020;9091O;14
01-07-2020;9091O;18
01-08-2020;9091O;20
01-09-2020;9091O;22
01-10-2020;9091O;12
01-11-2020;9091O;0
01-12-2020;9091O;12
01-01-2020;1212E;20
01-02-2020;1212E;22
01-03-2020;1212E;12
01-04-2020;1212E;0
01-05-2020;1212E;0
01-06-2020;1212E;0
01-07-2020;1212E;22
01-08-2020;1212E;20
01-09-2020;1212E;25
01-10-2020;1212E;12
01-11-2020;1212E;16
01-12-2020;1212E;13
01-01-2020;1249I;0
01-02-2020;1249I;0
01-03-2020;1249I;0
01-04-2020;1249I;0
01-05-2020;1249I;0
01-06-2020;1249I;12
01-07-2020;1249I;17
01-08-2020;1249I;15
01-09-2020;1249I;16
01-10-2020;1249I;10
01-11-2020;1249I;0
01-12-2020;1249I;11
01-01-2020;4452;18
01-02-2020;4452;17
01-03-2020;4452;21
01-04-2020;4452;17
01-05-2020;4452;19
01-06-2020;4452;17
01-07-2020;4452;3
01-08-2020;4452;11
01-09-2020;4452;19
01-10-2020;4452;18
01-11-2020;4452;11
01-12-2020;4452;15
01-01-2020;B954;18
01-02-2020;B954;18
01-03-2020;B954;24
01-04-2020;B954;20
01-05-2020;B954;20
01-06-2020;B954;23
01-07-2020;B954;14
01-08-2020;B954;20
01-09-2020;B954;20
01-10-2020;B954;23
01-11-2020;B954;23
01-12-2020;B954;22
01-01-2020;B893;23
01-02-2020;B893;22
01-03-2020;B893;22
01-04-2020;B893;21
01-05-2020;B893;23
01-06-2020;B893;21
01-07-2020;B893;16
01-08-2020;B893;17
01-09-2020;B893;24
01-10-2020;B893;24
01-11-2020;B893;22
01-12-2020;B893;23
01-01-2020;B278;19
01-02-2020;B278;20
01-03-2020;B278;27
01-04-2020;B278;22
01-05-2020;B278;19
01-06-2020;B278;15
01-07-2020;B278;14
01-08-2020;B278;18
01-09-2020;B278;24
01-10-2020;B278;23
01-11-2020;B278;21
01-12-2020;B278;26
01-01-2020;B228;0
01-02-2020;B228;0
01-03-2020;B228;0
01-04-2020;B228;0
01-05-2020;B228;0
01-06-2020;B228;0
01-07-2020;B228;15
01-08-2020;B228;16
01-09-2020;B228;24
01-10-2020;B228;23
01-11-2020;B228;18
01-12-2020;B228;28
01-01-2020;0200E;20
01-02-2020;0200E;14
01-03-2020;0200E;22
01-04-2020;0200E;16
01-05-2020;0200E;18
01-06-2020;0200E;18
01-07-2020;0200E;21
01-08-2020;0200E;23
01-09-2020;0200E;21
01-10-2020;0200E;19
01-11-2020;0200E;22
01-12-2020;0200E;22
01-01-2020;0076;19
01-02-2020;0076;15
01-03-2020;0076;24
01-04-2020;0076;16
01-05-2020;0076;20
01-06-2020;0076;22
01-07-2020;0076;14
01-08-2020;0076;22
01-09-2020;0076;18
01-10-2020;0076;20
01-11-2020;0076;13
