FECHA;INDICATIVO;DIAS_SOL
01-01-2020;1387E;2
01-02-2020;1387E;3
01-03-2020;1387E;6
01-04-2020;1387E;0
01-05-2020;1387E;0
01-06-2020;1387E;0
01-07-2020;1387E;9
01-08-2020;1387E;2
01-09-2020;1387E;7
01-10-2020;1387E;1
01-11-2020;1387E;4
01-12-2020;1387E;0
01-01-2020;1428;2
01-02-2020;1428;5
01-03-2020;1428;6
01-04-2020;1428;1
01-05-2020;1428;7
01-06-2020;1428;2
01-07-2020;1428;12
01-08-2020;1428;2
01-09-2020;1428;6
01-10-2020;1428;0
01-11-2020;1428;4
01-12-2020;1428;1
01-01-2020;8175;9
01-02-2020;8175;10
01-03-2020;8175;2
01-04-2020;8175;0
01-05-2020;8175;5
01-06-2020;8175;12
01-07-2020;8175;14
01-08-2020;8175;15
01-09-2020;8175;5
01-10-2020;8175;11
01-11-2020;8175;6
01-12-2020;8175;9
01-01-2020;8019;10
01-02-2020;8019;9
01-03-2020;8019;3
01-04-2020;8019;2
01-05-2020;8019;9
01-06-2020;8019;12
01-07-2020;8019;20
01-08-2020;8019;16
01-09-2020;8019;8
01-10-2020;8019;11
01-11-2020;8019;7
01-12-2020;8019;15
01-01-2020;6325O;10
01-02-2020;6325O;8
01-03-2020;6325O;0
01-04-2020;6325O;0
01-05-2020;6325O;0
01-06-2020;6325O;17
01-07-2020;6325O;22
01-08-2020;6325O;18
01-09-2020;6325O;9
01-10-2020;6325O;17
01-11-2020;6325O;7
01-12-2020;6325O;11
01-01-2020;9091O;2
01-02-2020;9091O;3
01-03-2020;9091O;2
01-04-2020;9091O;1
01-05-2020;9091O;8
01-06-2020;9091O;2
01-07-2020;9091O;6
01-08-2020;9091O;3
01-09-2020;9091O;3
01-10-2020;9091O;1
01-11-2020;9091O;0
01-12-2020;9091O;0
01-01-2020;1212E;0
01-02-2020;1212E;0
01-03-2020;1212E;2
01-04-2020;1212E;0
01-05-2020;1212E;0
01-06-2020;1212E;0
