FECHA;INDICATIVO;EVAPORACION
01-01-2018;1387;0
01-02-2018;1387;0
01-03-2018;1387;667
01-04-2018;1387;736
01-05-2018;1387;609
01-06-2018;1387;489
01-07-2018;1387;567
01-08-2018;1387;919
01-09-2018;1387;716
01-10-2018;1387;0
01-11-2018;1387;553
01-12-2018;1387;645
01-01-2018;8175;725
01-02-2018;8175;768
01-03-2018;8175;1304
01-04-2018;8175;1477
01-05-2018;8175;1653
01-06-2018;8175;2317
01-07-2018;8175;4042
01-08-2018;8175;2992
01-09-2018;8175;1491
01-10-2018;8175;1106
01-11-2018;8175;647
01-12-2018;8175;440
01-01-2018;8025;882
01-02-2018;8025;632
01-03-2018;8025;0
01-04-2018;8025;1263
01-05-2018;8025;1069
01-06-2018;8025;1187
01-07-2018;8025;1256
01-08-2018;8025;1205
01-09-2018;8025;0
01-10-2018;8025;0
01-11-2018;8025;793
01-12-2018;8025;614
01-01-2018;6325O;934
01-02-2018;6325O;942
01-03-2018;6325O;1295
01-04-2018;6325O;1515
01-05-2018;6325O;1354
01-06-2018;6325O;1465
01-07-2018;6325O;1285
01-08-2018;6325O;1754
01-09-2018;6325O;1346
01-10-2018;6325O;1131
01-11-2018;6325O;918
01-12-2018;6325O;906
01-01-2018;9091O;0
01-02-2018;9091O;0
01-03-2018;9091O;1101
01-04-2018;9091O;1268
01-05-2018;9091O;805
01-06-2018;9091O;917
01-07-2018;9091O;1272
01-08-2018;9091O;1498
01-09-2018;9091O;1405
01-10-2018;9091O;0
01-11-2018;9091O;660
01-12-2018;9091O;443
01-01-2018;1212E;782
01-02-2018;1212E;501
01-03-2018;1212E;939
01-04-2018;1212E;666
01-05-2018;1212E;616
01-06-2018;1212E;475
01-07-2018;1212E;641
01-08-2018;1212E;782
01-09-2018;1212E;674
01-10-2018;1212E;617
01-11-2018;1212E;673
01-12-2018;1212E;734
01-01-2018;1208H;1092
01-02-2018;1208H;659
01-03-2018;1208H;1299
01-04-2018;1208H;731
01-05-2018;1208H;632
01-06-2018;1208H;549
01-07-2018;1208H;705
01-08-2018;1208H;807
01-09-2018;1208H;645
01-10-2018;1208H;735
01-11-2018;1208H;813
01-12-2018;1208H;856
01-01-2018;1249I;716
01-02-2018;1249I;325
01-03-2018;1249I;983
01-04-2018;1249I;728
01-05-2018;1249I;654
01-06-2018;1249I;573
01-07-2018;1249I;570
01-08-2018;1249I;822
01-09-2018;1249I;636
01-10-2018;1249I;601
01-11-2018;1249I;587
01-12-2018;1249I;565
01-01-2018;2444;350
01-02-2018;2444;0
01-03-2018;2444;680
