Fecha;Estacion;DIAS_GRA
01-01-2021;1387;542
01-02-2021;1387;764
01-03-2021;1387;904
01-04-2021;1387;840
01-05-2021;1387;789
01-06-2021;1387;672
01-07-2021;1387;744
01-08-2021;1387;876
01-09-2021;1387;711
01-10-2021;1387;703
01-11-2021;1387;591
01-12-2021;1387;663
01-01-2021;8175;0
01-02-2021;8175;883
01-03-2021;8175;949
01-04-2021;8175;978
01-05-2021;8175;2043
01-06-2021;8175;2339
01-07-2021;8175;3470
01-08-2021;8175;0
01-09-2021;8175;1664
01-10-2021;8175;1275
01-11-2021;8175;676
01-12-2021;8175;681
01-01-2021;8025;827
01-02-2021;8025;699
01-03-2021;8025;725
01-04-2021;8025;646
01-05-2021;8025;1062
01-06-2021;8025;0
01-07-2021;8025;1163
01-08-2021;8025;1159
01-09-2021;8025;1020
01-10-2021;8025;785
01-11-2021;8025;817
01-12-2021;8025;789
01-01-2021;6325O;904
01-02-2021;6325O;934
01-03-2021;6325O;1071
01-04-2021;6325O;1046
01-05-2021;6325O;1366
01-06-2021;6325O;1621
01-07-2021;6325O;1529
01-08-2021;6325O;1410
01-09-2021;6325O;1557
01-10-2021;6325O;1225
01-11-2021;6325O;1236
01-12-2021;6325O;965
01-01-2021;9091O;355
01-02-2021;9091O;880
01-03-2021;9091O;947
01-04-2021;9091O;1071
01-05-2021;9091O;1004
01-06-2021;9091O;897
01-07-2021;9091O;1105
01-08-2021;9091O;1061
01-09-2021;9091O;901
01-10-2021;9091O;691
01-11-2021;9091O;316
01-12-2021;9091O;348
01-01-2021;1212E;654
01-02-2021;1212E;654
01-03-2021;1212E;725
01-04-2021;1212E;820
01-05-2021;1212E;815
01-06-2021;1212E;592
01-07-2021;1212E;738
01-08-2021;1212E;860
01-09-2021;1212E;847
01-10-2021;1212E;774
01-11-2021;1212E;649
01-12-2021;1212E;679
01-01-2021;1208H;1145
01-02-2021;1208H;0
01-03-2021;1208H;717
01-04-2021;1208H;809
01-05-2021;1208H;819
01-06-2021;1208H;605
01-07-2021;1208H;0
01-08-2021;1208H;0
01-09-2021;1208H;659
01-10-2021;1208H;779
01-11-2021;1208H;746
01-12-2021;1208H;0
01-01-2021;1249I;581
01-02-2021;1249I;738
01-03-2021;1249I;1049
01-04-2021;1249I;691
01-05-2021;1249I;818
01-06-2021;1249I;547
01-07-2021;1249I;782
01-08-2021;1249I;937
01-09-2021;1249I;595
01-10-2021;1249I;675
01-11-2021;1249I;357
01-12-2021;1249I;629
01-01-2021;2444;0
01-02-2021;2444;562
01-03-2021;2444;969
01-04-2021;2444;711
01-05-2021;2444;1351
01-06-2021;2444;0
01-07-2021;2444;0
01-08-2021;2444;0
01-09-2021;2444;1077
01-10-2021;2444;875
01-11-2021;2444;0
01-12-2021;2444;445
01-01-2021;4452;276
01-02-2021;4452;512
01-03-2021;4452;1154
01-04-2021;4452;1062
01-05-2021;4452;1949
01-06-2021;4452;2223
01-07-2021;4452;2699
01-08-2021;4452;2718
01-09-2021;4452;1542
01-10-2021;4452;1067
01-11-2021;4452;567
01-12-2021;4452;457
01-01-2021;B954;992
01-02-2021;B954;945
01-03-2021;B954;970
01-04-2021;B954;930
01-05-2021;B954;1442
01-06-2021;B954;1606
01-07-2021;B954;1637
01-08-2021;B954;1757
01-09-2021;B954;1316
01-10-2021;B954;1127
01-11-2021;B954;843
01-12-2021;B954;1009
01-01-2021;B893;958
01-02-2021;B893;692
01-03-2021;B893;1110
01-04-2021;B893;1012
01-05-2021;B893;1328
01-06-2021;B893;1413
01-07-2021;B893;1707
01-08-2021;B893;1698
01-09-2021;B893;1096
01-10-2021;B893;1286
01-11-2021;B893;795
01-12-2021;B893;923
01-01-2021;B278;608
01-02-2021;B278;612
01-03-2021;B278;1133
01-04-2021;B278;1254
01-05-2021;B278;1436
01-06-2021;B278;1839
01-07-2021;B278;0
01-08-2021;B278;2779
01-09-2021;B278;1823
01-10-2021;B278;1947
01-11-2021;B278;0
01-12-2021;B278;0
01-01-2021;B228;877
01-02-2021;B228;854
01-03-2021;B228;1149
01-04-2021;B228;1123
01-05-2021;B228;1410
01-06-2021;B228;1363
01-07-2021;B228;1649
01-08-2021;B228;1693
01-09-2021;B228;1277
01-10-2021;B228;1207
01-11-2021;B228;994
01-12-2021;B228;870
01-01-2021;0200E;1064
01-02-2021;0200E;654
01-03-2021;0200E;1104
01-04-2021;0200E;1032
01-05-2021;0200E;1388
01-06-2021;0200E;1916
01-07-2021;0200E;2092
01-08-2021;0200E;1546
01-09-2021;0200E;1254
01-10-2021;0200E;944
01-11-2021;0200E;1060
01-12-2021;0200E;1040
01-01-2021;2331;308
01-02-2021;2331;739
01-03-2021;2331;855
01-04-2021;2331;775
01-05-2021;2331;1258
01-06-2021;2331;1272
01-07-2021;2331;2171
01-08-2021;2331;2152
01-09-2021;2331;1317
01-10-2021;2331;962
01-11-2021;2331;373
01-12-2021;2331;430
01-01-2021;3469A;509
01-02-2021;3469A;690
01-03-2021;3469A;1078
01-04-2021;3469A;1074
01-05-2021;3469A;2158
01-06-2021;3469A;2856
01-07-2021;3469A;0
01-08-2021;3469A;0
01-09-2021;3469A;1903
01-10-2021;3469A;1348
01-11-2021;3469A;843
01-12-2021;3469A;608
01-01-2021;5973;0
01-02-2021;5973;0
01-03-2021;5973;0
01-04-2021;5973;0
01-05-2021;5973;0
01-06-2021;5973;1306
01-07-2021;5973;0
01-08-2021;5973;0
01-09-2021;5973;1146
01-10-2021;5973;0
01-11-2021;5973;0
01-12-2021;5973;0
01-01-2021;5960;373
01-02-2021;5960;536
01-03-2021;5960;1162
01-04-2021;5960;1052
01-05-2021;5960;1681
01-06-2021;5960;1708
01-07-2021;5960;2155
01-08-2021;5960;1985
01-09-2021;5960;1467
01-10-2021;5960;1299
01-11-2021;5960;732
01-12-2021;5960;643
01-01-2021;5910;700
01-02-2021;5910;930
01-03-2021;5910;1723
01-04-2021;5910;1321
01-05-2021;5910;2776
01-06-2021;5910;1822
01-07-2021;5910;2272
01-08-2021;5910;1988
01-09-2021;5910;1498
01-10-2021;5910;1505
01-11-2021;5910;1625
01-12-2021;5910;1140
01-01-2021;1111;0
01-02-2021;1111;1643
01-03-2021;1111;0
01-04-2021;1111;1184
