Fecha;Estacion;DIAS_GRA
01-01-2016;1387;79
01-02-2016;1387;80
01-03-2016;1387;76
01-04-2016;1387;77
01-05-2016;1387;79
01-06-2016;1387;82
01-07-2016;1387;77
01-08-2016;1387;78
01-09-2016;1387;84
01-10-2016;1387;80
01-11-2016;1387;78
01-12-2016;1387;77
01-01-2016;1387E;79
01-02-2016;1387E;0
01-03-2016;1387E;74
01-04-2016;1387E;73
01-05-2016;1387E;74
01-06-2016;1387E;76
01-07-2016;1387E;71
01-08-2016;1387E;72
01-09-2016;1387E;81
01-10-2016;1387E;0
01-11-2016;1387E;80
01-12-2016;1387E;0
01-01-2016;1428;90
01-02-2016;1428;0
01-03-2016;1428;80
01-04-2016;1428;0
01-05-2016;1428;76
01-06-2016;1428;74
01-07-2016;1428;64
01-08-2016;1428;60
01-09-2016;1428;0
01-10-2016;1428;80
01-11-2016;1428;86
01-12-2016;1428;80
01-01-2016;8175;74
01-02-2016;8175;0
01-03-2016;8175;58
01-04-2016;8175;58
01-05-2016;8175;54
01-06-2016;8175;35
01-07-2016;8175;33
01-08-2016;8175;41
01-09-2016;8175;48
01-10-2016;8175;66
01-11-2016;8175;73
01-12-2016;8175;87
01-01-2016;8178D;74
01-02-2016;8178D;67
01-03-2016;8178D;61
01-04-2016;8178D;62
01-05-2016;8178D;56
01-06-2016;8178D;46
01-07-2016;8178D;46
01-08-2016;8178D;50
01-09-2016;8178D;50
01-10-2016;8178D;66
01-11-2016;8178D;74
01-12-2016;8178D;86
01-01-2016;8025;64
01-02-2016;8025;55
01-03-2016;8025;56
01-04-2016;8025;61
01-05-2016;8025;58
01-06-2016;8025;56
01-07-2016;8025;55
01-08-2016;8025;64
01-09-2016;8025;62
01-10-2016;8025;0
01-11-2016;8025;66
01-12-2016;8025;78
01-01-2016;8019;0
01-02-2016;8019;50
01-03-2016;8019;51
01-04-2016;8019;0
01-05-2016;8019;0
01-06-2016;8019;0
01-07-2016;8019;0
01-08-2016;8019;0
01-09-2016;8019;0
01-10-2016;8019;0
01-11-2016;8019;0
01-12-2016;8019;74
01-01-2016;6325O;0
01-02-2016;6325O;61
01-03-2016;6325O;60
01-04-2016;6325O;65
01-05-2016;6325O;59
01-06-2016;6325O;60
01-07-2016;6325O;0
01-08-2016;6325O;59
01-09-2016;6325O;61
01-10-2016;6325O;71
01-11-2016;6325O;67
01-12-2016;6325O;0
01-01-2016;9091O;0
01-02-2016;9091O;81
01-03-2016;9091O;78
01-04-2016;9091O;74
01-05-2016;9091O;71
01-06-2016;9091O;71
01-07-2016;9091O;69
01-08-2016;9091O;63
01-09-2016;9091O;71
01-10-2016;9091O;76
01-11-2016;9091O;83
01-12-2016;9091O;92
01-01-2016;1212E;77
01-02-2016;1212E;0
01-03-2016;1212E;0
01-04-2016;1212E;0
01-05-2016;1212E;0
01-06-2016;1212E;0
01-07-2016;1212E;0
01-08-2016;1212E;0
01-09-2016;1212E;0
01-10-2016;1212E;0
01-11-2016;1212E;81
01-12-2016;1212E;0
01-01-2016;1208H;70
01-02-2016;1208H;72
01-03-2016;1208H;74
01-04-2016;1208H;73
01-05-2016;1208H;76
01-06-2016;1208H;79
01-07-2016;1208H;78
01-08-2016;1208H;76
01-09-2016;1208H;81
01-10-2016;1208H;78
01-11-2016;1208H;76
01-12-2016;1208H;76
01-01-2016;1249I;76
01-02-2016;1249I;79
01-03-2016;1249I;79
01-04-2016;1249I;75
01-05-2016;1249I;76
01-06-2016;1249I;79
01-07-2016;1249I;80
01-08-2016;1249I;78
01-09-2016;1249I;82
01-10-2016;1249I;83
01-11-2016;1249I;84
01-12-2016;1249I;83
01-01-2016;2444;82
01-02-2016;2444;76
01-03-2016;2444;69
01-04-2016;2444;70
01-05-2016;2444;61
01-06-2016;2444;46
01-07-2016;2444;38
01-08-2016;2444;37
01-09-2016;2444;46
01-10-2016;2444;63
01-11-2016;2444;80
01-12-2016;2444;79
01-01-2016;4452;84
01-02-2016;4452;77
01-03-2016;4452;72
01-04-2016;4452;71
01-05-2016;4452;69
01-06-2016;4452;56
01-07-2016;4452;51
01-08-2016;4452;44
01-09-2016;4452;44
01-10-2016;4452;61
01-11-2016;4452;76
01-12-2016;4452;84
01-01-2016;B954;72
01-02-2016;B954;66
01-03-2016;B954;67
01-04-2016;B954;69
01-05-2016;B954;67
