FECHA;INDICATIVO;INSOLACION%
01-01-2020;1387;41
01-02-2020;1387;45
01-03-2020;1387;46
01-04-2020;1387;32
01-05-2020;1387;61
01-06-2020;1387;45
01-07-2020;1387;71
01-08-2020;1387;53
01-09-2020;1387;67
01-10-2020;1387;41
01-11-2020;1387;50
01-12-2020;1387;26
01-01-2020;1387E;0
01-02-2020;1387E;0
01-03-2020;1387E;0
01-04-2020;1387E;28
01-05-2020;1387E;0
01-06-2020;1387E;0
01-07-2020;1387E;0
01-08-2020;1387E;0
01-09-2020;1387E;0
01-10-2020;1387E;0
01-11-2020;1387E;0
01-12-2020;1387E;0
01-01-2020;1428;42
01-02-2020;1428;43
01-03-2020;1428;51
01-04-2020;1428;24
01-05-2020;1428;58
01-06-2020;1428;42
01-07-2020;1428;77
01-08-2020;1428;49
01-09-2020;1428;61
01-10-2020;1428;32
01-11-2020;1428;44
01-12-2020;1428;21
01-01-2020;8175;52
01-02-2020;8175;65
01-03-2020;8175;48
01-04-2020;8175;47
01-05-2020;8175;66
01-06-2020;8175;75
01-07-2020;8175;80
01-08-2020;8175;80
01-09-2020;8175;71
01-10-2020;8175;72
01-11-2020;8175;58
01-12-2020;8175;0
01-01-2020;8178D;0
01-02-2020;8178D;0
01-03-2020;8178D;0
01-04-2020;8178D;48
01-05-2020;8178D;68
01-06-2020;8178D;0
01-07-2020;8178D;82
01-08-2020;8178D;0
01-09-2020;8178D;0
01-10-2020;8178D;0
01-11-2020;8178D;0
01-12-2020;8178D;0
01-01-2020;8025;70
01-02-2020;8025;76
01-03-2020;8025;55
01-04-2020;8025;61
01-05-2020;8025;77
01-06-2020;8025;82
01-07-2020;8025;85
01-08-2020;8025;84
01-09-2020;8025;79
01-10-2020;8025;80
01-11-2020;8025;67
01-12-2020;8025;73
01-01-2020;8019;0
01-02-2020;8019;76
01-03-2020;8019;54
01-04-2020;8019;61
01-05-2020;8019;78
01-06-2020;8019;82
01-07-2020;8019;85
01-08-2020;8019;84
01-09-2020;8019;78
01-10-2020;8019;80
01-11-2020;8019;66
01-12-2020;8019;73
01-01-2020;6325O;64
01-02-2020;6325O;73
01-03-2020;6325O;0
01-04-2020;6325O;0
01-05-2020;6325O;0
01-06-2020;6325O;86
01-07-2020;6325O;84
01-08-2020;6325O;83
01-09-2020;6325O;73
01-10-2020;6325O;77
01-11-2020;6325O;68
01-12-2020;6325O;73
01-01-2020;9091O;34
01-02-2020;9091O;53
01-03-2020;9091O;45
01-04-2020;9091O;39
01-05-2020;9091O;53
01-06-2020;9091O;45
01-07-2020;9091O;58
01-08-2020;9091O;54
01-09-2020;9091O;56
01-10-2020;9091O;42
01-11-2020;9091O;44
01-12-2020;9091O;25
01-01-2020;1212E;43
01-02-2020;1212E;50
01-03-2020;1212E;40
01-04-2020;1212E;25
01-05-2020;1212E;53
01-06-2020;1212E;35
01-07-2020;1212E;49
01-08-2020;1212E;48
01-09-2020;1212E;56
01-10-2020;1212E;37
01-11-2020;1212E;53
01-12-2020;1212E;25
01-01-2020;1208H;41
01-02-2020;1208H;51
01-03-2020;1208H;0
01-04-2020;1208H;0
01-05-2020;1208H;0
01-06-2020;1208H;35
01-07-2020;1208H;0
01-08-2020;1208H;0
01-09-2020;1208H;0
01-10-2020;1208H;0
01-11-2020;1208H;0
01-12-2020;1208H;0
01-01-2020;1249I;46
01-02-2020;1249I;57
01-03-2020;1249I;0
01-04-2020;1249I;26
01-05-2020;1249I;53
01-06-2020;1249I;31
01-07-2020;1249I;39
