FECHA;INDICATIVO;INSOLACION
01-01-2016;1387;2.2
01-02-2016;1387;2.6
01-03-2016;1387;5.3
01-04-2016;1387;0
01-05-2016;1387;0
01-06-2016;1387;8.0
01-07-2016;1387;10.8
01-08-2016;1387;10.1
01-09-2016;1387;7.1
01-10-2016;1387;6.8
01-11-2016;1387;4.3
01-12-2016;1387;5.2
01-01-2016;1387E;0.9
01-02-2016;1387E;0.9
01-03-2016;1387E;0
01-04-2016;1387E;0
01-05-2016;1387E;0
01-06-2016;1387E;0
01-07-2016;1387E;0
01-08-2016;1387E;0
01-09-2016;1387E;0
01-10-2016;1387E;0
01-11-2016;1387E;0
01-12-2016;1387E;0
01-01-2016;1428;1.9
01-02-2016;1428;2.7
01-03-2016;1428;4.3
01-04-2016;1428;5.1
01-05-2016;1428;5.4
01-06-2016;1428;7.5
01-07-2016;1428;10.3
01-08-2016;1428;10.1
01-09-2016;1428;0
01-10-2016;1428;5.5
01-11-2016;1428;4.3
01-12-2016;1428;5.2
01-01-2016;8175;5.5
01-02-2016;8175;6.1
01-03-2016;8175;8.2
01-04-2016;8175;0
01-05-2016;8175;9.4
01-06-2016;8175;0
01-07-2016;8175;11.8
01-08-2016;8175;11.5
01-09-2016;8175;10.4
01-10-2016;8175;7.1
01-11-2016;8175;5.8
01-12-2016;8175;4.4
01-01-2016;8025;6.2
01-02-2016;8025;6.9
01-03-2016;8025;8.3
01-04-2016;8025;9.4
01-05-2016;8025;0
01-06-2016;8025;12.4
01-07-2016;8025;11.7
01-08-2016;8025;11.5
01-09-2016;8025;10.2
01-10-2016;8025;7.2
01-11-2016;8025;6.0
01-12-2016;8025;5.2
01-01-2016;8019;5.0
01-02-2016;8019;5.3
01-03-2016;8019;0
01-04-2016;8019;0
01-05-2016;8019;0
01-06-2016;8019;0
01-07-2016;8019;0
01-08-2016;8019;0
01-09-2016;8019;0
01-10-2016;8019;0
01-11-2016;8019;0
01-12-2016;8019;0
01-01-2016;6325O;5.8
01-02-2016;6325O;5.8
01-03-2016;6325O;8.8
01-04-2016;6325O;8.7
01-05-2016;6325O;10.2
01-06-2016;6325O;11.7
01-07-2016;6325O;11.6
01-08-2016;6325O;11.3
01-09-2016;6325O;9.8
01-10-2016;6325O;7.6
01-11-2016;6325O;6.3
01-12-2016;6325O;5.9
01-01-2016;9091O;2.5
01-02-2016;9091O;3.7
01-03-2016;9091O;3.5
01-04-2016;9091O;5.3
01-05-2016;9091O;6.7
01-06-2016;9091O;6.1
01-07-2016;9091O;6.8
01-08-2016;9091O;9.0
01-09-2016;9091O;6.3
01-10-2016;9091O;5.6
01-11-2016;9091O;2.9
01-12-2016;9091O;2.8
01-01-2016;1212E;2.7
01-02-2016;1212E;2.4
01-03-2016;1212E;4.1
01-04-2016;1212E;4.6
01-05-2016;1212E;4.8
01-06-2016;1212E;0
01-07-2016;1212E;0
01-08-2016;1212E;0
01-09-2016;1212E;0
01-10-2016;1212E;5.5
01-11-2016;1212E;3.6
01-12-2016;1212E;5.5
01-01-2016;1208H;2.6
01-02-2016;1208H;3.1
01-03-2016;1208H;4.4
01-04-2016;1208H;4.8
01-05-2016;1208H;6.4
01-06-2016;1208H;6.6
01-07-2016;1208H;5.4
01-08-2016;1208H;8.1
01-09-2016;1208H;5.0
01-10-2016;1208H;5.3
01-11-2016;1208H;2.8
