Fecha;Estacion;DIAS_GRA
01-01-2018;1387;2.5
01-02-2018;1387;4.4
01-03-2018;1387;4.0
01-04-2018;1387;6.5
01-05-2018;1387;7.3
01-06-2018;1387;6.5
01-07-2018;1387;7.2
01-08-2018;1387;10.2
01-09-2018;1387;8.6
01-10-2018;1387;7.3
01-11-2018;1387;3.5
01-12-2018;1387;3.2
01-01-2018;1428;2.5
01-02-2018;1428;4.7
01-03-2018;1428;3.2
01-04-2018;1428;5.6
01-05-2018;1428;7.3
01-06-2018;1428;5.7
01-07-2018;1428;6.2
01-08-2018;1428;9.3
01-09-2018;1428;9.0
01-10-2018;1428;6.4
01-11-2018;1428;2.9
01-12-2018;1428;3.1
01-01-2018;8175;6.0
01-02-2018;8175;6.3
01-03-2018;8175;6.0
01-04-2018;8175;0
01-05-2018;8175;8.6
01-06-2018;8175;10.2
01-07-2018;8175;12.7
01-08-2018;8175;10.3
01-09-2018;8175;8.3
01-10-2018;8175;6.5
01-11-2018;8175;4.6
01-12-2018;8175;5.6
01-01-2018;8025;7.4
01-02-2018;8025;6.4
01-03-2018;8025;7.5
01-04-2018;8025;9.3
01-05-2018;8025;11.3
01-06-2018;8025;11.5
01-07-2018;8025;12.5
01-08-2018;8025;10.8
01-09-2018;8025;9.1
01-10-2018;8025;7.7
01-11-2018;8025;5.8
01-12-2018;8025;7.3
01-01-2018;8019;7.5
01-02-2018;8019;6.6
01-03-2018;8019;0
01-04-2018;8019;9.1
01-05-2018;8019;11.3
01-06-2018;8019;11.5
01-07-2018;8019;12.6
01-08-2018;8019;10.6
01-09-2018;8019;9.0
01-10-2018;8019;7.4
01-11-2018;8019;5.5
01-12-2018;8019;7.2
01-01-2018;6325O;6.7
01-02-2018;6325O;7.8
01-03-2018;6325O;7.3
01-04-2018;6325O;8.5
01-05-2018;6325O;10.8
01-06-2018;6325O;11.7
01-07-2018;6325O;11.6
01-08-2018;6325O;11.4
01-09-2018;6325O;8.2
01-10-2018;6325O;6.8
01-11-2018;6325O;6.2
01-12-2018;6325O;7.1
01-01-2018;9091O;2.7
01-02-2018;9091O;2.8
01-03-2018;9091O;4.7
01-04-2018;9091O;5.7
01-05-2018;9091O;5.2
01-06-2018;9091O;6.7
01-07-2018;9091O;8.2
01-08-2018;9091O;8.0
01-09-2018;9091O;7.7
01-10-2018;9091O;5.0
01-11-2018;9091O;3.8
01-12-2018;9091O;3.2
01-01-2018;1212E;2.9
01-02-2018;1212E;3.0
01-03-2018;1212E;3.7
01-04-2018;1212E;4.8
01-05-2018;1212E;5.8
01-06-2018;1212E;4.4
01-07-2018;1212E;4.9
01-08-2018;1212E;7.4
01-09-2018;1212E;6.5
01-10-2018;1212E;5.7
01-11-2018;1212E;3.7
01-12-2018;1212E;3.8
01-01-2018;1208H;0
01-02-2018;1208H;3.4
01-03-2018;1208H;3.7
01-04-2018;1208H;5.0
01-05-2018;1208H;6.9
01-06-2018;1208H;4.7
01-07-2018;1208H;5.0
01-08-2018;1208H;8.1
01-09-2018;1208H;6.1
01-10-2018;1208H;5.3
01-11-2018;1208H;3.9
01-12-2018;1208H;3.1
01-01-2018;1249I;3.7
01-02-2018;1249I;2.8
01-03-2018;1249I;4.5
01-04-2018;1249I;5.1
01-05-2018;1249I;6.0
01-06-2018;1249I;4.1
01-07-2018;1249I;4.2
01-08-2018;1249I;6.9
01-09-2018;1249I;5.7
01-10-2018;1249I;5.6
01-11-2018;1249I;4.3
01-12-2018;1249I;3.8
01-01-2018;2444;4.7
01-02-2018;2444;0
01-03-2018;2444;5.4
01-04-2018;2444;7.2
01-05-2018;2444;7.8
01-06-2018;2444;9.3
01-07-2018;2444;12.1
01-08-2018;2444;11.6
01-09-2018;2444;9.2
