FECHA;INDICATIVO;LLUVIA_MES
01-01-2018;1387;118.2
01-02-2018;1387;150.6
01-03-2018;1387;194.0
01-04-2018;1387;80.2
01-05-2018;1387;29.4
01-06-2018;1387;115.3
01-07-2018;1387;22.8
01-08-2018;1387;33.0
01-09-2018;1387;5.2
01-10-2018;1387;92.6
01-11-2018;1387;231.6
01-12-2018;1387;92.8
01-01-2018;1387E;101.2
01-02-2018;1387E;139.9
01-03-2018;1387E;228.2
01-04-2018;1387E;81.5
01-05-2018;1387E;24.6
01-06-2018;1387E;105.4
01-07-2018;1387E;31.7
01-08-2018;1387E;0
01-09-2018;1387E;3.3
01-10-2018;1387E;89.0
01-11-2018;1387E;233.1
01-12-2018;1387E;59.5
01-01-2018;1428;119.0
01-02-2018;1428;149.6
01-03-2018;1428;268.4
01-04-2018;1428;125.5
01-05-2018;1428;13.0
01-06-2018;1428;69.5
01-07-2018;1428;52.7
01-08-2018;1428;20.1
01-09-2018;1428;0.8
01-10-2018;1428;115.4
01-11-2018;1428;300.9
01-12-2018;1428;141.2
01-01-2018;8175;27.0
01-02-2018;8175;47.6
01-03-2018;8175;49.7
01-04-2018;8175;25.8
01-05-2018;8175;55.6
01-06-2018;8175;60.4
01-07-2018;8175;0.0
01-08-2018;8175;33.4
01-09-2018;8175;83.4
01-10-2018;8175;38.8
01-11-2018;8175;44.4
01-12-2018;8175;8.2
01-01-2018;8178D;28.0
01-02-2018;8178D;48.6
01-03-2018;8178D;57.2
01-04-2018;8178D;31.1
01-05-2018;8178D;51.8
01-06-2018;8178D;46.4
01-07-2018;8178D;0.0
01-08-2018;8178D;20.7
01-09-2018;8178D;46.8
01-10-2018;8178D;42.9
01-11-2018;8178D;44.4
01-12-2018;8178D;8.0
01-01-2018;8025;68.0
01-02-2018;8025;27.4
01-03-2018;8025;19.2
01-04-2018;8025;10.8
01-05-2018;8025;3.4
01-06-2018;8025;28.0
01-07-2018;8025;0.0
01-08-2018;8025;15.8
01-09-2018;8025;42.2
01-10-2018;8025;61.4
01-11-2018;8025;21.6
01-12-2018;8025;7.4
01-01-2018;8019;95.6
01-02-2018;8019;39.9
01-03-2018;8019;20.6
01-04-2018;8019;16.5
01-05-2018;8019;8.2
01-06-2018;8019;23.6
01-07-2018;8019;0.1
01-08-2018;8019;1.2
01-09-2018;8019;40.8
01-10-2018;8019;53.6
01-11-2018;8019;49.2
01-12-2018;8019;10.0
01-01-2018;6325O;7.6
01-02-2018;6325O;9.1
01-03-2018;6325O;55.3
01-04-2018;6325O;23.1
01-05-2018;6325O;8.8
01-06-2018;6325O;11.6
01-07-2018;6325O;0.0
01-08-2018;6325O;0.0
01-09-2018;6325O;24.1
01-10-2018;6325O;41.4
01-11-2018;6325O;11.8
01-12-2018;6325O;5.7
01-01-2018;9091O;132.4
01-02-2018;9091O;92.7
01-03-2018;9091O;82.3
01-04-2018;9091O;117.4
01-05-2018;9091O;54.4
01-06-2018;9091O;54.9
01-07-2018;9091O;73.0
01-08-2018;9091O;1.5
01-09-2018;9091O;6.6
01-10-2018;9091O;101.3
01-11-2018;9091O;80.6
01-12-2018;9091O;24.3
01-01-2018;1212E;120.0
01-02-2018;1212E;132.2
01-03-2018;1212E;130.2
