FECHA;INDICATIVO;LLUVIA_sup_1mm
01-01-2019;1387;15
01-02-2019;1387;4
01-03-2019;1387;6
01-04-2019;1387;14
01-05-2019;1387;5
01-06-2019;1387;7
01-07-2019;1387;3
01-08-2019;1387;4
01-09-2019;1387;6
01-10-2019;1387;17
01-11-2019;1387;26
01-12-2019;1387;16
01-01-2019;1387E;15
01-02-2019;1387E;6
01-03-2019;1387E;7
01-04-2019;1387E;14
01-05-2019;1387E;5
01-06-2019;1387E;11
01-07-2019;1387E;3
01-08-2019;1387E;4
01-09-2019;1387E;4
01-10-2019;1387E;16
01-11-2019;1387E;26
01-12-2019;1387E;13
01-01-2019;1428;13
01-02-2019;1428;6
01-03-2019;1428;8
01-04-2019;1428;14
01-05-2019;1428;8
01-06-2019;1428;12
01-07-2019;1428;5
01-08-2019;1428;5
01-09-2019;1428;8
01-10-2019;1428;16
01-11-2019;1428;28
01-12-2019;1428;16
01-01-2019;8175;3
01-02-2019;8175;1
01-03-2019;8175;2
01-04-2019;8175;13
01-05-2019;8175;2
01-06-2019;8175;1
01-07-2019;8175;2
01-08-2019;8175;2
01-09-2019;8175;5
01-10-2019;8175;5
01-11-2019;8175;9
01-12-2019;8175;6
01-01-2019;8178D;3
01-02-2019;8178D;1
01-03-2019;8178D;3
01-04-2019;8178D;12
01-05-2019;8178D;3
01-06-2019;8178D;1
01-07-2019;8178D;1
01-08-2019;8178D;2
01-09-2019;8178D;4
01-10-2019;8178D;5
01-11-2019;8178D;9
01-12-2019;8178D;4
01-01-2019;8025;2
01-02-2019;8025;0
01-03-2019;8025;2
01-04-2019;8025;8
01-05-2019;8025;0
01-06-2019;8025;0
01-07-2019;8025;0
01-08-2019;8025;3
01-09-2019;8025;4
01-10-2019;8025;3
01-11-2019;8025;3
01-12-2019;8025;4
01-01-2019;8019;1
01-02-2019;8019;1
01-03-2019;8019;2
01-04-2019;8019;8
01-05-2019;8019;0
01-06-2019;8019;0
01-07-2019;8019;0
01-08-2019;8019;3
01-09-2019;8019;7
01-10-2019;8019;3
01-11-2019;8019;3
01-12-2019;8019;4
01-01-2019;6325O;0
01-02-2019;6325O;1
01-03-2019;6325O;3
01-04-2019;6325O;6
01-05-2019;6325O;0
01-06-2019;6325O;0
01-07-2019;6325O;0
01-08-2019;6325O;0
01-09-2019;6325O;2
01-10-2019;6325O;2
01-11-2019;6325O;2
01-12-2019;6325O;4
