FECHA;INDICATIVO;RADIACION
01-01-2018;1387;14982
01-02-2018;1387;22421
01-03-2018;1387;32560
01-04-2018;1387;50813
01-05-2018;1387;61487
01-06-2018;1387;57463
01-07-2018;1387;63725
01-08-2018;1387;68814
01-09-2018;1387;0
01-10-2018;1387;0
01-11-2018;1387;16763
01-12-2018;1387;14293
01-01-2018;1387E;0
01-02-2018;1387E;19867
01-03-2018;1387E;28856
01-04-2018;1387E;45847
01-05-2018;1387E;57967
01-06-2018;1387E;0
01-07-2018;1387E;0
01-08-2018;1387E;63758
01-09-2018;1387E;46813
01-10-2018;1387E;0
01-11-2018;1387E;14867
01-12-2018;1387E;12497
01-01-2018;1428;12573
01-02-2018;1428;21546
01-03-2018;1428;24779
01-04-2018;1428;42270
01-05-2018;1428;56166
01-06-2018;1428;49250
01-07-2018;1428;55421
01-08-2018;1428;0
01-09-2018;1428;50363
01-10-2018;1428;34564
01-11-2018;1428;14242
01-12-2018;1428;12448
01-01-2018;8178D;28309
01-02-2018;8178D;33893
01-03-2018;8178D;0
01-04-2018;8178D;58202
01-05-2018;8178D;75163
01-06-2018;8178D;81775
01-07-2018;8178D;91186
01-08-2018;8178D;76076
01-09-2018;8178D;56840
01-10-2018;8178D;41101
01-11-2018;8178D;24746
01-12-2018;8178D;25849
01-01-2018;8019;30715
01-02-2018;8019;32418
01-03-2018;8019;48773
01-04-2018;8019;62349
01-05-2018;8019;76761
01-06-2018;8019;79046
01-07-2018;8019;86050
01-08-2018;8019;71865
01-09-2018;8019;54199
01-10-2018;8019;41157
01-11-2018;8019;26318
01-12-2018;8019;27058
01-01-2018;6325O;0
01-02-2018;6325O;39461
01-03-2018;6325O;51265
01-04-2018;6325O;64069
01-05-2018;6325O;80807
01-06-2018;6325O;85932
01-07-2018;6325O;87132
01-08-2018;6325O;79446
01-09-2018;6325O;56943
01-10-2018;6325O;42491
01-11-2018;6325O;31950
01-12-2018;6325O;30937
01-01-2018;B954;28218
01-02-2018;B954;26678
01-03-2018;B954;48815
01-04-2018;B954;0
01-05-2018;B954;70557
01-06-2018;B954;72565
01-07-2018;B954;82410
01-08-2018;B954;64938
01-09-2018;B954;49575
01-10-2018;B954;38385
01-11-2018;B954;26529
01-12-2018;B954;22338
01-01-2018;B228;26146
01-02-2018;B228;23494
01-03-2018;B228;48009
01-04-2018;B228;61234
01-05-2018;B228;71553
01-06-2018;B228;80596
01-07-2018;B228;86201
01-08-2018;B228;0
