Fecha;Estacion;DIAS_GRA
01-01-2019;1387;9.8
01-02-2019;1387;11.2
01-03-2019;1387;13.1
01-04-2019;1387;14.4
01-05-2019;1387;17.2
01-06-2019;1387;19.4
01-07-2019;1387;21.7
01-08-2019;1387;21.7
01-09-2019;1387;20.2
01-10-2019;1387;17.6
01-11-2019;1387;13.9
01-12-2019;1387;11.6
01-01-2019;9091O;5.7
01-02-2019;9091O;7.0
01-03-2019;9091O;9.9
01-04-2019;9091O;11.5
01-05-2019;9091O;0
01-06-2019;9091O;19.9
01-07-2019;9091O;23.0
01-08-2019;9091O;22.7
01-09-2019;9091O;20.0
01-10-2019;9091O;16.5
01-11-2019;9091O;10.2
01-12-2019;9091O;8.1
01-01-2019;2444;0
01-02-2019;2444;4.3
01-03-2019;2444;0
01-04-2019;2444;0
01-05-2019;2444;17.1
01-06-2019;2444;22.1
01-07-2019;2444;27.3
01-08-2019;2444;0
01-09-2019;2444;0
01-10-2019;2444;14.5
01-11-2019;2444;0
01-12-2019;2444;0
01-01-2019;4452;7.9
01-02-2019;4452;11.0
01-03-2019;4452;15.0
01-04-2019;4452;17.1
01-05-2019;4452;23.9
01-06-2019;4452;26.6
01-07-2019;4452;29.2
01-08-2019;4452;29.0
01-09-2019;4452;26.6
01-10-2019;4452;20.7
01-11-2019;4452;14.5
01-12-2019;4452;11.8
01-01-2019;0200E;5.4
01-02-2019;0200E;6.7
01-03-2019;0200E;11.1
01-04-2019;0200E;13.2
01-05-2019;0200E;16.4
01-06-2019;0200E;23.3
01-07-2019;0200E;27.3
01-08-2019;0200E;26.5
01-09-2019;0200E;21.2
01-10-2019;0200E;17.3
01-11-2019;0200E;0
01-12-2019;0200E;0
01-01-2019;2331;2.9
01-02-2019;2331;5.1
01-03-2019;2331;9.2
01-04-2019;2331;11.2
01-05-2019;2331;16.5
01-06-2019;2331;23.5
01-07-2019;2331;25.6
01-08-2019;2331;24.8
01-09-2019;2331;19.8
01-10-2019;2331;15.4
01-11-2019;2331;0
01-12-2019;2331;6.0
01-01-2019;3469A;7.1
01-02-2019;3469A;9.4
01-03-2019;3469A;13.1
01-04-2019;3469A;14.9
01-05-2019;3469A;22.0
01-06-2019;3469A;26.4
01-07-2019;3469A;0
01-08-2019;3469A;0
01-09-2019;3469A;26.5
01-10-2019;3469A;20.3
01-11-2019;3469A;13.6
01-12-2019;3469A;10.9
01-01-2019;1024E;6.4
01-02-2019;1024E;7.9
01-03-2019;1024E;10.2
01-04-2019;1024E;12.1
01-05-2019;1024E;14.8
01-06-2019;1024E;19.3
01-07-2019;1024E;22.2
01-08-2019;1024E;22.0
01-09-2019;1024E;19.4
01-10-2019;1024E;0
01-11-2019;1024E;10.0
01-12-2019;1024E;0
01-01-2019;4642E;12.0
01-02-2019;4642E;13.9
01-03-2019;4642E;18.0
01-04-2019;4642E;19.7
01-05-2019;4642E;26.6
01-06-2019;4642E;29.4
01-07-2019;4642E;31.4
01-08-2019;4642E;32.4
01-09-2019;4642E;29.8
01-10-2019;4642E;24.5
01-11-2019;4642E;18.9
01-12-2019;4642E;0
01-01-2019;1549;5.1
01-02-2019;1549;8.1
01-03-2019;1549;12.3
01-04-2019;1549;14.1
01-05-2019;1549;19.6
01-06-2019;1549;21.8
01-07-2019;1549;26.3
01-08-2019;1549;25.6
01-09-2019;1549;23.2
01-10-2019;1549;17.5
01-11-2019;1549;10.8
01-12-2019;1549;8.0
01-01-2019;9771C;0
01-02-2019;9771C;8.0
01-03-2019;9771C;11.2
01-04-2019;9771C;13.7
01-05-2019;9771C;18.3
01-06-2019;9771C;24.0
01-07-2019;9771C;29.0
01-08-2019;9771C;29.5
01-09-2019;9771C;0
01-10-2019;9771C;20.3
01-11-2019;9771C;12.4
01-12-2019;9771C;10.5
01-01-2019;2462;0.3
01-02-2019;2462;0.8
01-03-2019;2462;5.0
01-04-2019;2462;4.6
01-05-2019;2462;10.9
01-06-2019;2462;16.7
01-07-2019;2462;21.6
01-08-2019;2462;20.2
01-09-2019;2462;14.7
01-10-2019;2462;0
01-11-2019;2462;3.8
01-12-2019;2462;2.2
01-01-2019;7178I;9.9
01-02-2019;7178I;13.0
01-03-2019;7178I;17.3
01-04-2019;7178I;18.7
01-05-2019;7178I;25.3
01-06-2019;7178I;0
01-07-2019;7178I;33.5
01-08-2019;7178I;0
01-09-2019;7178I;27.1
01-10-2019;7178I;22.8
01-11-2019;7178I;15.6
01-12-2019;7178I;12.7
01-01-2019;1690A;7.0
01-02-2019;1690A;9.0
01-03-2019;1690A;11.4
01-04-2019;1690A;13.6
01-05-2019;1690A;18.5
01-06-2019;1690A;20.7
01-07-2019;1690A;25.6
01-08-2019;1690A;24.9
01-09-2019;1690A;22.7
01-10-2019;1690A;17.0
01-11-2019;1690A;13.3
01-12-2019;1690A;10.0
01-01-2019;1484C;8.8
01-02-2019;1484C;10.9
01-03-2019;1484C;13.6
01-04-2019;1484C;15.4
01-05-2019;1484C;18.3
01-06-2019;1484C;20.2
01-07-2019;1484C;23.9
01-08-2019;1484C;23.4
01-09-2019;1484C;22.9
01-10-2019;1484C;18.3
01-11-2019;1484C;0
01-12-2019;1484C;0
01-01-2019;2867;4.3
01-02-2019;2867;7.6
01-03-2019;2867;12.0
01-04-2019;2867;14.6
01-05-2019;2867;22.4
01-06-2019;2867;27.0
01-07-2019;2867;31.4
01-08-2019;2867;29.5
01-09-2019;2867;23.2
01-10-2019;2867;0
01-11-2019;2867;11.1
01-12-2019;2867;8.6
01-01-2019;2422;3.3
01-02-2019;2422;6.7
01-03-2019;2422;0
01-04-2019;2422;13.2
01-05-2019;2422;19.9
01-06-2019;2422;25.6
01-07-2019;2422;29.4
01-08-2019;2422;28.3
01-09-2019;2422;22.5
01-10-2019;2422;0
01-11-2019;2422;9.4
01-12-2019;2422;0
01-01-2019;2539;2.8
01-02-2019;2539;5.8
01-03-2019;2539;9.6
01-04-2019;2539;11.7
01-05-2019;2539;18.8
01-06-2019;2539;23.9
01-07-2019;2539;28.3
01-08-2019;2539;26.2
01-09-2019;2539;20.5
01-10-2019;2539;14.8
01-11-2019;2539;8.2
01-12-2019;2539;6.5
