FECHA;INDICATIVO;TEMP_50cm
01-01-2022;4452;10.9
01-02-2022;4452;11.6
01-03-2022;4452;13.4
01-04-2022;4452;15.9
01-05-2022;4452;22.5
01-06-2022;4452;25.6
01-07-2022;4452;29.0
01-08-2022;4452;29.5
01-09-2022;4452;26.4
01-10-2022;4452;22.7
01-11-2022;4452;17.3
01-12-2022;4452;14.5
01-01-2022;0200E;7.8
01-02-2022;0200E;8.6
01-03-2022;0200E;0
01-04-2022;0200E;0
01-05-2022;0200E;18.9
01-06-2022;0200E;24.2
01-07-2022;0200E;0
01-08-2022;0200E;26.8
01-09-2022;0200E;23.5
01-10-2022;0200E;0
01-11-2022;0200E;0
01-12-2022;0200E;11.9
01-01-2022;2331;0
01-02-2022;2331;4.4
01-03-2022;2331;6.9
01-04-2022;2331;9.8
01-05-2022;2331;16.9
01-06-2022;2331;23.1
01-07-2022;2331;0
01-08-2022;2331;27.3
01-09-2022;2331;22.8
01-10-2022;2331;17.6
01-11-2022;2331;11.0
01-12-2022;2331;8.5
01-01-2022;3469A;11.1
01-02-2022;3469A;11.7
01-03-2022;3469A;13.1
01-04-2022;3469A;15.2
01-05-2022;3469A;21.8
01-06-2022;3469A;26.2
01-07-2022;3469A;30.2
01-08-2022;3469A;31.4
01-09-2022;3469A;27.8
01-10-2022;3469A;23.6
01-11-2022;3469A;17.7
01-12-2022;3469A;14.5
01-01-2022;1024E;7.8
01-02-2022;1024E;8.2
01-03-2022;1024E;0
01-04-2022;1024E;11.6
01-05-2022;1024E;16.9
01-06-2022;1024E;20.6
01-07-2022;1024E;22.3
01-08-2022;1024E;0
01-09-2022;1024E;19.9
01-10-2022;1024E;17.5
01-11-2022;1024E;13.3
01-12-2022;1024E;10.5
01-01-2022;2867;6.6
01-02-2022;2867;7.6
01-03-2022;2867;10.6
01-04-2022;2867;13.8
01-05-2022;2867;20.0
01-06-2022;2867;25.2
01-07-2022;2867;29.3
01-08-2022;2867;30.0
01-09-2022;2867;24.7
01-10-2022;2867;18.9
01-11-2022;2867;13.2
01-12-2022;2867;10.1
01-01-2022;2422;4.4
01-02-2022;2422;5.6
01-03-2022;2422;9.3
01-04-2022;2422;12.9
01-05-2022;2422;21.1
01-06-2022;2422;26.7
01-07-2022;2422;31.3
01-08-2022;2422;31.7
01-09-2022;2422;25.8
01-10-2022;2422;19.1
01-11-2022;2422;12.1
01-12-2022;2422;8.6
01-01-2022;2539;4.3
01-02-2022;2539;5.1
01-03-2022;2539;7.9
01-04-2022;2539;0
01-05-2022;2539;16.0
01-06-2022;2539;21.0
01-07-2022;2539;25.9
01-08-2022;2539;25.6
01-09-2022;2539;20.9
01-10-2022;2539;0
01-11-2022;2539;11.1
01-12-2022;2539;8.4
