FECHA;INDICATIVO;TEMP_MAX
01-01-2018;1387;17.1(03)
01-02-2018;1387;16.8(15)
01-03-2018;1387;18.7(09)
01-04-2018;1387;24.7(18)
01-05-2018;1387;23.9(19)
01-06-2018;1387;29.0(23)
01-07-2018;1387;25.9(09)
01-08-2018;1387;29.8(05)
01-09-2018;1387;31.9(02)
01-10-2018;1387;26.1(13)
01-11-2018;1387;21.9(16)
01-12-2018;1387;18.3(04)
01-01-2018;1387E;18.0(03)
01-02-2018;1387E;17.7(25)
01-03-2018;1387E;18.7(09)
01-04-2018;1387E;26.0(18)
01-05-2018;1387E;26.7(19)
01-06-2018;1387E;30.9(23)
01-07-2018;1387E;31.9(09)
01-08-2018;1387E;32.0(02)
01-09-2018;1387E;34.1(02)
01-10-2018;1387E;27.6(04)
01-11-2018;1387E;21.9(15)
01-12-2018;1387E;18.3(04)
01-01-2018;1428;16.6(29)
01-02-2018;1428;17.1(26)
01-03-2018;1428;15.5(09)
01-04-2018;1428;25.7(20)
01-05-2018;1428;27.5(07)
01-06-2018;1428;33.4(23)
01-07-2018;1428;30.8(09)
01-08-2018;1428;36.2(03)
01-09-2018;1428;33.3(02)
01-10-2018;1428;29.4(03)
01-11-2018;1428;19.4(15)
01-12-2018;1428;16.6(31)
01-01-2018;8175;19.6(24)
01-02-2018;8175;17.2(26)
01-03-2018;8175;23.4(28)
01-04-2018;8175;25.8(27)
01-05-2018;8175;27.5(23)
01-06-2018;8175;35.2(24)
01-07-2018;8175;37.0(31)
01-08-2018;8175;40.7(03)
01-09-2018;8175;34.2(02)
01-10-2018;8175;28.3(06)
01-11-2018;8175;19.7(11)
01-12-2018;8175;21.1(05)
01-01-2018;8178D;20.2(24)
01-02-2018;8178D;18.0(26)
01-03-2018;8178D;23.2(28)
01-04-2018;8178D;25.9(27)
01-05-2018;8178D;27.8(23)
01-06-2018;8178D;36.7(24)
01-07-2018;8178D;38.0(31)
01-08-2018;8178D;40.5(03)
01-09-2018;8178D;35.6(02)
01-10-2018;8178D;29.0(01)
01-11-2018;8178D;20.7(11)
01-12-2018;8178D;21.9(05)
01-01-2018;8025;25.7(21)
01-02-2018;8025;21.4(11)
01-03-2018;8025;28.0(28)
01-04-2018;8025;26.8(15)
01-05-2018;8025;27.4(31)
01-06-2018;8025;31.3(22)
01-07-2018;8025;36.4(16)
01-08-2018;8025;36.4(05)
01-09-2018;8025;31.9(24)
01-10-2018;8025;28.5(12)
01-11-2018;8025;23.9(11)
01-12-2018;8025;23.7(03)
01-01-2018;8019;25.5(22)
01-02-2018;8019;21.4(20)
01-03-2018;8019;27.1(28)
01-04-2018;8019;26.5(15)
01-05-2018;8019;28.9(31)
01-06-2018;8019;31.5(27)
01-07-2018;8019;0
01-08-2018;8019;37.3(05)
01-09-2018;8019;32.8(23)
01-10-2018;8019;28.8(12)
01-11-2018;8019;0
01-12-2018;8019;0
01-01-2018;6325O;20.5(18)
01-02-2018;6325O;20.6(27)
01-03-2018;6325O;23.5(10)
01-04-2018;6325O;30.6(23)
