Fecha;Estacion;DIAS_GRA
01-01-2023;1387;17.3(14)
01-02-2023;1387;21.0(14)
01-03-2023;1387;23.0(28)
01-04-2023;1387;24.3(17)
01-05-2023;1387;26.1(03)
01-06-2023;1387;31.6(24)
01-07-2023;1387;27.0(07)
01-08-2023;1387;32.2(23)
01-09-2023;1387;30.4(07)
01-10-2023;1387;33.4(07)
01-11-2023;1387;21.1(12)
01-12-2023;1387;19.9(10)
01-01-2023;1387E;16.1(10)
01-02-2023;1387E;20.3(14)
01-03-2023;1387E;22.6(28)
01-04-2023;1387E;26.0(17)
01-05-2023;1387E;26.8(03)
01-06-2023;1387E;33.0(24)
01-07-2023;1387E;27.3(31)
01-08-2023;1387E;0
01-09-2023;1387E;30.8(30)
01-10-2023;1387E;33.9(07)
01-11-2023;1387E;20.2(11)
01-12-2023;1387E;19.4(10)
01-01-2023;1428;14.0(05)
01-02-2023;1428;21.0(18)
01-03-2023;1428;20.2(29)
01-04-2023;1428;27.3(17)
01-05-2023;1428;27.7(02)
01-06-2023;1428;30.7(24)
01-07-2023;1428;0
01-08-2023;1428;36.6(22)
01-09-2023;1428;32.1(30)
01-10-2023;1428;31.0(07)
01-11-2023;1428;17.6(12)
01-12-2023;1428;15.5(10)
01-01-2023;8175;18.7(01)
01-02-2023;8175;20.5(21)
01-03-2023;8175;26.9(30)
01-04-2023;8175;33.1(27)
01-05-2023;8175;31.8(09)
01-06-2023;8175;36.6(25)
01-07-2023;8175;42.9(11)
01-08-2023;8175;41.5(09)
01-09-2023;8175;32.3(01)
01-10-2023;8175;33.6(03)
01-11-2023;8175;23.5(19)
01-12-2023;8175;20.8(12)
01-01-2023;8178D;19.3(01)
01-02-2023;8178D;20.7(21)
01-03-2023;8178D;27.2(29)
01-04-2023;8178D;32.8(27)
01-05-2023;8178D;31.1(09)
01-06-2023;8178D;37.1(25)
01-07-2023;8178D;41.5(18)
01-08-2023;8178D;40.8(09)
01-09-2023;8178D;32.4(01)
01-10-2023;8178D;33.0(03)
01-11-2023;8178D;23.7(19)
01-12-2023;8178D;21.4(12)
01-01-2023;8025;23.1(10)
01-02-2023;8025;22.0(22)
01-03-2023;8025;31.6(31)
01-04-2023;8025;33.8(29)
01-05-2023;8025;0
01-06-2023;8025;33.8(27)
01-07-2023;8025;34.8(19)
01-08-2023;8025;36.0(10)
01-09-2023;8025;31.8(18)
01-10-2023;8025;32.4(01)
01-11-2023;8025;28.7(02)
01-12-2023;8025;25.1(10)
01-01-2023;8019;22.9(09)
01-02-2023;8019;22.9(22)
01-03-2023;8019;31.6(31)
01-04-2023;8019;35.2(29)
01-05-2023;8019;27.6(02)
01-06-2023;8019;35.0(22)
01-07-2023;8019;37.2(19)
01-08-2023;8019;35.4(24)
01-09-2023;8019;32.0(11)
01-10-2023;8019;32.2(01)
01-11-2023;8019;30.0(14)
01-12-2023;8019;0
01-01-2023;6325O;21.2(10)
01-02-2023;6325O;22.2(20)
01-03-2023;6325O;26.5(16)
01-04-2023;6325O;28.1(30)
01-05-2023;6325O;29.6(03)
01-06-2023;6325O;37.0(28)
01-07-2023;6325O;39.8(17)
01-08-2023;6325O;39.8(22)
01-09-2023;6325O;33.8(30)
01-10-2023;6325O;34.5(07)
01-11-2023;6325O;26.0(18)
01-12-2023;6325O;21.7(01)
01-01-2023;9091O;19.7(01)
01-02-2023;9091O;19.7(20)
01-03-2023;9091O;23.5(29)
01-04-2023;9091O;28.3(27)
01-05-2023;9091O;29.1(03)
01-06-2023;9091O;31.4(24)
01-07-2023;9091O;36.0(14)
01-08-2023;9091O;40.2(24)
01-09-2023;9091O;32.7(30)
01-10-2023;9091O;33.7(01)
01-11-2023;9091O;20.3(12)
01-12-2023;9091O;17.0(10)
01-01-2023;1212E;19.2(10)
01-02-2023;1212E;19.5(14)
01-03-2023;1212E;24.1(29)
01-04-2023;1212E;21.8(08)
01-05-2023;1212E;27.5(03)
01-06-2023;1212E;30.3(24)
01-07-2023;1212E;28.3(14)
01-08-2023;1212E;30.4(23)
01-09-2023;1212E;30.3(05)
01-10-2023;1212E;31.4(08)
01-11-2023;1212E;23.9(13)
01-12-2023;1212E;22.3(10)
01-01-2023;1208H;19.7(04)
01-02-2023;1208H;18.8(14)
01-03-2023;1208H;25.2(10)
01-04-2023;1208H;20.7(26)
01-05-2023;1208H;22.9(03)
01-06-2023;1208H;24.4(09)
01-07-2023;1208H;27.3(14)
01-08-2023;1208H;28.5(23)
01-09-2023;1208H;31.6(05)
01-10-2023;1208H;29.9(08)
01-11-2023;1208H;24.3(11)
01-12-2023;1208H;23.3(09)
01-01-2023;2444;15.1(05)
01-02-2023;2444;15.8(19)
01-03-2023;2444;22.8(29)
01-04-2023;2444;29.3(27)
01-05-2023;2444;25.6(08)
01-06-2023;2444;33.7(25)
01-07-2023;2444;35.7(10)
01-08-2023;2444;36.9(09)
01-09-2023;2444;28.9(01)
01-10-2023;2444;29.9(01)
01-11-2023;2444;20.9(18)
01-12-2023;2444;18.1(11)
01-01-2023;4452;20.8(01)
01-02-2023;4452;21.1(18)
01-03-2023;4452;29.0(28)
01-04-2023;4452;36.1(27)
01-05-2023;4452;34.9(02)
01-06-2023;4452;41.7(25)
