FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-01-2021;1387;12.7
01-02-2021;1387;15.4
01-03-2021;1387;16.1
01-04-2021;1387;17.6
01-05-2021;1387;17.9
01-06-2021;1387;19.3
01-07-2021;1387;21.9
01-08-2021;1387;23.2
01-09-2021;1387;22.8
01-10-2021;1387;20.4
01-11-2021;1387;15.2
01-12-2021;1387;16.3
01-01-2021;1387E;12.2
01-02-2021;1387E;15.1
01-03-2021;1387E;16.3
01-04-2021;1387E;18.2
01-05-2021;1387E;18.0
01-06-2021;1387E;20.4
01-07-2021;1387E;22.1
01-08-2021;1387E;24.0
01-09-2021;1387E;23.4
01-10-2021;1387E;20.7
01-11-2021;1387E;15.1
01-12-2021;1387E;15.7
01-01-2021;1428;10.7
01-02-2021;1428;13.8
01-03-2021;1428;16.4
01-04-2021;1428;17.6
01-05-2021;1428;18.1
01-06-2021;1428;21.7
01-07-2021;1428;22.5
01-08-2021;1428;24.5
01-09-2021;1428;22.3
01-10-2021;1428;19.2
01-11-2021;1428;14.0
01-12-2021;1428;13.9
01-01-2021;8175;8.4
01-02-2021;8175;15.3
01-03-2021;8175;16.1
01-04-2021;8175;18.1
01-05-2021;8175;24.9
01-06-2021;8175;29.5
01-07-2021;8175;34.7
01-08-2021;8175;34.6
01-09-2021;8175;28.2
01-10-2021;8175;23.2
01-11-2021;8175;13.7
01-12-2021;8175;13.8
01-01-2021;8178D;8.6
01-02-2021;8178D;15.7
01-03-2021;8178D;16.2
01-04-2021;8178D;18.1
01-05-2021;8178D;24.9
01-06-2021;8178D;29.5
01-07-2021;8178D;34.6
01-08-2021;8178D;34.5
01-09-2021;8178D;28.0
01-10-2021;8178D;23.6
01-11-2021;8178D;14.2
01-12-2021;8178D;14.1
01-01-2021;8025;17.2
01-02-2021;8025;19.2
01-03-2021;8025;18.7
01-04-2021;8025;20.1
01-05-2021;8025;24.8
01-06-2021;8025;28.0
01-07-2021;8025;31.0
01-08-2021;8025;31.7
01-09-2021;8025;29.9
01-10-2021;8025;25.2
01-11-2021;8025;19.5
01-12-2021;8025;18.9
01-01-2021;8019;16.8
01-02-2021;8019;18.7
01-03-2021;8019;18.2
01-04-2021;8019;19.6
01-05-2021;8019;0
01-06-2021;8019;27.6
01-07-2021;8019;31.1
01-08-2021;8019;31.9
01-09-2021;8019;0
01-10-2021;8019;24.9
01-11-2021;8019;0
01-12-2021;8019;18.3
01-01-2021;6325O;16.6
01-02-2021;6325O;19.4
01-03-2021;6325O;19.8
01-04-2021;6325O;21.5
01-05-2021;6325O;25.0
01-06-2021;6325O;28.1
01-07-2021;6325O;30.2
01-08-2021;6325O;31.4
01-09-2021;6325O;30.2
01-10-2021;6325O;25.8
01-11-2021;6325O;20.4
01-12-2021;6325O;18.7
01-01-2021;9091O;8.7
01-02-2021;9091O;13.8
01-03-2021;9091O;13.9
01-04-2021;9091O;15.4
01-05-2021;9091O;20.0
01-06-2021;9091O;23.3
01-07-2021;9091O;25.8
01-08-2021;9091O;26.6
01-09-2021;9091O;24.5
01-10-2021;9091O;19.6
01-11-2021;9091O;10.6
01-12-2021;9091O;10.3
01-01-2021;1212E;11.8
01-02-2021;1212E;15.2
01-03-2021;1212E;0
01-04-2021;1212E;0
01-05-2021;1212E;16.6
01-06-2021;1212E;18.4
01-07-2021;1212E;20.7
01-08-2021;1212E;21.9
01-09-2021;1212E;21.5
01-10-2021;1212E;19.7
01-11-2021;1212E;0
01-12-2021;1212E;15.2
01-01-2021;1208H;13.5
01-02-2021;1208H;16.4
01-03-2021;1208H;15.2
01-04-2021;1208H;16.1
01-05-2021;1208H;17.9
01-06-2021;1208H;19.9
01-07-2021;1208H;22.1
