Fecha;Estacion;DIAS_GRA
01-01-2022;1387;14.6
01-02-2022;1387;15.1
01-03-2022;1387;16.1
01-04-2022;1387;16.4
01-05-2022;1387;20.2
01-06-2022;1387;21.2
01-07-2022;1387;24.0
01-08-2022;1387;23.3
01-09-2022;1387;22.8
01-10-2022;1387;21.1
01-11-2022;1387;17.7
01-12-2022;1387;15.7
01-01-2022;1387E;14.4
01-02-2022;1387E;14.8
01-03-2022;1387E;0
01-04-2022;1387E;16.4
01-05-2022;1387E;20.8
01-06-2022;1387E;21.5
01-07-2022;1387E;25.9
01-08-2022;1387E;25.5
01-09-2022;1387E;23.7
01-10-2022;1387E;21.1
01-11-2022;1387E;17.1
01-12-2022;1387E;15.2
01-01-2022;1428;13.5
01-02-2022;1428;14.1
01-03-2022;1428;14.9
01-04-2022;1428;16.4
01-05-2022;1428;21.9
01-06-2022;1428;20.9
01-07-2022;1428;28.2
01-08-2022;1428;27.1
01-09-2022;1428;22.5
01-10-2022;1428;19.5
01-11-2022;1428;14.7
01-12-2022;1428;13.4
01-01-2022;8175;12.8
01-02-2022;8175;16.2
01-03-2022;8175;13.4
01-04-2022;8175;16.9
01-05-2022;8175;27.3
01-06-2022;8175;33.5
01-07-2022;8175;36.6
01-08-2022;8175;34.7
01-09-2022;8175;29.1
01-10-2022;8175;25.4
01-11-2022;8175;17.6
01-12-2022;8175;15.0
01-01-2022;8178D;13.4
01-02-2022;8178D;16.6
01-03-2022;8178D;13.1
01-04-2022;8178D;16.9
01-05-2022;8178D;27.2
01-06-2022;8178D;32.9
01-07-2022;8178D;36.2
01-08-2022;8178D;34.4
01-09-2022;8178D;28.7
01-10-2022;8178D;25.4
01-11-2022;8178D;17.8
01-12-2022;8178D;15.0
01-01-2022;8025;16.6
01-02-2022;8025;18.5
01-03-2022;8025;17.5
01-04-2022;8025;20.9
01-05-2022;8025;26.3
01-06-2022;8025;30.6
01-07-2022;8025;32.8
01-08-2022;8025;33.4
01-09-2022;8025;30.3
01-10-2022;8025;27.2
01-11-2022;8025;22.9
01-12-2022;8025;19.9
01-01-2022;8019;16.0
01-02-2022;8019;17.8
01-03-2022;8019;17.1
01-04-2022;8019;19.7
01-05-2022;8019;26.2
01-06-2022;8019;30.7
01-07-2022;8019;33.7
01-08-2022;8019;33.7
01-09-2022;8019;30.4
01-10-2022;8019;26.5
01-11-2022;8019;22.3
01-12-2022;8019;19.4
01-01-2022;6325O;17.3
01-02-2022;6325O;18.7
01-03-2022;6325O;19.2
01-04-2022;6325O;19.8
01-05-2022;6325O;25.5
01-06-2022;6325O;28.8
01-07-2022;6325O;32.8
01-08-2022;6325O;33.8
01-09-2022;6325O;28.5
01-10-2022;6325O;27.6
01-11-2022;6325O;22.1
01-12-2022;6325O;19.6
01-01-2022;9091O;10.6
01-02-2022;9091O;13.1
01-03-2022;9091O;13.0
01-04-2022;9091O;15.4
01-05-2022;9091O;23.2
01-06-2022;9091O;26.7
