FECHA;INDICATIVO;TEMP_MEDIA_MIN
01-01-2017;1387;7.4
01-02-2017;1387;8.9
01-03-2017;1387;9.6
01-04-2017;1387;10.1
01-05-2017;1387;13.7
01-06-2017;1387;15.4
01-07-2017;1387;16.7
01-08-2017;1387;16.5
01-09-2017;1387;15.1
01-10-2017;1387;13.8
01-11-2017;1387;9.8
01-12-2017;1387;8.4
01-01-2017;1387E;4.2
01-02-2017;1387E;6.3
01-03-2017;1387E;7.4
01-04-2017;1387E;6.8
01-05-2017;1387E;12.0
01-06-2017;1387E;13.7
01-07-2017;1387E;15.0
01-08-2017;1387E;14.6
01-09-2017;1387E;12.5
01-10-2017;1387E;10.1
01-11-2017;1387E;6.3
01-12-2017;1387E;4.9
01-01-2017;1428;3.0
01-02-2017;1428;5.6
01-03-2017;1428;6.5
01-04-2017;1428;7.1
01-05-2017;1428;11.1
01-06-2017;1428;12.9
01-07-2017;1428;13.6
01-08-2017;1428;13.4
01-09-2017;1428;11.0
01-10-2017;1428;10.1
01-11-2017;1428;5.5
01-12-2017;1428;4.1
01-01-2017;8175;-1.0
01-02-2017;8175;3.6
01-03-2017;8175;3.9
01-04-2017;8175;6.5
01-05-2017;8175;11.0
01-06-2017;8175;16.9
01-07-2017;8175;18.2
01-08-2017;8175;18.5
01-09-2017;8175;13.5
01-10-2017;8175;9.6
01-11-2017;8175;1.8
01-12-2017;8175;-0.3
01-01-2017;8178D;0.1
01-02-2017;8178D;4.0
01-03-2017;8178D;4.8
01-04-2017;8178D;7.0
01-05-2017;8178D;11.5
01-06-2017;8178D;17.3
01-07-2017;8178D;18.5
01-08-2017;8178D;19.0
01-09-2017;8178D;14.2
01-10-2017;8178D;10.9
01-11-2017;8178D;3.1
01-12-2017;8178D;1.1
01-01-2017;8025;6.4
01-02-2017;8025;9.1
01-03-2017;8025;9.8
01-04-2017;8025;11.1
01-05-2017;8025;15.3
01-06-2017;8025;20.0
01-07-2017;8025;0
01-08-2017;8025;21.8
01-09-2017;8025;18.4
01-10-2017;8025;15.0
01-11-2017;8025;8.7
01-12-2017;8025;6.4
01-01-2017;8019;6.9
01-02-2017;8019;0
01-03-2017;8019;10.0
01-04-2017;8019;11.5
01-05-2017;8019;0
01-06-2017;8019;19.8
01-07-2017;8019;21.7
01-08-2017;8019;0
01-09-2017;8019;19.1
01-10-2017;8019;16.2
01-11-2017;8019;9.9
01-12-2017;8019;7.0
01-01-2017;6325O;8.3
01-02-2017;6325O;11.2
01-03-2017;6325O;10.9
01-04-2017;6325O;13.0
01-05-2017;6325O;16.8
01-06-2017;6325O;21.2
01-07-2017;6325O;22.4
01-08-2017;6325O;23.7
01-09-2017;6325O;20.4
01-10-2017;6325O;17.5
01-11-2017;6325O;11.7
01-12-2017;6325O;8.2
01-01-2017;9091O;-1.6
01-02-2017;9091O;2.2
01-03-2017;9091O;3.4
01-04-2017;9091O;2.1
01-05-2017;9091O;8.2
01-06-2017;9091O;12.7
01-07-2017;9091O;13.2
01-08-2017;9091O;13.0
01-09-2017;9091O;8.7
01-10-2017;9091O;6.6
01-11-2017;9091O;2.5
01-12-2017;9091O;1.3
01-01-2017;1212E;4.0
01-02-2017;1212E;0
01-03-2017;1212E;7.9
01-04-2017;1212E;7.5
01-05-2017;1212E;11.3
01-06-2017;1212E;14.4
01-07-2017;1212E;0
01-08-2017;1212E;15.0
01-09-2017;1212E;13.4
01-10-2017;1212E;12.5
01-11-2017;1212E;7.3
01-12-2017;1212E;6.0
01-01-2017;1208H;6.3
01-02-2017;1208H;8.6
01-03-2017;1208H;9.8
01-04-2017;1208H;10.4
01-05-2017;1208H;13.6
01-06-2017;1208H;16.4
01-07-2017;1208H;17.6
01-08-2017;1208H;17.4
01-09-2017;1208H;15.4
01-10-2017;1208H;14.7
01-11-2017;1208H;9.6
01-12-2017;1208H;7.7
01-01-2017;1249I;3.0
01-02-2017;1249I;6.0
01-03-2017;1249I;7.2
01-04-2017;1249I;7.3
01-05-2017;1249I;11.1
01-06-2017;1249I;14.1
01-07-2017;1249I;15.0
01-08-2017;1249I;14.8
01-09-2017;1249I;12.6
01-10-2017;1249I;11.7
01-11-2017;1249I;6.1
01-12-2017;1249I;4.5
01-01-2017;2444;-2.3
01-02-2017;2444;1.9
01-03-2017;2444;2.6
01-04-2017;2444;5.3
01-05-2017;2444;9.7
01-06-2017;2444;15.1
01-07-2017;2444;14.3
01-08-2017;2444;14.3
01-09-2017;2444;9.9
01-10-2017;2444;8.0
01-11-2017;2444;1.5
01-12-2017;2444;-0.5
01-01-2017;4452;1.9
01-02-2017;4452;6.7
01-03-2017;4452;6.9
01-04-2017;4452;9.9
01-05-2017;4452;13.7
