Fecha;Estacion;DIAS_GRA
01-01-2019;1387;7.6
01-02-2019;1387;9.1
01-03-2019;1387;9.4
01-04-2019;1387;9.9
01-05-2019;1387;12.2
01-06-2019;1387;13.7
01-07-2019;1387;16.4
01-08-2019;1387;17.3
01-09-2019;1387;15.8
01-10-2019;1387;14.1
01-11-2019;1387;10.8
01-12-2019;1387;9.5
01-01-2019;1387E;3.4
01-02-2019;1387E;0
01-03-2019;1387E;5.7
01-04-2019;1387E;7.2
01-05-2019;1387E;9.6
01-06-2019;1387E;11.5
01-07-2019;1387E;15.0
01-08-2019;1387E;14.8
01-09-2019;1387E;13.7
01-10-2019;1387E;11.6
01-11-2019;1387E;8.9
01-12-2019;1387E;6.5
01-01-2019;1428;2.9
01-02-2019;1428;4.8
01-03-2019;1428;4.9
01-04-2019;1428;5.9
01-05-2019;1428;8.6
01-06-2019;1428;9.9
01-07-2019;1428;13.5
01-08-2019;1428;13.5
01-09-2019;1428;12.6
01-10-2019;1428;10.0
01-11-2019;1428;6.8
01-12-2019;1428;5.5
01-01-2019;8175;-1.9
01-02-2019;8175;-0.2
01-03-2019;8175;1.8
01-04-2019;8175;5.4
01-05-2019;8175;9.3
01-06-2019;8175;13.1
01-07-2019;8175;18.0
01-08-2019;8175;16.9
01-09-2019;8175;14.6
01-10-2019;8175;9.2
01-11-2019;8175;5.1
01-12-2019;8175;3.3
01-01-2019;8178D;-0.1
01-02-2019;8178D;1.6
01-03-2019;8178D;4.1
01-04-2019;8178D;6.5
01-05-2019;8178D;10.6
01-06-2019;8178D;14.7
01-07-2019;8178D;19.2
01-08-2019;8178D;18.3
01-09-2019;8178D;15.7
01-10-2019;8178D;11.0
01-11-2019;8178D;6.1
01-12-2019;8178D;4.3
01-01-2019;8025;5.9
01-02-2019;8025;5.6
01-03-2019;8025;8.1
01-04-2019;8025;11.4
01-05-2019;8025;14.5
01-06-2019;8025;17.6
01-07-2019;8025;22.2
01-08-2019;8025;21.6
01-09-2019;8025;19.4
01-10-2019;8025;14.7
01-11-2019;8025;11.3
01-12-2019;8025;8.8
01-01-2019;8019;6.7
01-02-2019;8019;6.6
01-03-2019;8019;0
01-04-2019;8019;0
01-05-2019;8019;14.0
01-06-2019;8019;0
01-07-2019;8019;22.2
01-08-2019;8019;0
01-09-2019;8019;19.3
01-10-2019;8019;14.9
01-11-2019;8019;10.2
01-12-2019;8019;9.2
01-01-2019;6325O;8.2
01-02-2019;6325O;8.2
01-03-2019;6325O;10.8
01-04-2019;6325O;12.2
01-05-2019;6325O;16.1
01-06-2019;6325O;18.6
01-07-2019;6325O;22.3
01-08-2019;6325O;23.0
01-09-2019;6325O;21.3
01-10-2019;6325O;16.0
01-11-2019;6325O;11.7
01-12-2019;6325O;10.2
01-01-2019;9091O;0.9
01-02-2019;9091O;0.2
01-03-2019;9091O;1.6
01-04-2019;9091O;4.1
01-05-2019;9091O;5.3
01-06-2019;9091O;9.7
01-07-2019;9091O;13.2
01-08-2019;9091O;13.3
01-09-2019;9091O;10.6
01-10-2019;9091O;8.6
01-11-2019;9091O;5.1
01-12-2019;9091O;2.4
01-01-2019;1212E;4.7
01-02-2019;1212E;0
01-03-2019;1212E;6.3
01-04-2019;1212E;7.4
01-05-2019;1212E;9.0
01-06-2019;1212E;0
01-07-2019;1212E;0
01-08-2019;1212E;16.0
01-09-2019;1212E;13.7
01-10-2019;1212E;0
01-11-2019;1212E;8.9
01-12-2019;1212E;7.2
