Fecha;Estacion;DIAS_GRA
01-01-2017;1387;2.2(20)
01-02-2017;1387;5.1(08)
01-03-2017;1387;4.1(22)
01-04-2017;1387;6.4(27)
01-05-2017;1387;9.2(01)
01-06-2017;1387;12.0(07)
01-07-2017;1387;14.5(11)
01-08-2017;1387;14.3(12)
01-09-2017;1387;12.0(16)
01-10-2017;1387;9.1(23)
01-11-2017;1387;4.6(30)
01-12-2017;1387;4.9(17)
01-01-2017;1387E;-3.8(20)
01-02-2017;1387E;1.3(08)
01-03-2017;1387E;2.1(25)
01-04-2017;1387E;0.9(27)
01-05-2017;1387E;5.8(01)
01-06-2017;1387E;8.4(07)
01-07-2017;1387E;11.0(11)
01-08-2017;1387E;9.9(11)
01-09-2017;1387E;8.3(02)
01-10-2017;1387E;4.6(23)
01-11-2017;1387E;-0.4(26)
01-12-2017;1387E;-0.2(03)
01-01-2017;1428;-3.0(20)
01-02-2017;1428;-1.3(08)
01-03-2017;1428;0.2(23)
01-04-2017;1428;1.6(28)
01-05-2017;1428;3.6(01)
01-06-2017;1428;7.3(05)
01-07-2017;1428;9.1(01)
01-08-2017;1428;9.4(01)
01-09-2017;1428;5.6(16)
01-10-2017;1428;4.1(23)
01-11-2017;1428;-2.8(28)
01-12-2017;1428;-2.3(17)
01-01-2017;8175;-10.2(18)
01-02-2017;8175;-0.8(09)
01-03-2017;8175;-1.8(24)
01-04-2017;8175;0.8(03)
01-05-2017;8175;5.4(02)
01-06-2017;8175;10.9(05)
01-07-2017;8175;11.0(01)
01-08-2017;8175;14.8(10)
01-09-2017;8175;7.7(20)
01-10-2017;8175;3.5(30)
01-11-2017;8175;-3.6(15)
01-12-2017;8175;-6.6(04)
01-01-2017;8178D;-7.4(18)
01-02-2017;8178D;-0.2(09)
01-03-2017;8178D;-0.9(24)
01-04-2017;8178D;1.9(21)
01-05-2017;8178D;5.9(01)
01-06-2017;8178D;10.7(05)
01-07-2017;8178D;11.5(01)
01-08-2017;8178D;15.3(10)
01-09-2017;8178D;9.1(17)
01-10-2017;8178D;5.7(30)
01-11-2017;8178D;-1.7(15)
01-12-2017;8178D;-4.6(05)
01-01-2017;8025;0.6(18)
01-02-2017;8025;5.7(21)
01-03-2017;8025;5.4(25)
01-04-2017;8025;8.2(03)
01-05-2017;8025;10.8(02)
01-06-2017;8025;16.9(02)
01-07-2017;8025;0
01-08-2017;8025;17.5(10)
01-09-2017;8025;15.8(21)
01-10-2017;8025;10.8(27)
