FECHA;INDICATIVO;TEMP_inf_0
01-01-2017;1387;0
01-02-2017;1387;0
01-03-2017;1387;0
01-04-2017;1387;0
01-05-2017;1387;0
01-06-2017;1387;0
01-07-2017;1387;0
01-08-2017;1387;0
01-09-2017;1387;0
01-10-2017;1387;0
01-11-2017;1387;0
01-12-2017;1387;0
01-01-2017;1387E;10
01-02-2017;1387E;0
01-03-2017;1387E;0
01-04-2017;1387E;0
01-05-2017;1387E;0
01-06-2017;1387E;0
01-07-2017;1387E;0
01-08-2017;1387E;0
01-09-2017;1387E;0
01-10-2017;1387E;0
01-11-2017;1387E;3
01-12-2017;1387E;3
01-01-2017;1428;12
01-02-2017;1428;1
01-03-2017;1428;0
01-04-2017;1428;0
01-05-2017;1428;0
01-06-2017;1428;0
01-07-2017;1428;0
01-08-2017;1428;0
01-09-2017;1428;0
01-10-2017;1428;0
01-11-2017;1428;2
01-12-2017;1428;3
01-01-2017;8175;18
01-02-2017;8175;2
01-03-2017;8175;3
01-04-2017;8175;0
01-05-2017;8175;0
01-06-2017;8175;0
01-07-2017;8175;0
01-08-2017;8175;0
01-09-2017;8175;0
01-10-2017;8175;0
01-11-2017;8175;15
01-12-2017;8175;20
01-01-2017;8178D;15
01-02-2017;8178D;1
01-03-2017;8178D;1
01-04-2017;8178D;0
01-05-2017;8178D;0
01-06-2017;8178D;0
01-07-2017;8178D;0
01-08-2017;8178D;0
01-09-2017;8178D;0
01-10-2017;8178D;0
01-11-2017;8178D;10
01-12-2017;8178D;14
01-01-2017;8025;0
01-02-2017;8025;0
01-03-2017;8025;0
01-04-2017;8025;0
01-05-2017;8025;0
01-06-2017;8025;0
01-07-2017;8025;0
01-08-2017;8025;0
01-09-2017;8025;0
01-10-2017;8025;0
01-11-2017;8025;0
01-12-2017;8025;0
01-01-2017;8019;1
01-02-2017;8019;0
01-03-2017;8019;0
01-04-2017;8019;0
01-05-2017;8019;0
01-06-2017;8019;0
01-07-2017;8019;0
01-08-2017;8019;0
01-09-2017;8019;0
01-10-2017;8019;0
01-11-2017;8019;0
01-12-2017;8019;0
01-01-2017;6325O;0
01-02-2017;6325O;0
01-03-2017;6325O;0
01-04-2017;6325O;0
01-05-2017;6325O;0
01-06-2017;6325O;0
01-07-2017;6325O;0
01-08-2017;6325O;0
01-09-2017;6325O;0
01-10-2017;6325O;0
01-11-2017;6325O;0
01-12-2017;6325O;0
01-01-2017;9091O;21
01-02-2017;9091O;6
01-03-2017;9091O;3
01-04-2017;9091O;7
01-05-2017;9091O;1
01-06-2017;9091O;0
01-07-2017;9091O;0
01-08-2017;9091O;0
01-09-2017;9091O;0
01-10-2017;9091O;0
01-11-2017;9091O;10
01-12-2017;9091O;12
01-01-2017;1212E;4
01-02-2017;1212E;0
01-03-2017;1212E;0
01-04-2017;1212E;0
01-05-2017;1212E;0
01-06-2017;1212E;0
01-07-2017;1212E;0
01-08-2017;1212E;0
01-09-2017;1212E;0
01-10-2017;1212E;0
01-11-2017;1212E;0
01-12-2017;1212E;0
01-01-2017;1208H;0
01-02-2017;1208H;0
01-03-2017;1208H;0
01-04-2017;1208H;0
01-05-2017;1208H;0
01-06-2017;1208H;0
01-07-2017;1208H;0
01-08-2017;1208H;0
01-09-2017;1208H;0
01-10-2017;1208H;0
01-11-2017;1208H;0
01-12-2017;1208H;0
01-01-2017;1249I;8
01-02-2017;1249I;0
01-03-2017;1249I;0
01-04-2017;1249I;0
01-05-2017;1249I;0
01-06-2017;1249I;0
01-07-2017;1249I;0
01-08-2017;1249I;0
01-09-2017;1249I;0
01-10-2017;1249I;0
01-11-2017;1249I;0
01-12-2017;1249I;0
01-01-2017;2444;22
01-02-2017;2444;8
01-03-2017;2444;6
01-04-2017;2444;3
01-05-2017;2444;0
01-06-2017;2444;0
01-07-2017;2444;0
01-08-2017;2444;0
01-09-2017;2444;0
01-10-2017;2444;0
01-11-2017;2444;16
01-12-2017;2444;20
01-01-2017;4452;13
01-02-2017;4452;1
01-03-2017;4452;0
01-04-2017;4452;0
01-05-2017;4452;0
01-06-2017;4452;0
01-07-2017;4452;0
01-08-2017;4452;0
01-09-2017;4452;0
01-10-2017;4452;0
01-11-2017;4452;0
01-12-2017;4452;11
01-01-2017;B954;0
01-02-2017;B954;0
01-03-2017;B954;0
01-04-2017;B954;0
01-05-2017;B954;0
01-06-2017;B954;0
01-07-2017;B954;0
01-08-2017;B954;0
01-09-2017;B954;0
01-10-2017;B954;0
01-11-2017;B954;0
01-12-2017;B954;0
01-01-2017;B893;0
01-02-2017;B893;0
01-03-2017;B893;0
01-04-2017;B893;0
01-05-2017;B893;0
01-06-2017;B893;0
01-07-2017;B893;0
01-08-2017;B893;0
01-09-2017;B893;0
01-10-2017;B893;0
01-11-2017;B893;0
01-12-2017;B893;0
01-01-2017;B228;0
01-02-2017;B228;0
01-03-2017;B228;0
01-04-2017;B228;0
01-05-2017;B228;0
01-06-2017;B228;0
01-07-2017;B228;0
01-08-2017;B228;0
01-09-2017;B228;0
01-10-2017;B228;0
01-11-2017;B228;0
01-12-2017;B228;0
01-01-2017;B278;2
01-02-2017;B278;0
01-03-2017;B278;0
01-04-2017;B278;0
01-05-2017;B278;0
01-06-2017;B278;0
01-07-2017;B278;0
01-08-2017;B278;0
01-09-2017;B278;0
01-10-2017;B278;0
01-11-2017;B278;0
01-12-2017;B278;2
01-01-2017;0200E;1
01-02-2017;0200E;0
01-03-2017;0200E;0
01-04-2017;0200E;0
01-05-2017;0200E;0
01-06-2017;0200E;0
01-07-2017;0200E;0
01-08-2017;0200E;0
01-09-2017;0200E;0
01-10-2017;0200E;0
01-11-2017;0200E;0
01-12-2017;0200E;1
01-01-2017;0076;0
01-02-2017;0076;0
01-03-2017;0076;0
01-04-2017;0076;0
01-05-2017;0076;0
01-06-2017;0076;0
01-07-2017;0076;0
01-08-2017;0076;0
01-09-2017;0076;0
01-10-2017;0076;0
01-11-2017;0076;0
01-12-2017;0076;0
01-01-2017;1082;14
01-02-2017;1082;0
01-03-2017;1082;0
01-04-2017;1082;0
01-05-2017;1082;0
01-06-2017;1082;0
01-07-2017;1082;0
01-08-2017;1082;0
01-09-2017;1082;0
01-10-2017;1082;0
01-11-2017;1082;0
01-12-2017;1082;1
01-01-2017;2331;21
01-02-2017;2331;8
01-03-2017;2331;8
01-04-2017;2331;7
01-05-2017;2331;1
01-06-2017;2331;0
01-07-2017;2331;0
01-08-2017;2331;0
01-09-2017;2331;0
01-10-2017;2331;2
01-11-2017;2331;16
01-12-2017;2331;19
01-01-2017;3469A;10
01-02-2017;3469A;1
01-03-2017;3469A;0
01-04-2017;3469A;0
01-05-2017;3469A;0
01-06-2017;3469A;0
01-07-2017;3469A;0
01-08-2017;3469A;0
01-09-2017;3469A;0
01-10-2017;3469A;0
01-11-2017;3469A;0
01-12-2017;3469A;7
01-01-2017;5973;0
01-02-2017;5973;0
01-03-2017;5973;0
01-04-2017;5973;0
01-05-2017;5973;0
01-06-2017;5973;0
01-07-2017;5973;0
01-08-2017;5973;0
01-09-2017;5973;0
01-10-2017;5973;0
01-11-2017;5973;0
01-12-2017;5973;0
01-01-2017;5960;8
01-02-2017;5960;1
01-03-2017;5960;0
01-04-2017;5960;0
01-05-2017;5960;0
01-06-2017;5960;0
01-07-2017;5960;0
01-08-2017;5960;0
01-09-2017;5960;0
01-10-2017;5960;0
01-11-2017;5960;0
01-12-2017;5960;2
01-01-2017;5910;1
01-02-2017;5910;0
01-03-2017;5910;0
01-04-2017;5910;0
01-05-2017;5910;0
01-06-2017;5910;0
01-07-2017;5910;0
01-08-2017;5910;0
01-09-2017;5910;0
01-10-2017;5910;0
01-11-2017;5910;0
01-12-2017;5910;0
01-01-2017;6001;0
01-02-2017;6001;0
01-03-2017;6001;0
01-04-2017;6001;0
01-05-2017;6001;0
01-06-2017;6001;0
01-07-2017;6001;0
01-08-2017;6001;0
01-09-2017;6001;0
01-10-2017;6001;0
01-11-2017;6001;0
01-12-2017;6001;0
01-01-2017;1111;0
01-02-2017;1111;0
01-03-2017;1111;0
01-04-2017;1111;0
01-05-2017;1111;0
01-06-2017;1111;0
01-07-2017;1111;0
01-08-2017;1111;0
01-09-2017;1111;0
01-10-2017;1111;0
01-11-2017;1111;0
01-12-2017;1111;0
